format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp32,dot,padded,scalar,1,7,padded/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.074346248244117785,0
bf16_e8m7,fp32,dot,padded,thread_packet,2,1,padded/thread_packet/x2/native_packed,native_packed,0.039828243013007289,1
bf16_e8m7,fp32,dot,padded,thread_packet,2,2,padded/thread_packet/x2/direct_branchy,direct_branchy,0.039990670522054031,1
bf16_e8m7,fp32,dot,padded,thread_packet,2,3,padded/thread_packet/x2/native_scalar,native_scalar,0.040007223713782528,0
bf16_e8m7,fp32,dot,padded,thread_packet,2,4,padded/thread_packet/x2/subnormal_lut_shared,subnormal_lut_shared,0.045133283906595316,0
bf16_e8m7,fp32,dot,padded,thread_packet,2,5,padded/thread_packet/x2/subnormal_lut_global,subnormal_lut_global,0.046870438910571466,0
bf16_e8m7,fp32,dot,padded,thread_packet,2,6,padded/thread_packet/x2/prefix_lut_global,prefix_lut_global,0.050531624597415586,0
bf16_e8m7,fp32,dot,padded,thread_packet,2,7,padded/thread_packet/x2/prefix_lut_shared,prefix_lut_shared,0.051415100775415577,0
bf16_e8m7,fp32,dot,padded,thread_packet,4,1,padded/thread_packet/x4/native_scalar,native_scalar,0.026813079478248715,1
bf16_e8m7,fp32,dot,padded,thread_packet,4,2,padded/thread_packet/x4/direct_branchy,direct_branchy,0.0271736928658892,1
bf16_e8m7,fp32,dot,padded,thread_packet,4,3,padded/thread_packet/x4/native_packed,native_packed,0.027307360680314509,0
bf16_e8m7,fp32,dot,padded,thread_packet,4,4,padded/thread_packet/x4/subnormal_lut_shared,subnormal_lut_shared,0.032336019296481097,0
bf16_e8m7,fp32,dot,padded,thread_packet,4,5,padded/thread_packet/x4/subnormal_lut_global,subnormal_lut_global,0.034910811932574531,0
bf16_e8m7,fp32,dot,padded,thread_packet,4,6,padded/thread_packet/x4/prefix_lut_global,prefix_lut_global,0.039071517514376777,0
bf16_e8m7,fp32,dot,padded,thread_packet,4,7,padded/thread_packet/x4/prefix_lut_shared,prefix_lut_shared,0.041168376899197529,0
bf16_e8m7,fp32,dot,padded,thread_packet,8,1,padded/thread_packet/x8/direct_branchy,direct_branchy,0.023210491240919746,1
bf16_e8m7,fp32,dot,padded,thread_packet,8,2,padded/thread_packet/x8/native_scalar,native_scalar,0.023245977412941109,1
bf16_e8m7,fp32,dot,padded,thread_packet,8,3,padded/thread_packet/x8/native_packed,native_packed,0.023499892883174882,0
bf16_e8m7,fp32,dot,padded,thread_packet,8,4,padded/thread_packet/x8/subnormal_lut_shared,subnormal_lut_shared,0.026818663399358327,0
bf16_e8m7,fp32,dot,padded,thread_packet,8,5,padded/thread_packet/x8/subnormal_lut_global,subnormal_lut_global,0.03234176390034571,0
bf16_e8m7,fp32,dot,padded,thread_packet,8,6,padded/thread_packet/x8/prefix_lut_global,prefix_lut_global,0.037505416801342596,0
bf16_e8m7,fp32,dot,padded,thread_packet,8,7,padded/thread_packet/x8/prefix_lut_shared,prefix_lut_shared,0.038041121104643458,0
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,1,dense/cooperative_shuffle/x2/native_scalar,native_scalar,0.034956890771197131,1
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,2,dense/cooperative_shuffle/x2/direct_branchy,direct_branchy,0.035043175540753264,1
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,3,dense/cooperative_shuffle/x2/subnormal_lut_shared,subnormal_lut_shared,0.040555420436235154,0
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,4,dense/cooperative_shuffle/x2/subnormal_lut_global,subnormal_lut_global,0.05239245954792407,0
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,5,dense/cooperative_shuffle/x2/prefix_lut_global,prefix_lut_global,0.061901538799970582,0
bf16_e8m7,fp32,gemv,dense,cooperative_shuffle,2,6,dense/cooperative_shuffle/x2/prefix_lut_shared,prefix_lut_shared,0.062508512765933305,0
bf16_e8m7,fp32,gemv,dense,scalar,1,1,dense/scalar/x1/direct_branchy,direct_branchy,0.032887608854920716,1
bf16_e8m7,fp32,gemv,dense,scalar,1,2,dense/scalar/x1/generic,generic,0.032920788711225481,1
bf16_e8m7,fp32,gemv,dense,scalar,1,3,dense/scalar/x1/native_scalar,native_scalar,0.033000338245445571,0
bf16_e8m7,fp32,gemv,dense,scalar,1,4,dense/scalar/x1/subnormal_lut_shared,subnormal_lut_shared,0.040388202263137038,0
bf16_e8m7,fp32,gemv,dense,scalar,1,5,dense/scalar/x1/subnormal_lut_global,subnormal_lut_global,0.043322181701660162,0
bf16_e8m7,fp32,gemv,dense,scalar,1,6,dense/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.046884614060135221,0
bf16_e8m7,fp32,gemv,dense,scalar,1,7,dense/scalar/x1/prefix_lut_global,prefix_lut_global,0.052500693694404937,0
bf16_e8m7,fp32,gemv,dense,thread_packet,2,1,dense/thread_packet/x2/native_scalar,native_scalar,0.027217029828077173,1
bf16_e8m7,fp32,gemv,dense,thread_packet,2,2,dense/thread_packet/x2/native_packed,native_packed,0.027226981326673158,1
bf16_e8m7,fp32,gemv,dense,thread_packet,2,3,dense/thread_packet/x2/direct_branchy,direct_branchy,0.027555068176253854,0
bf16_e8m7,fp32,gemv,dense,thread_packet,2,4,dense/thread_packet/x2/subnormal_lut_shared,subnormal_lut_shared,0.035622909213557388,0
bf16_e8m7,fp32,gemv,dense,thread_packet,2,5,dense/thread_packet/x2/subnormal_lut_global,subnormal_lut_global,0.038156128698779684,0
bf16_e8m7,fp32,gemv,dense,thread_packet,2,6,dense/thread_packet/x2/prefix_lut_global,prefix_lut_global,0.046204715855451869,0
bf16_e8m7,fp32,gemv,dense,thread_packet,2,7,dense/thread_packet/x2/prefix_lut_shared,prefix_lut_shared,0.047831229856698819,0
