format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
bf16_e8m7,gemv,normal_0_1,native_direct_x1,1,5,1.1776537195788095,7.2,0,0.3101604282570684
bf16_e8m7,gemv,normal_0_1,native_fp32_x1,1,5,1.177164035390626,8.0,0,0.3341783625978603
bf16_e8m7,gemv,normal_0_1,subnormal_global_x8,8,5,0.9190189761538458,11.2,0,0.08081309339192928
bf16_e8m7,gemv,normal_0_1,word_branchy_x8,8,5,0.9054598359851185,12.2,0,0.14319250796625452
bf16_e8m7,gemv,normal_0_1,word_branchy_x4,4,5,0.8859732579116381,12.8,0,0.11374618799796671
bf16_e8m7,gemv,normal_0_1,subnormal_shared_x8,8,5,0.8672789277090117,14.2,0,0.0852498855798287
bf16_e8m7,gemv,normal_0_1,full_high_l2_x4,4,5,0.8358777150671602,14.2,0,0.14012182622334798
bf16_e8m7,gemv,normal_0_1,full_high_l2_x8,8,5,0.7942859146352144,15.0,0,0.08610563568512324
bf16_e8m7,gemv,normal_0_1,word_branchy_x1,1,5,0.7773822935739363,13.6,0,0.14242484910743605
bf16_e8m7,gemv,normal_0_1,full_high_l2_x1,1,5,0.7143880659872733,16.4,0,0.15149333520604194
bf16_e8m7,gemv,normal_0_1,word_masked_x4,4,5,0.5488627857499867,17.4,0,0.14659262011987811
bf16_e8m7,gemv,normal_0_1,word_masked_x8,8,5,0.5333277722317181,17.8,0,0.1616526942552741
bf16_e8m7,gemv,normal_0_1,word_masked_x1,1,5,0.4981446405263689,18.2,0,0.1394069806475237
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x4,4,5,1.6724835705422263,2.0,2,0.18779906459367904
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x4,4,5,1.6319905325593946,3.0,0,0.17282259038109637
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x8,8,5,1.57560669157831,4.4,0,0.04228284760917432
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x8,8,5,1.574146215766796,4.2,2,0.029711538982657684
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x2,2,5,1.46386210905878,3.8,1,0.08803287994617698
bf16_e8m7,gemv,uniform_0_1,generic_x1,1,5,1.1786570545693473,7.8,0,0.3409233315673122
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x1,1,5,1.1786291780044227,7.2,0,0.25471837789757507
bf16_e8m7,gemv,uniform_0_1,native_fp32_x1,1,5,1.178173087360651,8.2,0,0.36630632950187797
bf16_e8m7,gemv,uniform_0_1,native_direct_x1,1,5,1.175004495847373,8.4,0,0.3581410034978229
bf16_e8m7,gemv,uniform_0_1,full_high_l2_x4,4,5,1.089598108274203,9.4,0,0.1300815747675737
