distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
uniform_0_1,e11m20,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.003583519450633599,1.1945099055955302,0.057921073921832544
uniform_0_1,e11m20,gemv,4096,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.005462739254250137,1.4132117413911112,0.21163675866999107
uniform_0_1,e11m20,gemv,16384,1024,generic_x4,generic,none,shift_mask,4,0.020443407790538406,2.1270717432298714,0.3961778953127298
uniform_0_1,e11m20,gemv,65536,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.06880935250896297,2.182991984087429,0.24008360138617557
normal_0_1,e11m4,dot,4096,1,prefix_word_x2,prefix_word,none,shift_mask,2,0.004343459894368937,1.0001099444580666,0.017545458616658672
normal_0_1,e11m4,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004541406755122798,1.0254799398831846,0.011919787717371608
normal_0_1,e11m4,dot,1048576,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.005853319894238777,1.6125366963879542,0.1386790987336784
normal_0_1,e11m4,dot,16777216,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.025038717616404332,2.9255468059079868,0.05119344090663442
normal_0_1,e11m4,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.13331828798566545,3.7783623325623026,0.06431085367216992
uniform_0_1,e11m4,dot,4096,1,prefix_word_x2,prefix_word,none,shift_mask,2,0.004341739313194479,1.000358829012191,0.021696860972860957
uniform_0_1,e11m4,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004542573805778257,1.0242560260178408,0.011261908426871471
uniform_0_1,e11m4,dot,1048576,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.005852926368057667,1.6095444049842358,0.35739397019628333
uniform_0_1,e11m4,dot,16777216,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.024597367539573402,2.960552452902754,0.0619549788500389
uniform_0_1,e11m4,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.13285862239061202,3.7877095466648445,0.058083598626820124
normal_0_1,e11m4,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.003336452153289835,1.0035400160377856,0.048417615132611024
normal_0_1,e11m4,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.0035497010145458664,1.2043671757109933,0.07462488295867008
normal_0_1,e11m4,gemv,4096,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.005028399767757078,1.543442614693063,0.1259059030471674
normal_0_1,e11m4,gemv,16384,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.010671125181460949,4.082365040091898,0.169645440026599
normal_0_1,e11m4,gemv,65536,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.044521695917302914,3.3762654919755652,0.09461160725035968
uniform_0_1,e11m4,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.0033361490559440502,1.003045787314151,0.03165460297389638
uniform_0_1,e11m4,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.003544453288920536,1.2039420717334104,0.041752627684103455
uniform_0_1,e11m4,gemv,4096,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.0050190352883341055,1.5410702175181727,0.12919975387567528
uniform_0_1,e11m4,gemv,16384,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.010652919942268609,4.086579589679461,0.13347667513703076
uniform_0_1,e11m4,gemv,65536,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.044478723607911656,3.3779856168050584,0.1343098409019969
normal_0_1,e1m14,dot,4096,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.0044389628900314655,0.9785797666499843,0.008867776295044537
normal_0_1,e1m14,dot,65536,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.004732072590202685,0.9812197038399082,0.016320632091781084
normal_0_1,e1m14,dot,1048576,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.006676635588986807,1.41176384941112,0.24544570360931994
normal_0_1,e1m14,dot,16777216,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.03011594955891246,2.4329495975820596,0.07445208126304723
