format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m1,dot,uniform_0_1,byte_quad_l2_x4,4,5,1.793698651895477,14.8,0,0.048969649800537925
e0m1,dot,uniform_0_1,byte_quad_shared_x8,8,5,1.7756716290455747,20.6,0,0.03481141392899462
e0m1,dot,uniform_0_1,byte_quad_shared_x4,4,5,1.7645297562427913,19.4,0,0.028996211726295944
e0m1,dot,uniform_0_1,fixed_integer_x8,8,5,1.7566934486147037,14.8,0,0.08634096465720545
e0m1,dot,uniform_0_1,word_masked_x4,4,5,1.7547590954895684,10.2,0,0.034170031345084985
e0m1,dot,uniform_0_1,word_branchy_x4,4,5,1.754753688470805,9.8,1,0.046341048497563785
e0m1,dot,uniform_0_1,byte_quad_l2_x8,8,5,1.7385809845741467,18.0,0,0.0172194917267991
e0m1,dot,uniform_0_1,fixed_integer_x4,4,5,1.6999184804351994,13.2,0,0.08694511069178007
e0m1,dot,uniform_0_1,pair_shared_x2,2,5,1.59401871533022,22.8,0,0.07133087903841512
e0m1,dot,uniform_0_1,pair_l2_x2,2,5,1.582197165824574,19.8,0,0.11540502865268874
e0m1,dot,uniform_0_1,full_high_shared_x2,2,5,1.5565702189248016,22.6,0,0.14847179469977395
e0m1,dot,uniform_0_1,full_high_global_x2,2,5,1.5475237044278576,19.2,0,0.14985312572302506
e0m1,dot,uniform_0_1,full_high_warp_x8,8,5,1.5227012914616074,27.2,0,0.11606514830930727
e0m1,dot,uniform_0_1,full_high_warp_x4,4,5,1.4833350290245166,26.4,0,0.021167507336969076
e0m1,dot,uniform_0_1,word_branchy_x2,2,5,1.456295264404449,15.8,1,0.1447218996344184
e0m1,dot,uniform_0_1,word_masked_x2,2,5,1.4561011550633436,17.0,0,0.046049112428019505
e0m1,dot,uniform_0_1,fixed_integer_x2,2,5,1.4342421086628756,18.4,0,0.01447354937712162
e0m1,dot,uniform_0_1,full_high_shared_x1,1,5,1.3017318829364128,29.8,0,0.08359243306687691
e0m1,dot,uniform_0_1,full_high_global_x1,1,5,1.2993633793813821,25.2,0,0.15024271077657556
e0m1,dot,uniform_0_1,fp32_bits_x4,4,5,1.2693373993555541,32.0,0,0.18464469390429908
e0m1,dot,uniform_0_1,full_high_warp_x2,2,5,1.2672452558516754,31.8,0,0.11688584623617956
e0m1,dot,uniform_0_1,word_masked_x1,1,5,1.2439367898848173,24.8,0,0.11935038062781936
e0m1,dot,uniform_0_1,word_branchy_x1,1,5,1.2436796589938357,25.4,0,0.1132038355667626
e0m1,dot,uniform_0_1,fixed_integer_x1,1,5,1.2336526202005131,26.0,0,0.09978303487217133
e0m1,dot,uniform_0_1,fp32_bits_x8,8,5,1.2236519458487134,33.0,0,0.15478722919398963
e0m1,dot,uniform_0_1,fp32_bits_x2,2,5,1.1200466725899947,36.4,0,0.1661915114852697
e0m1,dot,uniform_0_1,generic_x4,4,5,1.0838539047688363,36.2,0,0.1284601035353914
e0m1,dot,uniform_0_1,generic_x8,8,5,1.0461444343566406,36.8,0,0.07084704519902377
e0m1,dot,uniform_0_1,full_high_warp_x1,1,5,1.0459068572923191,35.8,0,0.19741023906671734
e0m1,dot,uniform_0_1,generic_x2,2,5,0.9877581420334601,38.6,0,0.3081550450132247
e0m1,dot,uniform_0_1,fp32_bits_x1,1,5,0.9845334442339507,37.0,0,0.09547724244557015
e0m1,dot,uniform_0_1,generic_x1,1,5,0.9304898545086623,38.2,0,0.1085213113253741
e0m1,gemv,normal_0_1,full_high_shared_x8,8,5,1.6253634120205107,7.6,1,0.09958497532528247
e0m1,gemv,normal_0_1,pair_l2_x4,4,5,1.5855855355299944,4.0,1,0.22873115150222223
e0m1,gemv,normal_0_1,pair_shared_x4,4,5,1.5851194457793971,6.6,0,0.133243382854796
e0m1,gemv,normal_0_1,pair_shared_x8,8,5,1.562817390626381,11.4,2,0.07089130914274104
