gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,0,2047,11.174880027770996,0.005459149989140692,16424,16424,8192,3.0085269744686478,3.0085269744686478,1.5005999132274213
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,1,2222,10.635711669921875,0.0047865489063554792,16648,16648,8192,3.4780799957763171,3.4780799957763171,1.7114627177678752
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,2,2065,11.331104278564453,0.005487217568312084,16520,16520,8192,3.0106333117536095,3.0106333117536095,1.4929242185160758
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,3,2141,10.210271835327148,0.0047689265928664865,16648,16648,8192,3.4909323252957201,3.4909323252957201,1.7177869779446502
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,4,1962,11.546815872192383,0.0058852272539206846,16456,16456,8192,2.7961537065602968,2.7961537065602968,1.3919598422546156
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,0,0,5,1803,11.741472244262695,0.0065121864915489158,16424,16424,8192,2.5220407955629001,2.5220407955629001,1.2579492326626449
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x2,fp32_bits,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,6,2131,10.618592262268066,0.0049829151864233066,16520,16520,8192,3.3153283533725797,3.3153283533725797,1.6440175466603009
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,generic_x8,generic,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,7,1914,11.053343772888184,0.0057749967465455503,16424,16424,8192,2.8439842861945164,2.8439842861945164,1.418528937682993
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,8,2287,10.823040008544922,0.004732418018602939,16520,16520,8192,3.490815886310247,3.490815886310247,1.7310389673519091
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,9,2004,11.569055557250977,0.0057729818149954973,16424,16424,8192,2.8449769159740215,2.8449769159740215,1.4190240438175346
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,10,2191,10.771679878234863,0.0049163303871450764,16648,16648,8192,3.3862655047614751,3.3862655047614751,1.6662834583737387
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fixed_integer_x4,fixed_integer,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,11,2233,10.558015823364258,0.0047281754694869045,16456,16456,8192,3.4804122871915713,3.4804122871915713,1.7325922129723721
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,12,2122,10.608192443847656,0.0049991481827745786,16456,16456,8192,3.2917607957095503,3.2917607957095503,1.6386791710289645
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,0,0,13,2122,11.208383560180664,0.0052819903676628952,16648,16648,8192,3.151842173344626,3.151842173344626,1.550930507210426
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,generic_x2,generic,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,14,2103,10.479616165161133,0.0049831745911370099,16520,16520,8192,3.3151557702558105,3.3151557702558105,1.64393196549247
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,generic_x1,generic,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,15,2141,10.666272163391113,0.0049819113327375583,16648,16648,8192,3.3416893413179092,3.3416893413179092,1.6443488157181831
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,16,2151,11.275520324707031,0.0052419899231552908,16456,16456,8192,3.1392658591939266,3.1392658591939266,1.5627653086118527
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,17,2201,10.989888191223145,0.0049931341168664902,16456,16456,8192,3.2957256133803168,3.2957256133803168,1.6406529062233566
