q,q_eighths,N,left_seed,right_seed,hot_sector_base,mean_unique_left,mean_unique_right,mean_unique_both,uniform_mean_unique,normalized_sector_dispersion
0,0,1048576,2611923443488327891,1376283091369227076,0,1,1,1,31.939526969393228,0
0.5,4,1048576,2611923443488327891,1376283091369227076,0,16.984161376953125,17.001190185546875,16.99267578125,31.939526969393228,0.51690110831593106
1,8,1048576,2611923443488327891,1376283091369227076,0,31.94000244140625,31.939239501953125,31.939620971679688,31.939526969393228,1.0000030382586829
