gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,4096,0,0,1756,0.0064303054896465463,8192,4096,8192,1013.25,0,0,1.2739674675161179,0.63698373375805895
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,4,1,4096,0,0,1796,0.0063655944603323144,8192,4096,8192,1013.25,0,0,1.2869182997831656,0.64345914989158282
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,8,1,4096,0,0,1553,0.0075793429028964852,8192,4096,8192,1013.25,0,0,1.0808324817801005,0.54041624089005025
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,2,1,4096,0,0,1946,0.0058934593004655988,8192,4096,8192,1013.25,0,0,1.3900155379630452,0.69500776898152261
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,2,1,4096,0,0,1922,0.005940395637059683,8192,4096,4096,1013.25,0,0,1.3790327278697541,0.68951636393487703
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,8,1,4096,0,0,1568,0.0076479181951406051,8192,4096,8192,1013.25,0,0,1.0711411642981612,0.5355705821490806
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,4,1,4096,0,0,1824,0.006377543796572769,8192,4096,8192,1013.25,0,0,1.2845070549577882,0.64225352747889408
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,4096,0,0,1978,0.0056972455448038774,8192,4096,8192,1013.25,0,0,1.4378878241383577,0.71894391206917885
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,4096,0,0,1645,0.0074938945132548319,8192,4096,1024,1013.25,0,0,1.0931565670574084,0.54657828352870419
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,4096,0,0,1962,0.0059403055912371685,8192,4096,4096,1013.25,0,0,1.3790536318677635,0.68952681593388176
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,4096,0,0,1922,0.0059423431769618134,8192,4096,8192,1013.25,0,0,1.3785807645307329,0.68929038226536643
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,vector_packet,4,1,4096,0,0,1824,0.0063667370561967815,8192,4096,2048,1013.25,0,0,1.2866873451333565,0.64334367256667824
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,vector_packet,8,1,4096,0,0,1639,0.0072836803182586797,8192,4096,1024,1013.25,0,0,1.1247061433303642,0.56235307166518211
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,2,1,4096,0,0,1914,0.0059655592110214317,8192,4096,8192,1013.25,0,0,1.3732157724401086,0.68660788622005431
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,vector_packet,2,1,4096,0,0,1883,0.005879061309441695,8192,4096,4096,1013.25,0,0,1.3934197261803949,0.69670986309019745
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_single,1,1,4096,0,0,1769,0.0057071973672352515,8192,4096,8192,1013.25,0,0,1.4353805331895269,0.71769026659476343
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,4096,0,0,1868,0.0064284541111686759,8192,4096,2048,1013.25,0,0,1.27433436691527,0.63716718345763501
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_single,1,1,4096,0,0,2021,0.0056956360565442255,8192,4096,8192,1013.25,0,0,1.4382941463732533,0.71914707318662663
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,4096,0,0,1522,0.007891216979860163,8192,4096,8192,1013.25,0,0,1.0381161766185736,0.51905808830928679
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,4,1,4096,0,0,1824,0.006366772086996781,8192,4096,2048,1013.25,0,0,1.2866802656138714,0.64334013280693569
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,8,1,4096,0,0,1628,0.0072802946667120559,8192,4096,1024,1013.25,0,0,1.1252291802770793,0.56261459013853965
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,vector_packet,4,1,4096,0,1,1824,0.0063665613793490224,8192,4096,2048,1013.25,0,0,1.2867228495702696,0.64336142478513481
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_single,1,1,4096,0,1,2021,0.0056951924870947334,8192,4096,8192,1013.25,0,0,1.4384061677569309,0.71920308387846543
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,4096,0,1,1645,0.0074943414937399082,8192,4096,1024,1013.25,0,0,1.0930913685802617,0.54654568429013084
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,4096,0,1,1868,0.006428933500988325,8192,4096,2048,1013.25,0,0,1.2742393429237737,0.63711967146188686
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,4096,0,1,1978,0.0056967764218969702,8192,4096,8192,1013.25,0,0,1.4380062325268759,0.71900311626343794
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,8,1,4096,0,1,1628,0.0072809437276104448,8192,4096,1024,1013.25,0,0,1.125128871541019,0.56256443577050952
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,2,1,4096,0,1,1922,0.0059408283134404875,8192,4096,4096,1013.25,0,0,1.3789322915571349,0.68946614577856746
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,2,1,4096,0,1,1914,0.0059403969576366268,8192,4096,8192,1013.25,0,0,1.3790324213045801,0.68951621065229007
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,8,1,4096,0,1,1568,0.0076484899131619198,8192,4096,8192,1013.25,0,0,1.0710610974203914,0.53553054871019568
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,vector_packet,8,1,4096,0,1,1639,0.0072859839159515735,8192,4096,1024,1013.25,0,0,1.1243505468169974,0.56217527340849871
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,2,1,4096,0,1,1946,0.0058925712953981123,8192,4096,8192,1013.25,0,0,1.3902250120244892,0.69511250601224461
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,vector_packet,4,1,4096,0,1,1824,0.0063663334177251445,8192,4096,2048,1013.25,0,0,1.2867689237248925,0.64338446186244624
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp32,scalar_unrolled,4,1,4096,0,1,1796,0.0063655413604260551,8192,4096,8192,1013.25,0,0,1.286929034964545,0.64346451748227251
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_single,1,1,4096,0,1,1769,0.0057084815120750929,8192,4096,8192,1013.25,0,0,1.4350576388259373,0.71752881941296864
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,4096,0,1,1756,0.0064300502351313351,8192,4096,8192,1013.25,0,0,1.2740180403633621,0.63700902018168104
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,4096,0,1,1922,0.0059402790327598102,8192,4096,8192,1013.25,0,0,1.3790597974981078,0.6895298987490539
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,8,1,4096,0,1,1553,0.0075768497169823781,8192,4096,8192,1013.25,0,0,1.0811881330625912,0.5405940665312956
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp16,scalar_unrolled,4,1,4096,0,1,1824,0.0063771051273011324,8192,4096,8192,1013.25,0,0,1.2845954138232862,0.64229770691164312
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,4096,0,1,1962,0.0059403386441696428,8192,4096,4096,1013.25,0,0,1.3790459586071462,0.68952297930357309
