gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,8,4429185024,4096,0,0,49,0.30762709403524591,0,0,0,8858370048,14397902882678.248,0,28795.805765356497
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,2,134217728,1,0,0,69,0.21794457366501074,268435456,67108864,134217728,0,615834226762.15759,1231.6684535243153,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,4,134217728,1,0,0,120,0.12357786496480307,268435456,33554432,134217728,0,1086098453296.8534,2172.1969065937069,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,2,134217728,1,0,0,68,0.21885977071874282,268435456,134217728,134217728,0,613259017677.04712,1226.5180353540943,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_unrolled,4,134217728,1,0,0,125,0.11931673431396485,268435456,134217728,0,0,1124886033561.9421,2249.7720671238844,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_single,1,134217728,1,0,0,37,0.41381361677839951,268435456,134217728,134217728,0,324343430370.6701,648.68686074134018,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,4,138412032,256,0,0,1285,0.0096020420237737866,1081344,540672,138412032,0,14414853804774.479,112.61604534980061,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_single,1,134217728,1,0,0,37,0.40519438563166438,268435456,134217728,0,0,331242812732.37708,662.48562546475409,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,vector_packet,4,134217728,1,0,0,128,0.11732524633407593,268435456,33554432,0,0,1143979937769.0957,2287.9598755381912,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_unrolled,4,134217728,1,0,1,125,0.11922303771972656,268435456,134217728,0,0,1125770074031.5261,2251.5401480630521,0
