distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,hbm_floor_ms,stream_load_scaled_component_ms,stream_decode_scaled_component_ms,register_decode_scaled_component_ms,arithmetic_chain_scaled_component_ms,note
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,4096,0.005318894174312113,3.842708247248084e-06,1.2887489299853922e-05,1.2900527815898539e-05,1.0191109724102764e-06,3.641892937863409e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,65536,0.005319710697036192,6.148333195596934e-05,0.00020619982879766275,0.00020640844505437662,1.6305775558564422e-05,5.827028700581454e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,1048576,0.005975325819604975,0.0009837333112955094,0.0018338582177800456,0.0018324404954910278,0.00014554180585400175,5.361526718228569e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,0.1569121712132504,0.1259178638458252,0.23473385187584583,0.23455238342285156,0.018629351149312225,0.006862754199332568,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,16777216,0.026536998358074736,0.01573973298072815,0.02934173148448073,0.029319047927856445,0.002328668893664028,0.000857844274916571,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,4096,0.0053454525323786695,3.842708247248084e-06,7.163508663203303e-06,7.1579706855118275e-06,5.685226791171944e-07,2.0943463743080347e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,65536,0.005353485380670689,6.148333195596934e-05,0.00011461613861125285,0.00011452753096818924,9.09636286587511e-06,3.3509541988928556e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,1048576,0.005989382390946788,0.0009837333112955094,0.0012387635753206584,0.001235789916616805,0.0001383739219165202,3.9716718916914115e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,0.12954364202718818,0.1259178638458252,0.15856173764104428,0.15818110932695104,0.017711862005314584,0.005083740021365007,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,16777216,0.02303300153245639,0.01573973298072815,0.019820217205130535,0.01977263866586888,0.002213982750664323,0.0006354675026706258,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,0.0053688183878407335,3.842708247248084e-06,4.838920216096322e-06,4.827304361784394e-06,5.40523132486407e-07,1.5514343326919576e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,65536,0.005377422383079659,6.148333195596934e-05,7.742272345754115e-05,7.723686978855031e-05,8.648370119782512e-06,2.4822949323071322e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,0.007098323526112917,0.0009837333112955094,0.006328445834082526,0.006466189349019849,0.0005064657141058875,0.0001957127669404014,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,0.4884087654852098,0.1259178638458252,0.8100410667625634,0.8276722366745407,0.0648276114055536,0.025051234168371378,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,16777216,0.06800295130997759,0.01573973298072815,0.10125513334532042,0.10345902958431759,0.0081034514256942,0.0031314042710464222,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,4096,0.0054109416583168835,3.842708247248084e-06,2.472049153938487e-05,2.5258552144608786e-05,1.978381695726123e-06,7.645029958609429e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,65536,0.005415344893084606,6.148333195596934e-05,0.0003955278646301579,0.0004041368343137406,3.165410713161797e-05,1.2232047933775087e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,1048576,0.006393657229790974,0.0009837333112955094,0.00332433090243541,0.003419246362603229,0.00031135407243449434,0.00012321105540781055,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,0.2689057077680315,0.1259178638458252,0.4255143555117325,0.4376635344132133,0.039853321271615276,0.01577101509219975,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,16777216,0.04048546615054128,0.01573973298072815,0.05318929443896656,0.054707941801651665,0.0049816651589519095,0.001971376886524969,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,4096,0.005414210634278546,3.842708247248084e-06,1.2985667587638321e-05,1.3356431103918863e-05,1.2162268454472435e-06,4.8129318518676e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,65536,0.005415913154338968,6.148333195596934e-05,0.00020777068140221314,0.00021370289766270182,1.9459629527155896e-05,7.70069096298816e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,1048576,0.006203665324178697,0.0009837333112955094,0.001864838744363477,0.0019406416763861974,0.00021454626071075128,7.767171570748995e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,0.1704552715474909,0.1259178638458252,0.23869935927852506,0.24840213457743326,0.027461921370976163,0.009941979610558713,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,16777216,0.028189214562539668,0.01573973298072815,0.029837419909815633,0.031050266822179158,0.0034327401713720204,0.0012427474513198391,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,4096,0.005414677037339266,3.842708247248084e-06,7.284526345169832e-06,7.5806315483835835e-06,8.380713309013722e-07,3.034051394823826e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,65536,0.005417964177693198,6.148333195596934e-05,0.00011655242152271732,0.00012129010477413734,1.3409141294421955e-05,4.854482231718122e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,1048576,0.0069115735197847064,0.0009837333112955094,0.00135135878534878,0.0014428156428039074,0.0001752386704952603,7.284786517633357e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,134217728,0.16108695320461108,0.1259178638458252,0.17297392452464383,0.18468040227890015,0.02243054982339332,0.009324526742570697,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,16777216,0.027102111450420536,0.01573973298072815,0.02162174056558048,0.02308505028486252,0.002803818727924165,0.0011655658428213372,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,4096,0.005602126128509328,3.842708247248084e-06,5.2787452552686716e-06,5.635998604702763e-06,6.845260566221106e-07,2.84561973345053e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,65536,0.00573488243087799,6.148333195596934e-05,8.445992408429874e-05,9.017597767524421e-05,1.095241690595377e-05,4.552991573520848e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,1048576,0.006393796505208788,0.0009837333112955094,0.003299197260762604,0.0034040290376414423,0.00031135407243449434,0.00012321105540781055,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,0.2702645744596209,0.1259178638458252,0.4222972493776133,0.4357157168181046,0.039853321271615276,0.01577101509219975,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,16777216,0.04070631133185493,0.01573973298072815,0.052787156172201664,0.05446446460226308,0.0049816651589519095,0.001971376886524969,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,4096,0.005414261415780309,3.842708247248084e-06,1.2887489299853922e-05,1.3296988428286884e-05,1.2162268454472435e-06,4.8129318518676e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,65536,0.005415572200913027,6.148333195596934e-05,0.00020619982879766275,0.00021275181485259014,1.9459629527155896e-05,7.70069096298816e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,1048576,0.006240693357887144,0.0009837333112955094,0.0018338582177800456,0.0019312941727518034,0.00021454626071075128,7.767171570748995e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,0.1683904669258032,0.1259178638458252,0.23473385187584583,0.24720565411223083,0.027461921370976163,0.009941979610558713,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,16777216,0.027934152291590474,0.01573973298072815,0.02934173148448073,0.030900706764028854,0.0034327401713720204,0.0012427474513198391,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,4096,0.0054149622926693,3.842708247248084e-06,7.163508663203303e-06,7.544117862311732e-06,8.380713309013722e-07,3.034051394823826e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,65536,0.005416154271597204,6.148333195596934e-05,0.00011461613861125285,0.00012070588579698771,1.3409141294421955e-05,4.854482231718122e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,1048576,0.0064266545735382555,0.0009837333112955094,0.0012387635753206584,0.001359935280154733,0.0001752386704952603,7.284786517633357e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,134217728,0.1361516402648376,0.1259178638458252,0.15856173764104428,0.17407171585980583,0.02243054982339332,0.009324526742570697,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,16777216,0.023830588525082883,0.01573973298072815,0.019820217205130535,0.021758964482475728,0.002803818727924165,0.0011655658428213372,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,4096,0.0054152822190491,3.842708247248084e-06,4.838920216096322e-06,5.312247188104426e-06,6.845260566221106e-07,2.84561973345053e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,65536,0.005416879353742622,6.148333195596934e-05,7.742272345754115e-05,8.499595500967081e-05,1.095241690595377e-05,4.552991573520848e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,1048576,0.00687908286478982,0.0009837333112955094,0.006330567437249261,0.006350189044668868,0.0005214254156217371,0.00018702170382163059,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,134217728,0.479297012090683,0.1259178638458252,0.8103126319679054,0.812824197717615,0.06674245319958234,0.023938778089168715,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,16777216,0.06643476486206054,0.01573973298072815,0.10128907899598817,0.10160302471470188,0.008342806649947793,0.0029923472611460894,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,4096,0.0052679441646187606,3.842708247248084e-06,2.4728779051754925e-05,2.4805425955737764e-05,2.0368180297724104e-06,7.305535305532445e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,65536,0.005272242994193571,6.148333195596934e-05,0.0003956604648280788,0.0003968868152918042,3.2589088476358566e-05,1.1688856488851912e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,1048576,0.006183290660925798,0.0009837333112955094,0.003324178499834878,0.0033301196887459555,0.00026077583670287754,9.336933048124936e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,134217728,0.25917959213256836,0.1259178638458252,0.4254948479788644,0.4262553201594823,0.033379307097968325,0.011951274301599918,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,16777216,0.038708178537816676,0.01573973298072815,0.05318685599735805,0.05328191501993529,0.004172413387246041,0.0014939092876999898,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,4096,0.005269652593159628,3.842708247248084e-06,1.2985072264979992e-05,1.3008280034163889e-05,1.0186556121206154e-06,3.647239471923803e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,65536,0.005270157574234448,6.148333195596934e-05,0.00020776115623967988,0.00020813248054662222,1.6298489793929846e-05,5.835583155078085e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,1048576,0.005975907897148653,0.0009837333112955094,0.0018652600049972534,0.0018487659002107287,0.0001455221931420625,5.3590091514142794e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,134217728,0.15869276574317445,0.1259178638458252,0.23875328063964843,0.23664203522697327,0.018626840722184,0.006859531713810278,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,16777216,0.026277514719663445,0.01573973298072815,0.029844160079956054,0.02958025440337166,0.002328355090273,0.0008574414642262847,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,4096,0.005367302984902353,3.842708247248084e-06,7.286171894520521e-06,7.221741797698159e-06,5.684460669611816e-07,2.093362949771203e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
