distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,x1_time_ms,speedup_over_x1
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,1048576,0.005975325819604975,0.006875474016823872,1.1506442032442015
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,0.1569121712132504,0.47962599992752075,3.056652624325033
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,16777216,0.026536998358074736,0.0668110303138489,2.5176558935694207
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,4096,0.0053454525323786695,0.005277445216378766,0.9872775381339621
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,65536,0.005353485380670689,0.005319965260946722,0.99373863617056
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,1048576,0.005989382390946788,0.006875474016823872,1.1479437391101377
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,0.12954364202718818,0.47962599992752075,3.702427941827191
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,16777216,0.02303300153245639,0.0668110303138489,2.9006653874313244
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,0.0053688183878407335,0.005277445216378766,0.9829807669283601
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,65536,0.005377422383079659,0.005319965260946722,0.9893151182779079
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,0.007098323526112917,0.007098323526112917,1.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,0.4884087654852098,0.4884087654852098,1.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,16777216,0.06800295130997759,0.06800295130997759,1.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,4096,0.0054109416583168835,0.0054109416583168835,1.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,65536,0.005415344893084606,0.005415344893084606,1.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,1048576,0.006393657229790974,0.007098323526112917,1.1102133365921747
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,0.2689057077680315,0.4884087654852098,1.8162826276135802
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,16777216,0.04048546615054128,0.06800295130997759,1.6796879911698488
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,4096,0.005414210634278546,0.0054109416583168835,0.9993962229801393
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,65536,0.005415913154338968,0.005415344893084606,0.9998950756339386
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,1048576,0.006203665324178697,0.007098323526112917,1.1442144530987677
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,0.1704552715474909,0.4884087654852098,2.86531921864988
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,16777216,0.028189214562539668,0.06800295130997759,2.4123748165848493
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,4096,0.005414677037339266,0.0054109416583168835,0.9993101381676832
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,65536,0.005417964177693198,0.005415344893084606,0.999516555569087
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,1048576,0.0069115735197847064,0.007098323526112917,1.0270198972482358
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,134217728,0.16108695320461108,0.4884087654852098,3.0319573110606775
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,16777216,0.027102111450420536,0.06800295130997759,2.5091385014182137
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,4096,0.005602126128509328,0.0054109416583168835,0.965872872940239
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,65536,0.00573488243087799,0.005415344893084606,0.944281763114634
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,1048576,0.006393796505208788,0.007098323526112917,1.1101891529281824
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,0.2702645744596209,0.4884087654852098,1.8071505170877693
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,16777216,0.04070631133185493,0.06800295130997759,1.6705751291387962
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,4096,0.005414261415780309,0.0054109416583168835,0.9993868494318081
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,65536,0.005415572200913027,0.005415344893084606,0.9999580269969658
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,1048576,0.006240693357887144,0.007098323526112917,1.137425462050924
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,0.1683904669258032,0.4884087654852098,2.9004537750965094
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,16777216,0.027934152291590474,0.06800295130997759,2.4344018246957777
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,4096,0.0054149622926693,0.0054109416583168835,0.9992574954108435
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,65536,0.005416154271597204,0.005415344893084606,0.9998505621383714
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,1048576,0.0064266545735382555,0.007098323526112917,1.1045130004871053
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,134217728,0.1361516402648376,0.4884087654852098,3.5872411418266683
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,16777216,0.023830588525082883,0.06800295130997759,2.8535993241795556
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,4096,0.0054152822190491,0.0054109416583168835,0.9991984608453189
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,65536,0.005416879353742622,0.005415344893084606,0.9997167260782804
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,1048576,0.006075456500643875,0.00687908286478982,1.1322742355345277
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,134217728,0.25698332059181345,0.479297012090683,1.8650899637645653
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,16777216,0.03840085712259001,0.06643476486206054,1.7300333857126087
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,4096,0.005211511340755766,0.0052679441646187606,1.0108284948785722
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,65536,0.0051890918186732705,0.005272242994193571,1.016024225129545
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,1048576,0.005854100004323192,0.00687908286478982,1.1750880339778427
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,134217728,0.15664066871007284,0.479297012090683,3.0598503954156167
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,16777216,0.025996429429950948,0.06643476486206054,2.5555342144610007
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,4096,0.005246651443568143,0.0052679441646187606,1.0040583448852354
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,65536,0.00525444079214151,0.005272242994193571,1.0033880298125513
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,1048576,0.006030959215572686,0.00687908286478982,1.1406283178017809
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,134217728,0.1295164124719028,0.479297012090683,3.7006662162964203
