gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,4096,0,1,2039,0.0054567139659692631,8192,16384,8192,1019.6816979555006,0,0,1.501269821194462,3.0025396423889239
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,4096,0,1,2047,0.0052722773437798168,8192,16384,1024,1019.6816979555006,0,0,1.55378775922417,3.10757551844834
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,4096,0,1,2030,0.00527014755850355,8192,16384,2048,1019.6816979555006,0,0,1.5544156798384039,3.1088313596768078
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,4096,0,1,1978,0.0052736420240874719,8192,16384,8192,1019.6875,0.0058020444994326681,5.6900545641507362e-06,1.5533856796845265,3.1067713593690529
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,4096,0,1,2021,0.0053781851986031432,8192,16384,8192,1019.625,0.056697955500567332,5.5603582582926443e-05,1.5231903881122724,3.0463807762245447
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,4096,0,1,2056,0.005274723939858522,8192,16384,4096,1019.6875,0.0058020444994326681,5.6900545641507362e-06,1.5530670596989999,3.1061341193979999
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,4096,0,1,2103,0.0052705049174658408,8192,16384,8192,1019.6816979555006,0,0,1.5543102849316515,3.1086205698633029
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,4096,0,1,2039,0.0053716372367855142,8192,16384,1024,1019.5,0.18169795550056733,0.00017819085687708079,1.5250471390548039,3.0500942781096079
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,4096,0,1,2084,0.0052700806945390755,8192,16384,8192,1019.6816979555006,0,0,1.5544354014329713,3.1088708028659426
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,4,1,4096,0,1,2093,0.0052561183552165608,8192,16384,2048,1019.75,0.068302044499432668,6.698369171122792e-05,1.5585645996478852,3.1171291992957704
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,4096,0,1,2075,0.0052692509846514963,8192,16384,4096,1019.6816979555006,0,0,1.5546801668514207,3.1093603337028415
