gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,8,4429185024,4096,0,0,49,0.30773158949248647,0,0,0,8858370048,14393013831646.76,0,28786.02766329352
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,2,134217728,1,0,0,69,0.2176301513893017,268435456,67108864,134217728,0,616723956414.97449,1233.447912829949,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,4,134217728,1,0,0,120,0.12356639703114827,268435456,33554432,134217728,0,1086199251776.895,2172.3985035537899,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,2,134217728,1,0,0,68,0.21880281672758214,268435456,134217728,134217728,0,613418647928.58765,1226.8372958571754,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,4,134217728,1,0,0,124,0.11947096547772808,268435456,134217728,0,0,1123433860798.7646,2246.8677215975295,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_single,1,134217728,1,0,0,37,0.41384390238169078,268435456,134217728,134217728,0,324319694521.46271,648.63938904292536,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,4,138412032,256,0,0,1244,0.0095988170893629259,1081344,540672,138412032,0,14419696792991.646,112.65388119524724,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_single,1,134217728,1,0,0,37,0.4050637838002798,268435456,134217728,0,0,331349612993.73334,662.69922598746666,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,4,134217728,1,0,0,127,0.11737952645369402,268435456,33554432,0,0,1143450924151.9951,2286.9018483039904,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,4,134217728,1,0,1,124,0.11927122454489431,268435456,134217728,0,0,1125315251118.9297,2250.6305022378592,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,8,276824064,256,0,1,585,0.023116362808097122,2162688,1081344,276824064,0,11975243090709.537,93.556586646168256,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,8,4429185024,4096,0,1,89,0.16482517156708107,0,0,0,8858370048,26872018283914.82,0,53744.036567829644
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,1,553648128,4096,0,1,148,0.098624216543661575,0,0,0,1107296256,5613713826105.7451,0,11227.427652211491
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,2,134217728,1,0,1,71,0.21283199417758997,268435456,134217728,0,0,630627592052.7572,1261.2551841055144,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,4,2214592512,4096,0,1,90,0.16408959494696723,0,0,0,4429185024,13496239738514.457,0,26992.479477028915
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,2,134217728,1,0,1,71,0.2111170728441695,268435456,67108864,0,0,635750231811.28162,1271.5004636225633,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,4,2214592512,4096,0,1,131,0.11321893357138597,0,0,0,4429185024,19560266486732.727,0,39120.532973465452
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,8,134217728,1,0,1,159,0.092323219251332786,268435456,134217728,134217728,0,1453780848289.2825,2907.5616965785648,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_single,1,134217728,1,0,1,37,0.40641037193504542,268435456,134217728,134217728,0,330251728962.89014,660.50345792578025,0
