distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,sustainable_hbm_gb_per_s,empirical_arithmetic_peak_gflop_per_s,memory_floor_ms,compute_floor_ms,classical_roof_time_ms,roof_gap,roof_efficiency
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,1048576,0.006875474016823872,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.989164581373526,0.14307861667259206
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,134217728,0.47962599992752075,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,3.8090385691007156,0.2625334403573898
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,16777216,0.0668110303138489,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,4.244737213499926,0.23558584423544723
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,4096,0.005277445216378766,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1373.366094123371,0.0007281379701151766
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_single,1,1,65536,0.005319965260946722,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,86.52695115412028,0.011557092751584619
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,1048576,0.006175540165347947,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.277656855205182,0.15929510374095074
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,134217728,0.25950675175107757,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,2.0609208560655032,0.48521999137273836
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,16777216,0.039148033142089846,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,2.4872107544659743,0.4020568012599755
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,4096,0.00531886273119823,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1384.144303697081,0.0007224680239834655
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,2,1,65536,0.0053202270558386135,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,86.53120913565061,0.011556524056336141
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,1048576,0.005975608989668431,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.074419683723999,0.16462477933150274
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,134217728,0.15904976694207443,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,1.2631231350685568,0.7916884524054928
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,16777216,0.026750269220836127,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,1.6995376766295438,0.5883953111196455
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,4096,0.005368418150782061,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1397.0402657101536,0.0007157989819940321
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,4,1,65536,0.005404373551157198,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,87.89981575864309,0.011376588123299579
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,1048576,0.006689385020922963,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.799998479378014,0.14705885641484268
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,134217728,0.15346738481030023,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,1.2187896150954949,0.8204861508617693
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,16777216,0.02577296312708054,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,1.6374460201222698,0.6107071547465907
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,4096,0.005507229932872804,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1433.1636904302454,0.0006977570019931172
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,65536,0.0055593258233239806,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,90.42004794576252,0.011059494246229986
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,1048576,0.006165623474121093,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.267576184851755,0.15955131146501614
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,0.25745409626071736,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,2.044619312919302,0.48908860132608384
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,16777216,0.03890999427974691,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,2.472087317325434,0.4045164557868069
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,4096,0.005318894174312113,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1384.152486237066,0.0007224637530497695
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,65536,0.005319710697036192,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,86.52281078139761,0.01155764579269771
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,1048576,0.005975325819604975,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.074131831254022,0.1646325808825172
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,0.1569121712132504,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,1.2461470233117586,0.802473529441495
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,16777216,0.026536998358074736,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,1.6859878366784773,0.5931240891809013
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,4096,0.0053454525323786695,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1391.0638509199237,0.0007188742625571721
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,65536,0.005353485380670689,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,87.07214151153248,0.011484729589056364
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,1048576,0.005989382390946788,4263.659623842958,52814.70284308805,0.0009837333112955094,3.9707730747451466e-05,0.0009837333112955094,6.088420837410884,0.1642462022098414
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,0.12954364202718818,4263.659623842958,52814.70284308805,0.1259178638458252,0.005082589535673788,0.1259178638458252,1.0287947878928634,0.9720111452432223
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,16777216,0.02303300153245639,4263.659623842958,52814.70284308805,0.01573973298072815,0.0006353236919592235,0.01573973298072815,1.4633667267836228,0.6833557041425492
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,0.0053688183878407335,4263.659623842958,52814.70284308805,3.842708247248084e-06,1.551083232322323e-07,3.842708247248084e-06,1397.1444206532094,0.0007157456202934756
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,65536,0.005377422383079659,4263.659623842958,52814.70284308805,6.148333195596934e-05,2.4817331717157166e-06,6.148333195596934e-05,87.4614665797658,0.01143360658248269
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,0.007098323526112917,4263.659623842958,28801.735231941813,0.0009837333112955094,7.281339069023203e-05,0.0009837333112955094,7.215699056449467,0.13858671102783723
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,0.4884087654852098,4263.659623842958,28801.735231941813,0.1259178638458252,0.0093201140083497,0.1259178638458252,3.8787885258538153,0.2578124569912911
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,16777216,0.06800295130997759,4263.659623842958,28801.735231941813,0.01573973298072815,0.0011650142510437125,0.01573973298072815,4.320464101471157,0.23145661588982788
