gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp32,vector_packet,8,134217728,1,0,0,223,0.066105829760632701,134217728,16777216,134217728,0,2030346317200.7449,2030.3463172007448,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp64,scalar_unrolled,8,134217728,1,0,0,185,0.079349796192066085,134217728,134217728,134217728,0,1691469095586.9143,1691.4690955869144,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp64,vector_packet,4,134217728,1,0,0,124,0.12033316396897839,134217728,33554432,134217728,0,1115384351022.3083,1115.3843510223082,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,scalar_single,1,134217728,1,0,0,38,0.40213642622295181,134217728,134217728,0,0,333761677002.58826,333.76167700258827,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,vector_packet,8,134217728,1,0,0,217,0.067892790939401371,134217728,16777216,134217728,0,1976906916668.043,1976.9069166680429,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp64,scalar_unrolled,2,134217728,1,0,0,70,0.21225372041974749,134217728,134217728,134217728,0,632345702749.40051,632.34570274940052,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp16,register_resident,2,69206016,256,0,0,1408,0.0082127499309453105,270336,270336,69206016,0,8426655697774.8125,32.916623819432864,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp32,vector_packet,2,134217728,1,0,0,73,0.2062259700200329,134217728,67108864,134217728,0,650828447973.65735,650.82844797365738,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,vector_packet,2,134217728,1,0,0,73,0.20516032388765518,134217728,67108864,0,0,654208988641.96069,654.20898864196067,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,8,4429185024,4096,0,0,49,0.30672326379892778,0,0,0,8858370048,14440329595943.361,0,28880.659191886723
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,8,4429185024,4096,0,0,71,0.20868101254315444,0,0,0,8858370048,21224667112845.551,0,42449.334225691098
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp16,register_resident,8,276824064,256,0,0,715,0.018446992994188428,1081344,1081344,276824064,0,15006460081987.949,58.618984695265425,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp32,vector_packet,4,134217728,1,0,0,132,0.11254351789301092,134217728,33554432,134217728,0,1192585148507.563,1192.585148507563,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,vector_packet,8,134217728,1,0,0,241,0.061106456265904593,134217728,16777216,0,0,2196457399132.2927,2196.4573991322927,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp16,register_resident,1,34603008,256,0,0,1456,0.0083938241004943848,135168,135168,34603008,0,4122436637427.502,16.103268114951181,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp32,register_resident,4,138412032,256,0,0,1038,0.011709841689622471,540672,540672,138412032,0,11820145452748.854,46.172443174800208,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp64,vector_packet,8,134217728,1,0,0,187,0.078006759684353583,134217728,16777216,134217728,0,1720590991640.96,1720.5909916409601,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,scalar_unrolled,2,134217728,1,0,0,73,0.20611244358428538,134217728,134217728,134217728,0,651186923341.26086,651.18692334126081,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp32,register_resident,2,69206016,256,0,0,1295,0.0094770902832502571,270336,270336,69206016,0,7302454016114.4424,28.52521100044704,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,8,4429185024,4096,0,0,89,0.16518831788823846,0,0,0,8858370048,26812943437057.43,0,53625.886874114862
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp64,scalar_single,1,134217728,1,0,0,37,0.41161686665302999,134217728,134217728,134217728,0,326074412575.36719,326.07441257536721,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,2,1107296256,4096,0,0,118,0.12412312071202165,0,0,0,2214592512,8920950824053.4863,0,17841.901648106974
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,scalar_unrolled,4,134217728,1,0,0,135,0.11071193836353443,134217728,134217728,134217728,0,1212314859480.4817,1212.3148594804818,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,1,553648128,4096,0,0,149,0.09863280609950123,0,0,0,1107296256,5613224949125.7217,0,11226.449898251443
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp32,scalar_unrolled,8,134217728,1,0,0,227,0.065354994215104018,134217728,134217728,134217728,0,2053672096706.9004,2053.6720967069004,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp64,register_resident,8,276824064,256,0,0,581,0.022953087614653648,1081344,1081344,276824064,0,12060428150122.631,47.111047461416526,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,scalar_single,1,134217728,1,0,0,38,0.4020825185273823,134217728,134217728,134217728,0,333806424839.28235,333.80642483928233,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,4,2214592512,4096,0,0,130,0.1134210439828726,0,0,0,4429185024,19525411107434.52,0,39050.82221486904
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp16,independent_chains,2,1107296256,4096,0,0,149,0.09874276666833251,0,0,0,2214592512,11213948052714.605,0,22427.896105429212
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,scalar_unrolled,8,134217728,1,0,0,216,0.0665275564900151,134217728,134217728,0,0,2017475690996.4714,2017.4756909964715,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,1,553648128,4096,0,0,142,0.1034999431019098,0,0,0,1107296256,5349260216064.6396,0,10698.520432129279
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,vector_packet,4,134217728,1,0,0,131,0.11430961667126371,134217728,33554432,134217728,0,1174159549375.3501,1174.15954937535,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp32,scalar_unrolled,2,134217728,1,0,0,73,0.20641972267464415,134217728,134217728,134217728,0,650217557997.36292,650.21755799736286,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,2,1107296256,4096,0,0,114,0.13003228003518624,0,0,0,2214592512,8515549029059.3223,0,17031.098058118645
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,scalar_unrolled,4,134217728,1,0,0,134,0.11135761061711098,134217728,134217728,0,0,1205285631185.9153,1205.2856311859152,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp32,register_resident,8,276824064,256,0,0,854,0.015331933872481978,1081344,1081344,276824064,0,18055391205205.277,70.528871895333111,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp16,register_resident,4,138412032,256,0,0,1274,0.0094596669662691171,540672,540672,138412032,0,14631808127447.172,57.155500497840514,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e5m2,8,fp16,vector_packet,2,134217728,1,0,0,73,0.20582180807035264,134217728,67108864,134217728,0,652106447117.21985,652.10644711721989,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp64,register_resident,1,34603008,256,0,0,1425,0.0082022850973564286,135168,135168,34603008,0,4218703396587.9146,16.479310142921541,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,scalar_unrolled,2,134217728,1,0,0,73,0.20550180461308729,134217728,134217728,0,0,653121894733.2417,653.12189473324167,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp64,independent_chains,4,2214592512,4096,0,0,90,0.16430542204115126,0,0,0,4429185024,13478511448303.529,0,26957.022896607057
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e5m2,8,none,vector_packet,4,134217728,1,0,0,138,0.10796081155970477,134217728,33554432,0,0,1243207846078.2461,1243.2078460782461,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e5m2,8,fp32,independent_chains,1,553648128,4096,0,0,149,0.098830171879505949,0,0,0,1107296256,5602015229468.6836,0,11204.030458937366
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e5m2,8,fp32,register_resident,1,34603008,256,0,0,1461,0.0082021631009769631,135168,135168,34603008,0,4218766144247.7798,16.479555250967891,0
