distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,native_arithmetic,native_time_ms,mixed_fp64_time_ms,mixed_over_native_slowdown
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,65536,fp16,0.005270157574234448,0.005417914242132164,1.0280364800893413
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,1048576,fp16,0.005975907897148653,0.006220156387243857,1.040872197881722
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,134217728,fp16,0.15869276574317445,0.17012072693217883,1.072013120040388
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,16777216,fp16,0.026277514719663445,0.027758445739746094,1.0563573471799625
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,4096,fp16,0.005367302984902353,0.005412591570546191,1.0084378664240177
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,65536,fp16,0.005374727855856802,0.005457192718627202,1.0153430768928213
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,1048576,fp16,0.006665779363428033,0.0069343152983097735,1.0402857520840054
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,134217728,fp16,0.15311866998672485,0.16093773427216904,1.051065387951202
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,16777216,fp16,0.025336184543845928,0.02676763679042007,1.0564983351813262
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,4096,fp16,0.00549881833458915,0.0056056271513181604,1.0194239580633446
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,65536,fp16,0.005549788183856139,0.005732548418383913,1.0329310288020377
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,1048576,fp16,0.006174072771441212,0.006382641179601574,1.033781332984139
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,134217728,fp16,0.2571398636390423,0.26710171358925955,1.0387409785835506
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,16777216,fp16,0.03846604266065232,0.03992121025961654,1.0378299273414142
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,4096,fp16,0.005269328197800969,0.005412507116943971,1.0271721391737858
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,2,1,65536,fp16,0.00527010443854693,0.005415324286169832,1.027555402234674
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,1048576,fp16,0.005978048664249786,0.0063056768808822964,1.0548052107022494
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,134217728,fp16,0.15657066305478415,0.16766186820136175,1.0708383354210922
