distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,kernel_count,kernel_names,duration_ns,dram_read_bytes,dram_write_bytes,instructions,fp32_add_instructions,fp32_mul_instructions,fp32_fma_instructions,fp64_add_instructions,fp64_mul_instructions,fp64_fma_instructions,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,achieved_occupancy_percent,eligible_warps_per_scheduler,long_scoreboard_stall_percent,math_pipe_throttle_percent,mio_throttle_percent,registers_per_thread,shared_memory_bytes,duration_ms,dram_total_bytes,measured_dram_gb_per_s,instructions_per_logical_value
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_single,1,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 1, 0, 1>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",125920.0,134370816.0,2447104.0,34375680.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,39.28,43.55,17.93,96.55,0.59,nan,nan,nan,18.0,1536.0,0.12592,136817920.0,1086.546378653113,0.512237548828125
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,2,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 1, 1, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",72736.0,134362624.0,2423040.0,21850112.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81,44.1,71.77,5.86,93.44,0.86,nan,nan,nan,18.0,1536.0,0.072736,136785664.0,1880.5772107347116,0.325592041015625
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,1,"void gemv<bf16_e8m7, 1, 2, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",72896.0,134362112.0,2440704.0,21850112.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,51.36,43.55,6.0,95.19,0.97,nan,nan,nan,17.0,1536.0,0.072896,136802816.0,1876.684811237928,0.325592041015625
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,4,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 1, 1, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",60288.0,134365440.0,2446592.0,15058944.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28,43.06,85.88,6.73,95.93,0.65,nan,nan,nan,23.0,1536.0,0.060287999999999994,136812032.0,2269.3078556263267,0.224395751953125
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,1,"void gemv<bf16_e8m7, 1, 2, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",47136.0,134361856.0,2493440.0,13494272.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97,46.86,43.54,4.87,92.41,0.97,nan,nan,nan,22.0,1536.0,0.047136,136855296.0,2903.4134419551933,0.201080322265625
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,8,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 1, 1, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",108128.0,134452992.0,2421248.0,11697152.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,23.02,92.43,10.85,85.48000000000002,0.36000000000000004,nan,nan,nan,32.0,1536.0,0.108128,136874240.0,1265.8538029002664,0.1743011474609375
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,1,"void gemv<bf16_e8m7, 1, 2, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",39840.0,134361600.0,2685952.0,10116096.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,47.33,43.53,4.43,98.66,0.84,nan,nan,nan,24.0,1536.0,0.03984,137047552.0,3439.94859437751,0.1507415771484375
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,1,"void packed_arithmetic_gemv<bf16_e8m7, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",71232.0,134365696.0,2497280.0,17500160.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72,36.45,43.55,5.44,93.97,0.63,nan,nan,nan,16.0,1536.0,0.071232,136862976.0,1921.3692722371968,0.260772705078125
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,1,"void packed_arithmetic_gemv<bf16_e8m7, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",47264.0,134363136.0,2404352.0,10700800.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8,32.68,71.77,4.86,95.48999999999998,0.6,nan,nan,nan,19.0,1536.0,0.047264,136767488.0,2893.6926201760325,0.159454345703125
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,1,"void packed_arithmetic_gemv<bf16_e8m7, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",54592.0,134363648.0,2664448.0,7333888.0,0.0,0.0,0.0,0.0,0.0,0.0,54.47,24.31,85.89,6.119999999999999,96.61,0.3,nan,nan,nan,25.0,1536.0,0.054591999999999995,137028096.0,2510.039859320047,0.109283447265625
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 3, 0, 1>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",519776.0,536902144.0,2458112.0,75912142.0,0.0,0.0,0.0,135423.0,0.0,134217728.0,22.546777688850582,20.69010342916949,0.0,8.816045681216524,49.544049128855505,0.2487754725112356,nan,nan,nan,22.0,3072.0,0.519776,539360256.0,1037.6782614049127,0.5655895322561264
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 3, 1, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",289280.0,536934400.0,2474240.0,52864590.0,0.0,0.0,0.0,270591.0,0.0,134217728.0,40.51252212389381,33.23443030973451,49.30862831858407,1.143495575221239,49.294557522123895,0.3264048672566372,nan,nan,nan,28.0,3072.0,0.28928,539408640.0,1864.6592920353983,0.39387188851833344
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,2,"void dot_map<storage::bf16_e8m7, 3, 2, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",290624.0,536892928.0,2711552.0,52864590.0,0.0,0.0,0.0,270591.0,0.0,134217728.0,40.35005285179476,32.485013212948694,0.0,1.2564490200396388,48.81169125743229,0.33610548337370627,nan,nan,nan,27.0,3072.0,0.290624,539604480.0,1856.7099757762608,0.39387188851833344
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 3, 1, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",188096.0,536898304.0,2459904.0,43452750.0,0.0,0.0,0.0,540927.0,0.0,134217728.0,62.31444368832937,51.28988431439265,73.49438584552568,1.982487240558013,47.277128274923435,0.4619700578428037,nan,nan,nan,32.0,3072.0,0.18809599999999999,539358208.0,2867.4624021776112,0.3237482160329819
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,2,"void dot_map<storage::bf16_e8m7, 3, 2, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",186656.0,536898048.0,2442240.0,39258446.0,0.0,0.0,0.0,540927.0,0.0,134217728.0,62.800624035659176,51.83831818961083,0.0,1.8514777987313564,46.75382136122064,0.4320384021944112,nan,nan,nan,31.0,3072.0,0.186656,539340288.0,2889.4880850334303,0.2924982160329819
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,2,"void dot_map<storage::bf16_e8m7, 3, 1, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",214624.0,536901376.0,2463744.0,37706702.0,0.0,0.0,0.0,1081599.0,0.0,134217728.0,54.599184434173246,44.771083942149986,85.86910690323542,2.3067869390189353,45.08735351125689,0.3645430147606977,nan,nan,nan,40.0,3072.0,0.21462399999999998,539365120.0,2513.069926942001,0.2809368222951889
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,134217728,2.68435e+08,5.36871e+08,3.35544e+07,2,"void dot_map<storage::bf16_e8m7, 3, 2, 8>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *) | void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)",151200.0,536903424.0,2471936.0,32476494.0,0.0,0.0,0.0,1081599.0,0.0,134217728.0,77.55365079365079,63.94322751322753,0.0,1.4734391534391535,45.93857142857143,0.4694179894179894,nan,nan,nan,40.0,3072.0,0.1512,539375360.0,3567.297354497354,0.24196873605251312
normal_0_1,gemv,bf16_e8m7,16,fp64,scalar_single,1,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 3, 0, 1>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",132448.0,134357248.0,2400512.0,42745856.0,0.0,0.0,0.0,261120.0,0.0,67108864.0,22.43,45.95,43.55,20.13,95.9,0.82,nan,nan,nan,22.0,3072.0,0.13244799999999998,136757760.0,1032.539260690988,0.636962890625
normal_0_1,gemv,bf16_e8m7,16,fp64,scalar_unrolled,2,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,1,"void gemv<bf16_e8m7, 3, 1, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)",86688.0,134369536.0,2418432.0,29163520.0,0.0,0.0,0.0,523264.0,0.0,67108864.0,34.27,56.12,71.73,6.53,87.31,1.08,nan,nan,nan,26.0,3072.0,0.086688,136787968.0,1577.9342930970838,0.4345703125
