gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,4,1,4096,0,1,2030,0.0055360629640776532,8192,8192,2048,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4797519560662808,1.4797519560662808
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_single,1,1,4096,0,1,1970,0.0055355778805495515,8192,8192,8192,1019.6424942016602,3.814697265625e-06,3.7412105729109917e-09,1.4798816269543169,1.4798816269543169
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,4096,0,1,1970,0.0056499655476681468,8192,8192,1024,1019.6424903869629,0,0,1.4499203456879488,1.4499203456879488
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,4096,0,1,2030,0.0056489930364298701,8192,8192,2048,1019.6424903869629,0,0,1.4501699589945494,1.4501699589945494
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,4096,0,1,1995,0.0055372027824994617,8192,8192,8192,1019.6424903869629,0,0,1.4794473530734913,1.4794473530734913
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,8,1,4096,0,1,1978,0.0057730231174202848,8192,8192,1024,1019.5,0.14249038696289062,0.00013974543852994428,1.419013891574481,1.419013891574481
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,2,1,4096,0,1,1987,0.00558254259221807,8192,8192,4096,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4674317060150066,1.4674317060150066
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,2,1,4096,0,1,1946,0.0055891965178031964,8192,8192,8192,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4656847319478081,1.4656847319478081
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,8,1,4096,0,1,2030,0.0055384119155958951,8192,8192,8192,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4791243635981157,1.4791243635981157
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,8,1,4096,0,1,2012,0.0055376383703698217,8192,8192,1024,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4793309804830956,1.4793309804830956
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,2,1,4096,0,1,2047,0.0055369846286223929,8192,8192,8192,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.479505642412841,1.479505642412841
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,4,1,4096,0,1,1937,0.0057728200704705553,8192,8192,2048,1019.875,0.23250961303710938,0.00022803052562949788,1.4190638024393252,1.4190638024393252
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,4,1,4096,0,1,1995,0.0055368820228672263,8192,8192,8192,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4795330596113807,1.4795330596113807
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_single,1,1,4096,0,1,1730,0.0055390335920918196,8192,8192,8192,1019.65625,0.013759613037109375,1.3494546536489947e-05,1.4789583532578445,1.4789583532578445
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,4096,0,1,1970,0.0056496407174822039,8192,8192,8192,1019.6424903869629,0,0,1.4500037099086212,1.4500037099086212
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,4096,0,1,1987,0.0055389793061946108,8192,8192,8192,1019.6424903869629,0,0,1.4789728480910442,1.4789728480910442
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,8,1,4096,0,1,2012,0.0057736144625168909,8192,8192,8192,1019.5,0.14249038696289062,0.00013974543852994428,1.4188685533444612,1.4188685533444612
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,4,1,4096,0,1,1970,0.0057723287398439979,8192,8192,8192,1019.875,0.23250961303710938,0.00022803052562949788,1.4191845906928362,1.4191845906928362
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,4096,0,1,2030,0.0055380017886608101,8192,8192,4096,1019.6424903869629,0,0,1.4792339028805144,1.4792339028805144
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,2,1,4096,0,1,1995,0.0055369623322833452,8192,8192,4096,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4795116001126496,1.4795116001126496
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,4096,0,1,1946,0.0057053404256226714,8192,8192,8192,1019.6424903869629,0,0,1.4358477126465137,1.4358477126465137
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,4096,0,2,1970,0.0056522069243610208,8192,8192,8192,1019.6424903869629,0,0,1.4493453813045072,1.4493453813045072
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,8,1,4096,0,2,2012,0.0055368268940131186,8192,8192,1024,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4795477909663164,1.4795477909663164
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,4,1,4096,0,2,2030,0.0055366464436347853,8192,8192,2048,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4795960123872358,1.4795960123872358
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,4,1,4096,0,2,1995,0.0055364489256588736,8192,8192,8192,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4796487983541,1.4796487983541
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_single,1,1,4096,0,2,1970,0.0055369260952557401,8192,8192,8192,1019.6424942016602,3.814697265625e-06,3.7412105729109917e-09,1.4795212829405893,1.4795212829405893
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,2,1,4096,0,2,1946,0.0055905280353354039,8192,8192,8192,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4653356441863403,1.4653356441863403
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,4,1,4096,0,2,1937,0.0057727373563326318,8192,8192,2048,1019.875,0.23250961303710938,0.00022803052562949788,1.4190841353649084,1.4190841353649084
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,4,1,4096,0,2,1970,0.005772166566800345,8192,8192,8192,1019.875,0.23250961303710938,0.00022803052562949788,1.41922446367327,1.41922446367327
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,4096,0,2,2030,0.0055383170179545589,8192,8192,4096,1019.6424903869629,0,0,1.4791497080146405,1.4791497080146405
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_single,1,1,4096,0,2,1730,0.0055396625761351837,8192,8192,8192,1019.65625,0.013759613037109375,1.3494546536489947e-05,1.4787904294552274,1.4787904294552274
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,8,1,4096,0,2,2012,0.0057731689089098219,8192,8192,8192,1019.5,0.14249038696289062,0.00013974543852994428,1.4189780568098671,1.4189780568098671
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,4096,0,2,1946,0.0056975130432066175,8192,8192,8192,1019.6424903869629,0,0,1.437820315263282,1.437820315263282
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,8,1,4096,0,2,1978,0.0057730718136315877,8192,8192,1024,1019.5,0.14249038696289062,0.00013974543852994428,1.4190019221061396,1.4190019221061396
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,2,1,4096,0,2,2047,0.0055370163090588936,8192,8192,8192,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4794971773150447,1.4794971773150447
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,4096,0,2,2030,0.0056405123818684096,8192,8192,2048,1019.6424903869629,0,0,1.452350326600367,1.452350326600367
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,8,1,4096,0,2,2030,0.005536945700058209,8192,8192,8192,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4795160443624864,1.4795160443624864
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,4096,0,2,1970,0.0056475126198705684,8192,8192,1024,1019.6424903869629,0,0,1.4505501007960115,1.4505501007960115
