timestamp,gpu,mode,kernel,N,storage_bits,arithmetic_type,access_method,packet_values,lut_entries,lut_bytes,q,q_eighths,mean_unique_left,mean_unique_right,mean_unique_both,normalized_sector_dispersion,format,format_label,sanitized_lut_entries,warmup,sample,execution_order,kernel_ms,result
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,8,1,0.26335999369621277,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,8,2,0.26281601190567017,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,9,0,0.26230400800704956,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,9,1,0.26259198784828186,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,9,2,0.26361599564552307,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,10,0,0.26364800333976746,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,10,1,0.26208001375198364,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,10,2,0.26096001267433167,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,11,0,0.26307201385498047,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,11,1,0.263264000415802,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,11,2,0.26281601190567017,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,12,0,0.26208001375198364,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,12,1,0.26246398687362671,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,12,2,0.26332798600196838,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,13,0,0.26294401288032532,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,13,1,0.26438400149345398,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,13,2,0.26163199543952942,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,14,0,0.26374399662017822,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,14,1,0.26284798979759216,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,14,2,0.2635200023651123,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,15,0,0.26236799359321594,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,15,1,0.26399999856948853,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,15,2,0.26464000344276428,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,16,0,0.26329600811004639,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,16,1,0.26268801093101501,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,16,2,0.26454401016235352,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,17,0,0.2614080011844635,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,17,1,0.2614080011844635,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,17,2,0.263264000415802,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,18,0,0.26259198784828186,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,18,1,0.26223999261856079,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,18,2,0.26236799359321594,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,19,0,0.26364800333976746,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,19,1,0.26361599564552307,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,19,2,0.26454401016235352,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,20,0,0.26425600051879883,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,20,1,0.26243200898170471,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,20,2,0.26435199379920959,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,21,0,0.26246398687362671,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,21,1,0.26150399446487427,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,21,2,0.26192000508308411,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,22,0,0.26198399066925049,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,22,1,0.26380801200866699,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,22,2,0.26271998882293701,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,23,0,0.26240000128746033,67268032
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,23,1,0.26339200139045715,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,23,2,0.26192000508308411,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,t16,T16,0,10,24,0,0.26409599184989929,2.5701699338580787e+17
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,posit16_es1,Posit 16 es1,1,10,24,1,0.26249599456787109,2.5740942533047928e-07
2026-08-30T10:28:12Z,NVIDIA H200 NVL,full,dot,67108864,16,fp32,scalar,1,65536,262144,0,0,1,1,1,0,lns16_r11,LNS 16 r11,1,10,24,2,0.26291200518608093,67268032
