format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum14,fp32,field_balanced_finite,characteristic,-80,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-79,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-78,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-77,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-76,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-75,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-74,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-73,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,-72,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-71,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-70,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-69,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-68,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-67,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-66,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-65,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,-64,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-63,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-62,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-61,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-60,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-59,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-58,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-57,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-56,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-55,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-54,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-53,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-52,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-51,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-50,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,-49,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,-48,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-47,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,-46,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-45,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-44,14,-140,127
takum14,fp32,field_balanced_finite,characteristic,-43,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-42,12,-140,127
takum14,fp32,field_balanced_finite,characteristic,-41,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-40,12,-140,127
takum14,fp32,field_balanced_finite,characteristic,-39,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-38,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,-37,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,-36,12,-140,127
takum14,fp32,field_balanced_finite,characteristic,-35,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-34,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,-33,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,-32,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,-31,13,-140,127
takum14,fp32,field_balanced_finite,characteristic,-30,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,-29,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,-28,12,-140,127
takum14,fp32,field_balanced_finite,characteristic,-27,18,-140,127
takum14,fp32,field_balanced_finite,characteristic,-26,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,-25,14,-140,127
takum14,fp32,field_balanced_finite,characteristic,-24,25,-140,127
takum14,fp32,field_balanced_finite,characteristic,-23,16,-140,127
takum14,fp32,field_balanced_finite,characteristic,-22,21,-140,127
takum14,fp32,field_balanced_finite,characteristic,-21,16,-140,127
takum14,fp32,field_balanced_finite,characteristic,-20,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,-19,15,-140,127
takum14,fp32,field_balanced_finite,characteristic,-18,18,-140,127
takum14,fp32,field_balanced_finite,characteristic,-17,18,-140,127
takum14,fp32,field_balanced_finite,characteristic,-16,15,-140,127
takum14,fp32,field_balanced_finite,characteristic,-15,29,-140,127
takum14,fp32,field_balanced_finite,characteristic,-14,32,-140,127
takum14,fp32,field_balanced_finite,characteristic,-13,35,-140,127
takum14,fp32,field_balanced_finite,characteristic,-12,15,-140,127
takum14,fp32,field_balanced_finite,characteristic,-11,40,-140,127
takum14,fp32,field_balanced_finite,characteristic,-10,30,-140,127
takum14,fp32,field_balanced_finite,characteristic,-9,51,-140,127
takum14,fp32,field_balanced_finite,characteristic,-8,24,-140,127
takum14,fp32,field_balanced_finite,characteristic,-7,64,-140,127
takum14,fp32,field_balanced_finite,characteristic,-6,58,-140,127
takum14,fp32,field_balanced_finite,characteristic,-5,59,-140,127
takum14,fp32,field_balanced_finite,characteristic,-4,75,-140,127
takum14,fp32,field_balanced_finite,characteristic,-3,129,-140,127
takum14,fp32,field_balanced_finite,characteristic,-2,127,-140,127
takum14,fp32,field_balanced_finite,characteristic,-1,256,-140,127
takum14,fp32,field_balanced_finite,characteristic,0,256,-140,127
takum14,fp32,field_balanced_finite,characteristic,1,126,-140,127
takum14,fp32,field_balanced_finite,characteristic,2,130,-140,127
takum14,fp32,field_balanced_finite,characteristic,3,63,-140,127
takum14,fp32,field_balanced_finite,characteristic,4,66,-140,127
takum14,fp32,field_balanced_finite,characteristic,5,66,-140,127
takum14,fp32,field_balanced_finite,characteristic,6,61,-140,127
takum14,fp32,field_balanced_finite,characteristic,7,35,-140,127
takum14,fp32,field_balanced_finite,characteristic,8,40,-140,127
takum14,fp32,field_balanced_finite,characteristic,9,27,-140,127
takum14,fp32,field_balanced_finite,characteristic,10,30,-140,127
takum14,fp32,field_balanced_finite,characteristic,11,23,-140,127
takum14,fp32,field_balanced_finite,characteristic,12,44,-140,127
takum14,fp32,field_balanced_finite,characteristic,13,32,-140,127
takum14,fp32,field_balanced_finite,characteristic,14,25,-140,127
takum14,fp32,field_balanced_finite,characteristic,15,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,16,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,17,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,18,13,-140,127
takum14,fp32,field_balanced_finite,characteristic,19,13,-140,127
takum14,fp32,field_balanced_finite,characteristic,20,19,-140,127
takum14,fp32,field_balanced_finite,characteristic,21,12,-140,127
takum14,fp32,field_balanced_finite,characteristic,22,19,-140,127
takum14,fp32,field_balanced_finite,characteristic,23,13,-140,127
takum14,fp32,field_balanced_finite,characteristic,24,20,-140,127
takum14,fp32,field_balanced_finite,characteristic,25,18,-140,127
takum14,fp32,field_balanced_finite,characteristic,26,16,-140,127
takum14,fp32,field_balanced_finite,characteristic,27,18,-140,127
takum14,fp32,field_balanced_finite,characteristic,28,17,-140,127
takum14,fp32,field_balanced_finite,characteristic,29,19,-140,127
takum14,fp32,field_balanced_finite,characteristic,30,14,-140,127
takum14,fp32,field_balanced_finite,characteristic,31,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,32,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,33,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,34,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,35,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,36,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,37,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,38,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,39,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,40,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,41,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,42,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,43,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,44,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,45,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,46,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,47,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,48,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,49,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,50,8,-140,127
takum14,fp32,field_balanced_finite,characteristic,51,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,52,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,53,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,54,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,55,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,56,14,-140,127
takum14,fp32,field_balanced_finite,characteristic,57,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,58,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,59,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,60,10,-140,127
takum14,fp32,field_balanced_finite,characteristic,61,11,-140,127
takum14,fp32,field_balanced_finite,characteristic,62,9,-140,127
takum14,fp32,field_balanced_finite,characteristic,63,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,65,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,66,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,67,4,-140,127
