format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
takum14,takum,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,5,0.0315520018,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,6,0.00764800003,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,7,0.0309120007,ok
e5m8,ieee,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,0,0.0307839997,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,1,0.00777600007,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,2,0.0312959999,ok
takum14,takum,14,fp32,lut_concentrated_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,3,0.00710400008,ok
takum14,takum,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,4,0.0313280001,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,5,0.00771200005,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,6,0.0312639996,ok
e5m8,ieee,14,fp32,lut_concentrated_control,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,7,0.00745599996,ok
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,0,0.00473600021,ok
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,1,0.0163199995,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,2,0.0045119999,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,3,0.015904,ok
takum14,takum,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,4,0.00483200001,ok
takum14,takum,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,5,0.0160959996,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,6,0.00448000012,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,7,0.0161600001,ok
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,0,0.0164480004,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,1,0.00486399978,ok
posit14_es1,posit,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,2,0.0162879992,ok
takum14,takum,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,3,0.00511999987,ok
takum14,takum,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,4,0.0163519997,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,5,0.00483200001,ok
takum_log14,takum_log,14,fp32,lut_concentrated_control,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,6,0.0161600001,ok
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,7,0.00496000005,ok
