gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,blocks,threads,result,result_bits,reference,absolute_error,relative_error,normalized_error,dot_condition_number,x_fingerprint,y_fingerprint,finite
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,65536,256,256,-167.285160120184684729,0xc064e920081dca22,-167.285160120184684729,0,0,0,97.5084689530631918905,0xdf314ccf1620d5c7,0x6241a7a3943e0c7f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f32,float32,float32,raw,1048576,2112,256,-317.364715576171875,0xc39eaeaf,-317.36476790556554306,5.23293936680602200795e-05,1.64887217990218923631e-07,1.99903169080321537499e-10,824.835437821232704325,0x6ca4178c4df686df,0x6a841d6c56c138d3,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1048576,2112,256,-317.36476790556554306,0xc073d5d616df108d,-317.36476790556554306,0,0,0,824.835437821232704325,0x6ca4178c4df686df,0x6a841d6c56c138d3,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,-317.364715576171875,0xc39eaeaf,-317.36476790556554306,5.23293936680602200795e-05,1.64887217990218923631e-07,1.99903169080321537499e-10,824.835437821232704325,0x6ca4178c4df686df,0x6a841d6c56c138d3,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,-317.36476790556554306,0xc073d5d616df108d,-317.36476790556554306,0,0,0,824.835437821232704325,0x6ca4178c4df686df,0x6a841d6c56c138d3,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f32,float32,float32,raw,1024,4,256,-8.117465972900390625,0xc101e124,-8.11746446021339806975,1.51268699255524552427e-06,1.86349690838742379897e-07,6.13952309171527902317e-09,30.3524700624066591306,0x5341021e8cd1726f,0xa4840e7888ff983b,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f64,float32,float64,raw,1024,4,256,-8.11746446021339806975,0xc0203c244d3e1e20,-8.11746446021339806975,0,0,0,30.3524700624066591306,0x5341021e8cd1726f,0xa4840e7888ff983b,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f32_f32,float32,float32,accessor,1024,4,256,-8.117465972900390625,0xc101e124,-8.11746446021339806975,1.51268699255524552427e-06,1.86349690838742379897e-07,6.13952309171527902317e-09,30.3524700624066591306,0x5341021e8cd1726f,0xa4840e7888ff983b,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f64_f32,float32,float64,accessor,1024,4,256,-8.11746446021339806975,0xc0203c244d3e1e20,-8.11746446021339806975,0,0,0,30.3524700624066591306,0x5341021e8cd1726f,0xa4840e7888ff983b,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f32,float32,float32,raw,65536,256,256,-125.9259033203125,0xc2fbda10,-125.925913142011836499,9.82169933649856830016e-06,7.79958555902805613048e-08,6.00587191779826230529e-10,129.86599890540730648,0x284b78f35dc56cf3,0x382cee84f4440b37,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f64,float32,float64,raw,65536,256,256,-125.925913142011836499,0xc05f7b422931f828,-125.925913142011836499,0,0,0,129.86599890540730648,0x284b78f35dc56cf3,0x382cee84f4440b37,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f32_f32,float32,float32,accessor,65536,256,256,-125.9259033203125,0xc2fbda10,-125.925913142011836499,9.82169933649856830016e-06,7.79958555902805613048e-08,6.00587191779826230529e-10,129.86599890540730648,0x284b78f35dc56cf3,0x382cee84f4440b37,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f64_f32,float32,float64,accessor,65536,256,256,-125.925913142011836499,0xc05f7b422931f828,-125.925913142011836499,0,0,0,129.86599890540730648,0x284b78f35dc56cf3,0x382cee84f4440b37,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f32,float32,float32,raw,1048576,2112,256,-274.59002685546875,0xc3894b86,-274.589932066417645729,9.47890511042714933865e-05,3.45202208948228937136e-07,3.61293182347517529751e-10,955.46283687188110928,0x7a32d83f6da562d7,0x450245e68d9fb897,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,raw_f64,float32,float64,raw,1048576,2112,256,-274.589932066417645729,0xc07129705c9b4202,-274.589932066417645729,0,0,0,955.46283687188110928,0x7a32d83f6da562d7,0x450245e68d9fb897,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,-274.59002685546875,0xc3894b86,-274.589932066417645729,9.47890511042714933865e-05,3.45202208948228937136e-07,3.61293182347517529751e-10,955.46283687188110928,0x7a32d83f6da562d7,0x450245e68d9fb897,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed1,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,-274.589932066417645729,0xc07129705c9b4202,-274.589932066417645729,0,0,0,955.46283687188110928,0x7a32d83f6da562d7,0x450245e68d9fb897,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f32,float32,float32,raw,1024,4,256,21.52051544189453125,0x41ac2a04,21.5205140304216797631,1.41147285148690571077e-06,6.5587320520858807062e-08,5.47980036101701753471e-09,11.9689251797279345192,0xcdd27cef09ce7c0b,0x72dcff0ec72ee1cf,true
