mode,stage,N,B,scale_type,path,variant_id,payload_type,arithmetic,grid,threads,round,order,time_ms,result,valid,job_id,node,seed_set_id,source_commit,binary_sha,sass_sha,audit_sha
smoke,initial,16384,0,none,baseline,raw_fp32,fp32,fp32,512,256,2,11,0.00732799992,15.11942195892334,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp64,deferred,deferred_b128_s64,fp32,fp64,512,256,2,12,0.00784000009,15.119420541208346,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp32,deferred,deferred_b16_s32,fp32,fp64,512,256,2,13,0.00748800021,15.119417042476014,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp64,deferred,deferred_b16_s64,fp32,fp64,512,256,2,14,0.00732799992,15.119417042476014,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,16,fp32,deferred,deferred_b16_s32,fp32,fp64,512,256,0,0,0.0118720001,-116.58653674361693,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,0,1,0.0121600004,-116.58653876537797,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,0,2,0.013088,-116.58651809556569,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,0,none,baseline,raw_fp64,fp64,fp64,512,256,0,3,0.0136320004,-116.58652247266033,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,0,4,0.0120639997,-116.58653876537781,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,1048576,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,0,5,0.0125439996,-116.58651809556569,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
