format,arithmetic_type,multiply_method,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
lns10_r4,fp32,fused,dot,padded,scalar,1,6,fused/padded/scalar/x1/fraction_lut_global,fraction_lut_global,0.11054186820983887,0
lns10_r4,fp32,fused,dot,padded,scalar,1,7,fused/padded/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.11656485087055701,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,1,fused/padded/thread_packet/x2/fused_sum_lut_shared,fused_sum_lut_shared,0.070804510998124834,1
lns10_r4,fp32,fused,dot,padded,thread_packet,2,2,fused/padded/thread_packet/x2/fused_sum_lut_global,fused_sum_lut_global,0.073134822003981637,1
lns10_r4,fp32,fused,dot,padded,thread_packet,2,3,fused/padded/thread_packet/x2/ex2_approx,ex2_approx,0.073372179002904186,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,4,fused/padded/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.097505882674572511,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,5,fused/padded/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.10552953151946372,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,6,fused/padded/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.11108195516798232,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,1,fused/padded/thread_packet/x4/fused_sum_lut_shared,fused_sum_lut_shared,0.064068783970622267,1
lns10_r4,fp32,fused,dot,padded,thread_packet,4,2,fused/padded/thread_packet/x4/ex2_approx,ex2_approx,0.066321730613708496,1
lns10_r4,fp32,fused,dot,padded,thread_packet,4,3,fused/padded/thread_packet/x4/fused_sum_lut_global,fused_sum_lut_global,0.066653406297838363,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,4,fused/padded/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.091485378294037745,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,5,fused/padded/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.098518400192260741,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,6,fused/padded/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.10414366011923931,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,1,fused/padded/thread_packet/x8/fused_sum_lut_shared,fused_sum_lut_shared,0.06136133656275982,1
lns10_r4,fp32,fused,dot,padded,thread_packet,8,2,fused/padded/thread_packet/x8/ex2_approx,ex2_approx,0.063463898448200967,1
lns10_r4,fp32,fused,dot,padded,thread_packet,8,3,fused/padded/thread_packet/x8/fused_sum_lut_global,fused_sum_lut_global,0.063535128687638914,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,4,fused/padded/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.08927068710327149,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,5,fused/padded/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.095611314698042377,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,6,fused/padded/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.10191600207163362,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,1,fused/dense/cooperative_shuffle/x16/fused_sum_lut_shared,fused_sum_lut_shared,0.081787196795145678,1
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,2,fused/dense/cooperative_shuffle/x16/fused_sum_lut_global,fused_sum_lut_global,0.085572773950141762,1
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,3,fused/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.08564070233127527,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,4,fused/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.10643686937249225,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,5,fused/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.11453544261843659,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,6,fused/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.11848723320733934,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,1,fused/dense/scalar/x1/fused_sum_lut_shared,fused_sum_lut_shared,0.07628924772143364,1
lns10_r4,fp32,fused,gemv,dense,scalar,1,2,fused/dense/scalar/x1/fused_sum_lut_global,fused_sum_lut_global,0.080792609980848973,1
lns10_r4,fp32,fused,gemv,dense,scalar,1,3,fused/dense/scalar/x1/reference_exp2,reference_exp2,0.081292607419477775,1
lns10_r4,fp32,fused,gemv,dense,scalar,1,4,fused/dense/scalar/x1/ex2_approx,ex2_approx,0.081397867202758795,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,5,fused/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.10180766880512238,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,6,fused/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.10858087873689218,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,7,fused/dense/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.11387088686920877,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,1,fused/dense/thread_packet/x2/fused_sum_lut_shared,fused_sum_lut_shared,0.074244710059710589,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,2,fused/dense/thread_packet/x2/fused_sum_lut_global,fused_sum_lut_global,0.078391740399022261,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,3,fused/dense/thread_packet/x2/ex2_approx,ex2_approx,0.078444388604933218,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,4,fused/dense/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.099560831809530459,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,5,fused/dense/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.10596417344134787,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,6,fused/dense/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.11330561279998522,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,1,fused/dense/thread_packet/x4/fused_sum_lut_shared,fused_sum_lut_shared,0.072202453339068481,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,2,fused/dense/thread_packet/x4/fused_sum_lut_global,fused_sum_lut_global,0.075982499867677689,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,3,fused/dense/thread_packet/x4/ex2_approx,ex2_approx,0.076810501515865326,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,4,fused/dense/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.098351998329162596,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,5,fused/dense/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.10427234020638973,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,6,fused/dense/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.11024960411919488,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,1,fused/dense/thread_packet/x8/fused_sum_lut_shared,fused_sum_lut_shared,0.073566095256583114,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,2,fused/dense/thread_packet/x8/ex2_approx,ex2_approx,0.077352200662912735,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,3,fused/dense/thread_packet/x8/fused_sum_lut_global,fused_sum_lut_global,0.077691905997804178,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,4,fused/dense/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.098547231518492401,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,5,fused/dense/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.10495284230040798,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,6,fused/dense/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.11125381968238138,0
lns10_r4,fp32,fused,gemv,padded,scalar,1,1,fused/padded/scalar/x1/fused_sum_lut_shared,fused_sum_lut_shared,0.055580873598997618,1
lns10_r4,fp32,fused,gemv,padded,scalar,1,2,fused/padded/scalar/x1/fused_sum_lut_global,fused_sum_lut_global,0.060872506491745575,1
lns10_r4,fp32,fused,gemv,padded,scalar,1,3,fused/padded/scalar/x1/reference_exp2,reference_exp2,0.06281960066835246,1
lns10_r4,fp32,fused,gemv,padded,scalar,1,4,fused/padded/scalar/x1/ex2_approx,ex2_approx,0.062876659713107436,0
lns10_r4,fp32,fused,gemv,padded,scalar,1,5,fused/padded/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.082244339635816677,0
lns10_r4,fp32,fused,gemv,padded,scalar,1,6,fused/padded/scalar/x1/fraction_lut_global,fraction_lut_global,0.091002667391741718,0
lns10_r4,fp32,fused,gemv,padded,scalar,1,7,fused/padded/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.095547813725507455,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,1,fused/padded/thread_packet/x2/fused_sum_lut_shared,fused_sum_lut_shared,0.056026730817907003,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,2,fused/padded/thread_packet/x2/fused_sum_lut_global,fused_sum_lut_global,0.058343398826738127,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,3,fused/padded/thread_packet/x2/ex2_approx,ex2_approx,0.0584319376644232,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,4,fused/padded/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.080263868707125305,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,5,fused/padded/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.086896568536758423,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,2,6,fused/padded/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.093825751620903064,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,1,fused/padded/thread_packet/x4/fused_sum_lut_shared,fused_sum_lut_shared,0.052777476421351541,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,2,fused/padded/thread_packet/x4/fused_sum_lut_global,fused_sum_lut_global,0.055020210542399806,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,3,fused/padded/thread_packet/x4/ex2_approx,ex2_approx,0.055062066549542307,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,4,fused/padded/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.07686351600383956,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,5,fused/padded/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.08305027372024687,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,4,6,fused/padded/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.090152594778272838,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,1,fused/padded/thread_packet/x8/fused_sum_lut_shared,fused_sum_lut_shared,0.051208375902640629,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,2,fused/padded/thread_packet/x8/fused_sum_lut_global,fused_sum_lut_global,0.053491866227352261,1
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,3,fused/padded/thread_packet/x8/ex2_approx,ex2_approx,0.053542362170273,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,4,fused/padded/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.077509748025072947,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,5,fused/padded/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.08408443499977028,0
lns10_r4,fp32,fused,gemv,padded,thread_packet,8,6,fused/padded/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.089982765210598004,0
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,1,ordinary/dense/cooperative_shuffle/x16/full_lut_global,full_lut_global,0.078772268491973968,1
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,2,ordinary/dense/cooperative_shuffle/x16/full_lut_shared,full_lut_shared,0.081642575183157193,1
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,3,ordinary/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.098889944910192165,0
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,4,ordinary/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.1332765398798762,0
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,5,ordinary/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.15149042823097925,0
lns10_r4,fp32,ordinary,dot,dense,cooperative_shuffle,16,6,ordinary/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.16669759750366211,0
lns10_r4,fp32,ordinary,dot,dense,scalar,1,1,ordinary/dense/scalar/x1/full_lut_shared,full_lut_shared,0.046501851817259604,1
lns10_r4,fp32,ordinary,dot,dense,scalar,1,2,ordinary/dense/scalar/x1/full_lut_global,full_lut_global,0.047358560562133792,1
lns10_r4,fp32,ordinary,dot,dense,scalar,1,3,ordinary/dense/scalar/x1/reference_exp2,reference_exp2,0.070557668380530264,1
lns10_r4,fp32,ordinary,dot,dense,scalar,1,4,ordinary/dense/scalar/x1/ex2_approx,ex2_approx,0.070827601108959012,0
lns10_r4,fp32,ordinary,dot,dense,scalar,1,5,ordinary/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.11253236098722978,0
lns10_r4,fp32,ordinary,dot,dense,scalar,1,6,ordinary/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.13283521148931249,0
lns10_r4,fp32,ordinary,dot,dense,scalar,1,7,ordinary/dense/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.14666635148665486,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,1,ordinary/dense/thread_packet/x2/full_lut_global,full_lut_global,0.040410513804016022,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,2,ordinary/dense/thread_packet/x2/full_lut_shared,full_lut_shared,0.04103088522012438,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,3,ordinary/dense/thread_packet/x2/ex2_approx,ex2_approx,0.065513730049133301,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,4,ordinary/dense/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.11400818824768066,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,5,ordinary/dense/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.12970568631824694,0
