kernel,distribution,format,storage_bits,n,m,comparison,batch,finite_count,bias,mean_absolute_error,mse,relative_l2,mean_normalized_absolute_error,rms_normalized_error
dot,uniform_0_1,e1m6,8,1024,1,storage,0,256,-0.0296873246749004860443,0.200019958211894007417,0.0607087158704259213107,0.000963458965273898133793,0.000783508128971208458509,0.00096530474005223619
dot,uniform_0_1,e1m6,8,1024,1,storage,1,256,-0.0161492025393487716785,0.170962887828650243163,0.0473422813219867906514,0.000850559436367623701076,0.000669076543546548965153,0.000849890813530438515868
dot,uniform_0_1,e1m6,8,1024,1,storage,2,256,0.0138626143141079518793,0.183230371140455193329,0.0535727764284633130654,0.000904301607333975607295,0.000717204604924163872758,0.000904710367274252076423
dot,uniform_0_1,e1m6,8,1024,1,storage,3,256,-0.0026717924442765250562,0.187531925155619184561,0.0536353780850263132364,0.000902098941565678346729,0.000731292529069208781557,0.000903123186963631985134
dot,uniform_0_1,e1m6,8,1024,1,storage,4,256,0.0206495728055580692419,0.186775076084118013878,0.0583547352294862603938,0.000944476926701898358139,0.000732126984731264582349,0.000946689445367053374105
dot,uniform_0_1,e1m6,8,1024,1,storage,5,256,0.00689429968424612341169,0.188518689885582483787,0.0536359023135412402156,0.00090371970824717900848,0.000737743369444623926707,0.000907965287050305563285
dot,uniform_0_1,e1m6,8,1024,1,storage,6,256,-0.005648055869539999978,0.185104811723628467272,0.0490699687656807686682,0.000863241627675298385806,0.000721947973973774126526,0.000864860786732198976982
dot,uniform_0_1,e1m6,8,1024,1,storage,7,256,0.0305485790052796271805,0.192239965993813856468,0.0548458309584431835699,0.000914649774690657615554,0.000752040095114837749006,0.000917138465136228769612
dot,uniform_0_1,e1m6,8,1024,1,storage,8,256,0.0261137424769034189455,0.18847020321413392093,0.0555341138121952148411,0.000920815966396991858589,0.000737398897895715505665,0.000922954220964072595992
dot,uniform_0_1,e1m6,8,1024,1,storage,9,256,-0.00249713628740010486033,0.208297952331784504685,0.0712300331993182189922,0.00104326701588181402596,0.000815693868554874701192,0.00104607810480008438236
dot,uniform_0_1,e1m6,8,1024,1,storage,10,256,-0.0138383193880875775034,0.190643429541381684538,0.055952113711076865971,0.000924902696019479981673,0.000746285593054863448641,0.000925918437823013109336
dot,uniform_0_1,e1m6,8,1024,1,storage,11,256,-0.0172887287641209985776,0.178352261008613057044,0.0493766771288981195023,0.000867057169985894608268,0.000696110959928672241547,0.000866461226446433937487
dot,uniform_0_1,e1m6,8,1024,1,storage,12,256,0.00758638620388169237488,0.1748178280171802759,0.0481459037236136137771,0.000857640421520275575597,0.000685218047708228707041,0.000861936817682623956555
dot,uniform_0_1,e1m6,8,1024,1,storage,13,256,0.0303807292932363368315,0.21115444533014637922,0.0677405236027861032484,0.0010161712462038466014,0.000825820141260770993679,0.00101794131517035915457
dot,uniform_0_1,e1m6,8,1024,1,storage,14,256,-0.00699118433887833365696,0.195550381846777747376,0.0562513879508933802315,0.000926564062423889742105,0.00076520177931041084289,0.00092834920148424684213
dot,uniform_0_1,e1m6,8,1024,1,storage,15,256,0.0039530866278893481776,0.169495078157764051741,0.0440781662448415779012,0.000819954163363088866338,0.000662048365464482414929,0.000819457484580732797404
dot,uniform_0_1,e1m6,8,1024,1,storage,16,256,0.0285148689945201942969,0.199844466516999057671,0.0654249762074204355529,0.000999161562262696173179,0.000781652672847766811734,0.00100080225215839690596
dot,uniform_0_1,e1m6,8,1024,1,storage,17,256,-0.0100353933506619195145,0.191828282231351864018,0.0575141035337052323128,0.000936081777824493104967,0.000749414306500885749188,0.000937420420825687979834
dot,uniform_0_1,e1m6,8,1024,1,storage,18,256,0.00592329204370605378206,0.186789150456444151939,0.0537324971197997956762,0.000903124404477455908996,0.000728014426637782505202,0.00090308989232634930124
