GPU accuracy simulation
GPU: NVIDIA H200 NVL (sm_90)
DOT powers: 10,14,18,22, samples per case: 8192
GEMV powers: 8,10,12,14,16, M=1024, replicates: 16
DOT normal_0_1 e11m4 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 e11m4 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 e1m30 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 e1m30 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 e1m30 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 e1m30 N=2^22 samples=8192 chunk=95
DOT normal_0_1 e1m30 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 e1m30 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 e1m30 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 e1m30 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 e2m29 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 e2m29 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 e2m29 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 e2m29 N=2^22 samples=8192 chunk=95
DOT normal_0_1 e2m29 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 e2m29 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 e2m29 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 e2m29 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 e3m28 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 e3m28 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 e3m28 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 e3m28 N=2^22 samples=8192 chunk=95
DOT normal_0_1 e3m28 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 e3m28 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 e3m28 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 e3m28 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 fp32_e8m23 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 fp32_e8m23 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 fp32_e8m23 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 fp32_e8m23 N=2^22 samples=8192 chunk=95
DOT normal_0_1 fp32_e8m23 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 fp32_e8m23 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 fp32_e8m23 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 fp32_e8m23 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 e11m20 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 e11m20 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 e11m20 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 e11m20 N=2^22 samples=8192 chunk=95
DOT normal_0_1 e11m20 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 e11m20 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 e11m20 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 e11m20 N=2^22 samples=8192 chunk=95
DOT uniform_0_1 fp64_e11m52 N=2^10 samples=8192 chunk=8192
DOT uniform_0_1 fp64_e11m52 N=2^14 samples=8192 chunk=8192
DOT uniform_0_1 fp64_e11m52 N=2^18 samples=8192 chunk=1532
DOT uniform_0_1 fp64_e11m52 N=2^22 samples=8192 chunk=95
DOT normal_0_1 fp64_e11m52 N=2^10 samples=8192 chunk=8192
DOT normal_0_1 fp64_e11m52 N=2^14 samples=8192 chunk=8192
DOT normal_0_1 fp64_e11m52 N=2^18 samples=8192 chunk=1532
DOT normal_0_1 fp64_e11m52 N=2^22 samples=8192 chunk=95
GEMV uniform_0_1 e1m6 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e1m6 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e1m6 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e1m6 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e1m6 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e1m6 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e1m6 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e1m6 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e1m6 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e1m6 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e2m5 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e2m5 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e2m5 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e2m5 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e2m5 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e2m5 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e2m5 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e2m5 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e2m5 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e2m5 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e3m4 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e3m4 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e3m4 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e3m4 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e3m4 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e3m4 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e3m4 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e3m4 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e3m4 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e3m4 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 fp8_e4m3 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 fp8_e4m3 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 fp8_e4m3 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 fp8_e4m3 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 fp8_e4m3 M=1024 N=2^16 replicates=16
GEMV normal_0_1 fp8_e4m3 M=1024 N=2^8 replicates=16
GEMV normal_0_1 fp8_e4m3 M=1024 N=2^10 replicates=16
GEMV normal_0_1 fp8_e4m3 M=1024 N=2^12 replicates=16
GEMV normal_0_1 fp8_e4m3 M=1024 N=2^14 replicates=16
GEMV normal_0_1 fp8_e4m3 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 fp8_e5m2 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 fp8_e5m2 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 fp8_e5m2 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 fp8_e5m2 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 fp8_e5m2 M=1024 N=2^16 replicates=16
GEMV normal_0_1 fp8_e5m2 M=1024 N=2^8 replicates=16
GEMV normal_0_1 fp8_e5m2 M=1024 N=2^10 replicates=16
GEMV normal_0_1 fp8_e5m2 M=1024 N=2^12 replicates=16
GEMV normal_0_1 fp8_e5m2 M=1024 N=2^14 replicates=16
GEMV normal_0_1 fp8_e5m2 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e1m14 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e1m14 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e1m14 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e1m14 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e1m14 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e1m14 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e1m14 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e1m14 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e1m14 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e1m14 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e2m13 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e2m13 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e2m13 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e2m13 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e2m13 M=1024 N=2^16 replicates=16
