kernel,distribution,format,storage_bits,n,m,comparison,finite_pairs,mse,mse_relative_cluster_standard_error,target,status
dot,uniform_0_1,e2m5,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,1024,1,total_x1,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e2m5,8,1024,1,total_x2,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e2m5,8,1024,1,total_x4,8192,0.0558313705785505645731,0.0182149251052990559669,0.05,pass
dot,uniform_0_1,e2m5,8,16384,1,storage,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e2m5,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,16384,1,total_x1,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e2m5,8,16384,1,total_x2,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e2m5,8,16384,1,total_x4,8192,0.909590895336224465942,0.0144939292058525183913,0.05,pass
dot,uniform_0_1,e2m5,8,262144,1,storage,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e2m5,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,262144,1,total_x1,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e2m5,8,262144,1,total_x2,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e2m5,8,262144,1,total_x4,8192,14.1960465146944945069,0.0160751948129122737043,0.05,pass
dot,uniform_0_1,e2m5,8,4194304,1,storage,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e2m5,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e2m5,8,4194304,1,total_x1,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e2m5,8,4194304,1,total_x2,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,uniform_0_1,e2m5,8,4194304,1,total_x4,8192,225.261894403353488958,0.0133518701201890177214,0.05,pass
dot,normal_0_1,e2m5,8,1024,1,storage,7107,0.183712634497019528516,0.0126520344100136525185,0.05,pass
dot,normal_0_1,e2m5,8,1024,1,kernel_x1,7107,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,1024,1,kernel_x2,7107,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,1024,1,kernel_x4,7107,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,1024,1,total_x1,7107,0.183712634497019528516,0.0126520344100136525185,0.05,pass
dot,normal_0_1,e2m5,8,1024,1,total_x2,7107,0.183712634497019528516,0.0126520344100136525185,0.05,pass
dot,normal_0_1,e2m5,8,1024,1,total_x4,7107,0.183712634497019528516,0.0126520344100136525185,0.05,pass
dot,normal_0_1,e2m5,8,16384,1,storage,768,3.15524272564705204197,0.0484215841755557804338,0.05,pass
dot,normal_0_1,e2m5,8,16384,1,kernel_x1,768,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,16384,1,kernel_x2,768,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,16384,1,kernel_x4,768,0,nan,0.05,exact_zero
dot,normal_0_1,e2m5,8,16384,1,total_x1,768,3.15524272564705204197,0.0484215841755557804338,0.05,pass
dot,normal_0_1,e2m5,8,16384,1,total_x2,768,3.15524272564705204197,0.0484215841755557804338,0.05,pass
dot,normal_0_1,e2m5,8,16384,1,total_x4,768,3.15524272564705204197,0.0484215841755557804338,0.05,pass
dot,normal_0_1,e2m5,8,262144,1,storage,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,kernel_x1,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,kernel_x2,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,kernel_x4,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,total_x1,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,total_x2,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,262144,1,total_x4,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,storage,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,kernel_x1,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,kernel_x2,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,0,nan,nan,0.05,nonfinite_case
