kernel,distribution,format,storage_bits,n,m,comparison,total_outputs,finite_pairs,matching_nonfinite,class_mismatches,zero_references,bias,mean_absolute_error,mse,rmse,max_absolute_error,relative_l2,mean_normalized_absolute_error,rms_normalized_error,max_normalized_absolute_error,bias_cluster_standard_error,mse_cluster_standard_error,mse_relative_cluster_standard_error,statistical_batches
dot,uniform_0_1,e1m6,8,1024,1,storage,8192,8192,0,0,0,0.00147152107524464460233,0.189060861147142249153,0.0558313705785505645731,0.236286628014685935953,0.900280568382989754284,0.000922209535864404609886,0.000739106465578197105245,0.000924244967290176964693,0.00362272969529135865698,0.00301467204374110505054,0.00101696423361449575765,0.0182149251052990559669,32
dot,uniform_0_1,e1m6,8,1024,1,kernel_x1,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,1024,1,kernel_x2,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,1024,1,kernel_x4,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,1024,1,total_x1,8192,8192,0,0,0,0.00147152107524464460233,0.189060861147142249153,0.0558313705785505645731,0.236286628014685935953,0.900280568382989754284,0.000922209535864404609886,0.000739106465578197105245,0.000924244967290176964693,0.00362272969529135865698,0.00301467204374110505054,0.00101696423361449575765,0.0182149251052990559669,32
dot,uniform_0_1,e1m6,8,1024,1,total_x2,8192,8192,0,0,0,0.00147152107524464460233,0.189060861147142249153,0.0558313705785505645731,0.236286628014685935953,0.900280568382989754284,0.000922209535864404609886,0.000739106465578197105245,0.000924244967290176964693,0.00362272969529135865698,0.00301467204374110505054,0.00101696423361449575765,0.0182149251052990559669,32
dot,uniform_0_1,e1m6,8,1024,1,total_x4,8192,8192,0,0,0,0.00147152107524464460233,0.189060861147142249153,0.0558313705785505645731,0.236286628014685935953,0.900280568382989754284,0.000922209535864404609886,0.000739106465578197105245,0.000924244967290176964693,0.00362272969529135865698,0.00301467204374110505054,0.00101696423361449575765,0.0182149251052990559669,32
dot,uniform_0_1,e1m6,8,16384,1,storage,8192,8192,0,0,0,-0.00238099994305264147428,0.763539223776007731784,0.909590895336224465942,0.953724748203707077294,3.59450054405965557791,0.000232828731933522632422,0.000186401377860216509739,0.000232833131569032270493,0.00087385867370865274465,0.0123713285427586374051,0.0131835460432912450483,0.0144939292058525183913,32
dot,uniform_0_1,e1m6,8,16384,1,kernel_x1,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,16384,1,kernel_x2,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,16384,1,kernel_x4,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,16384,1,total_x1,8192,8192,0,0,0,-0.00238099994305264147428,0.763539223776007731784,0.909590895336224465942,0.953724748203707077294,3.59450054405965557791,0.000232828731933522632422,0.000186401377860216509739,0.000232833131569032270493,0.00087385867370865274465,0.0123713285427586374051,0.0131835460432912450483,0.0144939292058525183913,32
dot,uniform_0_1,e1m6,8,16384,1,total_x2,8192,8192,0,0,0,-0.00238099994305264147428,0.763539223776007731784,0.909590895336224465942,0.953724748203707077294,3.59450054405965557791,0.000232828731933522632422,0.000186401377860216509739,0.000232833131569032270493,0.00087385867370865274465,0.0123713285427586374051,0.0131835460432912450483,0.0144939292058525183913,32
dot,uniform_0_1,e1m6,8,16384,1,total_x4,8192,8192,0,0,0,-0.00238099994305264147428,0.763539223776007731784,0.909590895336224465942,0.953724748203707077294,3.59450054405965557791,0.000232828731933522632422,0.000186401377860216509739,0.000232833131569032270493,0.00087385867370865274465,0.0123713285427586374051,0.0131835460432912450483,0.0144939292058525183913,32
dot,uniform_0_1,e1m6,8,262144,1,storage,8192,8192,0,0,0,-0.0371028440295197887988,2.99670243683293758327,14.1960465146944945069,3.76776412673278879003,15.6595506679397189487,5.74923339763028508238e-05,4.57270324955739496267e-05,5.74930526290914167822e-05,0.000239096368541576583117,0.0354298875393974748086,0.22820421329687829981,0.0160751948129122737043,32
dot,uniform_0_1,e1m6,8,262144,1,kernel_x1,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,262144,1,kernel_x2,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,262144,1,kernel_x4,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,e1m6,8,262144,1,total_x1,8192,8192,0,0,0,-0.0371028440295197887988,2.99670243683293758327,14.1960465146944945069,3.76776412673278879003,15.6595506679397189487,5.74923339763028508238e-05,4.57270324955739496267e-05,5.74930526290914167822e-05,0.000239096368541576583117,0.0354298875393974748086,0.22820421329687829981,0.0160751948129122737043,32
dot,uniform_0_1,e1m6,8,262144,1,total_x2,8192,8192,0,0,0,-0.0371028440295197887988,2.99670243683293758327,14.1960465146944945069,3.76776412673278879003,15.6595506679397189487,5.74923339763028508238e-05,4.57270324955739496267e-05,5.74930526290914167822e-05,0.000239096368541576583117,0.0354298875393974748086,0.22820421329687829981,0.0160751948129122737043,32
dot,uniform_0_1,e1m6,8,262144,1,total_x4,8192,8192,0,0,0,-0.0371028440295197887988,2.99670243683293758327,14.1960465146944945069,3.76776412673278879003,15.6595506679397189487,5.74923339763028508238e-05,4.57270324955739496267e-05,5.74930526290914167822e-05,0.000239096368541576583117,0.0354298875393974748086,0.22820421329687829981,0.0160751948129122737043,32
