kernel,distribution,format,storage_bits,n,m,operand,source_values,decoded_zeros,decoded_infinities,decoded_nans,saturated_values
dot,normal_0_1,fp8_e5m2,8,262144,1,right,2147483648,12898,0,0,0
dot,normal_0_1,fp8_e5m2,8,4194304,1,left,34359738368,209480,0,0,0
dot,normal_0_1,fp8_e5m2,8,4194304,1,right,34359738368,208950,0,0,0
dot,uniform_0_1,e1m14,16,1024,1,left,8388608,533,0,0,0
dot,uniform_0_1,e1m14,16,1024,1,right,8388608,504,0,0,0
dot,uniform_0_1,e1m14,16,16384,1,left,134217728,8073,0,0,0
dot,uniform_0_1,e1m14,16,16384,1,right,134217728,8357,0,0,0
dot,uniform_0_1,e1m14,16,262144,1,left,2147483648,131390,0,0,0
dot,uniform_0_1,e1m14,16,262144,1,right,2147483648,130958,0,0,0
dot,uniform_0_1,e1m14,16,4194304,1,left,34359738368,2098649,0,0,0
dot,uniform_0_1,e1m14,16,4194304,1,right,34359738368,2095602,0,0,0
dot,normal_0_1,e1m14,16,1024,1,left,8388608,430,0,0,481
dot,normal_0_1,e1m14,16,1024,1,right,8388608,424,0,0,533
dot,normal_0_1,e1m14,16,16384,1,left,134217728,6429,0,0,8477
dot,normal_0_1,e1m14,16,16384,1,right,134217728,6695,0,0,8553
dot,normal_0_1,e1m14,16,262144,1,left,2147483648,104824,0,0,135798
dot,normal_0_1,e1m14,16,262144,1,right,2147483648,104719,0,0,135894
dot,normal_0_1,e1m14,16,4194304,1,left,34359738368,1672883,0,0,2176279
dot,normal_0_1,e1m14,16,4194304,1,right,34359738368,1673418,0,0,2179493
dot,uniform_0_1,e2m13,16,1024,1,left,8388608,533,0,0,0
dot,uniform_0_1,e2m13,16,1024,1,right,8388608,504,0,0,0
dot,uniform_0_1,e2m13,16,16384,1,left,134217728,8073,0,0,0
dot,uniform_0_1,e2m13,16,16384,1,right,134217728,8357,0,0,0
dot,uniform_0_1,e2m13,16,262144,1,left,2147483648,131390,0,0,0
dot,uniform_0_1,e2m13,16,262144,1,right,2147483648,130958,0,0,0
dot,uniform_0_1,e2m13,16,4194304,1,left,34359738368,2098649,0,0,0
dot,uniform_0_1,e2m13,16,4194304,1,right,34359738368,2095602,0,0,0
dot,normal_0_1,e2m13,16,1024,1,left,8388608,430,481,0,0
dot,normal_0_1,e2m13,16,1024,1,right,8388608,424,534,0,0
dot,normal_0_1,e2m13,16,16384,1,left,134217728,6429,8481,0,0
dot,normal_0_1,e2m13,16,16384,1,right,134217728,6695,8557,0,0
dot,normal_0_1,e2m13,16,262144,1,left,2147483648,104824,135825,0,0
dot,normal_0_1,e2m13,16,262144,1,right,2147483648,104719,135925,0,0
dot,normal_0_1,e2m13,16,4194304,1,left,34359738368,1672883,2176864,0,0
dot,normal_0_1,e2m13,16,4194304,1,right,34359738368,1673418,2180049,0,0
dot,uniform_0_1,e3m12,16,1024,1,left,8388608,277,0,0,0
dot,uniform_0_1,e3m12,16,1024,1,right,8388608,228,0,0,0
dot,uniform_0_1,e3m12,16,16384,1,left,134217728,3994,0,0,0
dot,uniform_0_1,e3m12,16,16384,1,right,134217728,4152,0,0,0
dot,uniform_0_1,e3m12,16,262144,1,left,2147483648,65685,0,0,0
dot,uniform_0_1,e3m12,16,262144,1,right,2147483648,65752,0,0,0
dot,uniform_0_1,e3m12,16,4194304,1,left,34359738368,1048510,0,0,0
dot,uniform_0_1,e3m12,16,4194304,1,right,34359738368,1048189,0,0,0
dot,normal_0_1,e3m12,16,1024,1,left,8388608,206,0,0,0
dot,normal_0_1,e3m12,16,1024,1,right,8388608,219,0,0,0
dot,normal_0_1,e3m12,16,16384,1,left,134217728,3224,0,0,0
dot,normal_0_1,e3m12,16,16384,1,right,134217728,3234,0,0,0
dot,normal_0_1,e3m12,16,262144,1,left,2147483648,52179,0,0,0
dot,normal_0_1,e3m12,16,262144,1,right,2147483648,51970,0,0,0
dot,normal_0_1,e3m12,16,4194304,1,left,34359738368,836739,0,0,0
dot,normal_0_1,e3m12,16,4194304,1,right,34359738368,836065,0,0,0
dot,uniform_0_1,fp16_e5m10,16,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,fp16_e5m10,16,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,fp16_e5m10,16,16384,1,left,134217728,4,0,0,0
dot,uniform_0_1,fp16_e5m10,16,16384,1,right,134217728,3,0,0,0
dot,uniform_0_1,fp16_e5m10,16,262144,1,left,2147483648,66,0,0,0
dot,uniform_0_1,fp16_e5m10,16,262144,1,right,2147483648,66,0,0,0
dot,uniform_0_1,fp16_e5m10,16,4194304,1,left,34359738368,1048,0,0,0
dot,uniform_0_1,fp16_e5m10,16,4194304,1,right,34359738368,1015,0,0,0
dot,normal_0_1,fp16_e5m10,16,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,fp16_e5m10,16,1024,1,right,8388608,1,0,0,0
dot,normal_0_1,fp16_e5m10,16,16384,1,left,134217728,5,0,0,0
dot,normal_0_1,fp16_e5m10,16,16384,1,right,134217728,1,0,0,0
dot,normal_0_1,fp16_e5m10,16,262144,1,left,2147483648,55,0,0,0
dot,normal_0_1,fp16_e5m10,16,262144,1,right,2147483648,47,0,0,0
dot,normal_0_1,fp16_e5m10,16,4194304,1,left,34359738368,844,0,0,0
dot,normal_0_1,fp16_e5m10,16,4194304,1,right,34359738368,771,0,0,0
dot,uniform_0_1,bf16_e8m7,16,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,262144,1,left,2147483648,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,4194304,1,left,34359738368,0,0,0,0
dot,uniform_0_1,bf16_e8m7,16,4194304,1,right,34359738368,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,262144,1,right,2147483648,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,4194304,1,left,34359738368,0,0,0,0
dot,normal_0_1,bf16_e8m7,16,4194304,1,right,34359738368,0,0,0,0
dot,uniform_0_1,e11m4,16,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,e11m4,16,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,e11m4,16,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,e11m4,16,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,e11m4,16,262144,1,left,2147483648,0,0,0,0
dot,uniform_0_1,e11m4,16,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,e11m4,16,4194304,1,left,34359738368,0,0,0,0
dot,uniform_0_1,e11m4,16,4194304,1,right,34359738368,0,0,0,0
dot,normal_0_1,e11m4,16,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,e11m4,16,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,e11m4,16,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,e11m4,16,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,e11m4,16,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,e11m4,16,262144,1,right,2147483648,0,0,0,0
dot,normal_0_1,e11m4,16,4194304,1,left,34359738368,0,0,0,0
dot,normal_0_1,e11m4,16,4194304,1,right,34359738368,0,0,0,0
dot,uniform_0_1,e1m30,32,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,e1m30,32,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,e1m30,32,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,e1m30,32,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,e1m30,32,262144,1,left,2147483648,2,0,0,0
dot,uniform_0_1,e1m30,32,262144,1,right,2147483648,3,0,0,0
dot,uniform_0_1,e1m30,32,4194304,1,left,34359738368,35,0,0,0
dot,uniform_0_1,e1m30,32,4194304,1,right,34359738368,39,0,0,0
dot,normal_0_1,e1m30,32,1024,1,left,8388608,0,0,0,481
dot,normal_0_1,e1m30,32,1024,1,right,8388608,0,0,0,533
dot,normal_0_1,e1m30,32,16384,1,left,134217728,0,0,0,8475
dot,normal_0_1,e1m30,32,16384,1,right,134217728,0,0,0,8547
dot,normal_0_1,e1m30,32,262144,1,left,2147483648,0,0,0,135767
dot,normal_0_1,e1m30,32,262144,1,right,2147483648,4,0,0,135861
dot,normal_0_1,e1m30,32,4194304,1,left,34359738368,24,0,0,2175680
dot,normal_0_1,e1m30,32,4194304,1,right,34359738368,23,0,0,2178889
