format,storage_bits,strategy,decode_kind,table_location,lanes,lookup_entry_bytes,shared_table_bytes,pipelined
e3m4,8,lut_high_word_swizzled_shared_x4,lut_high_word_swizzled,shared,4,4,4112,0
e3m4,8,lut_high_word_swizzled_shared_x8,lut_high_word_swizzled,shared,8,4,4112,0
e3m4,8,lut_prefix_global_pipelined_x4,lut_prefix,global,4,2,0,1
e3m4,8,lut_prefix_global_x1,lut_prefix,global,1,2,0,0
e3m4,8,lut_prefix_global_x2,lut_prefix,global,2,2,0,0
e3m4,8,lut_prefix_global_x4,lut_prefix,global,4,2,0,0
e3m4,8,lut_prefix_global_x8,lut_prefix,global,8,2,0,0
e3m4,8,lut_prefix_shared_x4,lut_prefix,shared,4,2,512,0
e3m4,8,lut_prefix_shared_x8,lut_prefix,shared,8,2,512,0
e3m4,8,lut_subnormal_global_x4,lut_subnormal,global,4,4,0,0
e3m4,8,lut_subnormal_global_x8,lut_subnormal,global,8,4,0,0
e3m4,8,lut_subnormal_shared_x4,lut_subnormal,shared,4,4,64,0
e3m4,8,lut_subnormal_shared_x8,lut_subnormal,shared,8,4,64,0
fp64,64,raw_pointer_x1,none,none,1,0,0,0
