gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,0,149,0.74553602933883667,0.0050035975123411854
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,1,149,0.74211198091506958,0.0049806173215776479
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,0,145,0.72745597362518311,0.0050169377491391942
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,1,145,0.728767991065979,0.0050259861452826137
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,0,147,0.73702400922775269,0.005013768770256821
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,1,147,0.73715198040008545,0.0050146393224495605
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,0,147,0.71811199188232422,0.0048851155910362189
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,1,147,0.71747201681137085,0.0048807620191249719
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,0,149,0.73705601692199707,0.0049466846773288395
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,1,149,0.73824000358581543,0.0049546308965490969
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,0,149,0.71974402666091919,0.0048304968232276459
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,1,149,0.71983999013900757,0.0048311408734161582
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x8,dot,8,65536,1,4,1024,0,0,150,0.7224000096321106,0.0048160000642140707
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x8,dot,8,65536,1,4,1024,0,1,150,0.7215999960899353,0.004810666640599569
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,0,150,0.72351998090744019,0.0048234665393829344
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,1,150,0.72358399629592896,0.0048238933086395264
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,0,152,0.73388797044754028,0.0048282103318917123
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,1,152,0.73264002799987793,0.0048200001842097235
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x4,dot,4,65536,1,0,0,0,0,141,0.75820797681808472,0.0053773615377169133
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x4,dot,4,65536,1,0,0,0,1,141,0.759552001953125,0.0053868936308732272
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x4,dot,4,65536,1,0,0,0,0,145,0.72764801979064941,0.0050182622054527545
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x4,dot,4,65536,1,0,0,0,1,145,0.72732800245285034,0.0050160551893300024
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x4,dot,4,65536,1,4,0,0,0,140,0.75174397230148315,0.0053695998021534514
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x4,dot,4,65536,1,4,0,0,1,140,0.75126397609710693,0.0053661712578364782
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x4,dot,4,65536,1,4,128,0,0,139,0.76102399826049805,0.0054749927932409934
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x4,dot,4,65536,1,4,128,0,1,139,0.76019197702407837,0.0054690070289502039
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x4,dot,4,65536,1,4,0,0,0,149,0.71439999341964722,0.0047946308283197802
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x4,dot,4,65536,1,4,0,0,1,149,0.71491199731826782,0.0047980670960957568
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x4,dot,4,65536,1,4,1024,0,0,151,0.72585600614547729,0.0048069934181819689
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x4,dot,4,65536,1,4,1024,0,1,151,0.72688001394271851,0.0048137749267729698
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x4,dot,4,65536,1,4,4112,0,0,148,0.71449601650238037,0.0048276757871782454
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x4,dot,4,65536,1,4,4112,0,1,148,0.71446400880813599,0.0048274595189738917
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x8,dot,8,65536,1,0,0,0,0,126,0.75545597076416016,0.0059956823076520649
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x8,dot,8,65536,1,0,0,0,1,126,0.75503998994827271,0.005992380872605339
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x8,dot,8,65536,1,0,0,0,0,133,0.74252802133560181,0.0055829174536511416
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x8,dot,8,65536,1,0,0,0,1,133,0.7417600154876709,0.0055771429735915106
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x8,dot,8,65536,1,4,0,0,0,132,0.77292799949645996,0.0058555151477004547
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x8,dot,8,65536,1,4,0,0,1,132,0.77171200513839722,0.0058463030692302818
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x8,dot,8,65536,1,4,128,0,0,127,0.76729601621627808,0.0060417009150888039
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x8,dot,8,65536,1,4,128,0,1,127,0.76649600267410278,0.0060354015958590766
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x8,dot,8,65536,1,4,0,0,0,147,0.72207999229431152,0.0049121087911177651
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x8,dot,8,65536,1,4,0,0,1,147,0.72236800193786621,0.0049140680403936474
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x8,dot,8,65536,1,4,1024,0,0,156,0.75321602821350098,0.0048283078731634682
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x8,dot,8,65536,1,4,1024,0,1,156,0.75193601846694946,0.0048201026824804451
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x8,dot,8,65536,1,4,4112,0,0,149,0.73071998357772827,0.0049041609636089143
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x8,dot,8,65536,1,4,4112,0,1,149,0.73071998357772827,0.0049041609636089143
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,0,149,0.72182399034500122,0.0048444563110402765
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,gemv,1,1024,256,0,0,0,1,149,0.72147202491760254,0.0048420941269637753
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,gemv,1,1024,256,0,0,0,0,176,0.65740799903869629,0.0037352727218107743
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,gemv,1,1024,256,0,0,0,1,176,0.65702402591705322,0.0037330910563468933
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,gemv,1,1024,256,4,0,0,0,177,0.675711989402771,0.0038175818610326046
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,gemv,1,1024,256,4,0,0,1,177,0.67532801628112793,0.0038154125213623047
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,gemv,1,1024,256,8,0,0,0,178,0.66512000560760498,0.0037366292449865449
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,gemv,1,1024,256,8,0,0,1,178,0.66563200950622559,0.0037395056713832898
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,gemv,1,1024,256,4,0,0,0,191,0.69536000490188599,0.0036406282979156335
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,gemv,1,1024,256,4,0,0,1,191,0.69488000869750977,0.0036381152287827735
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,gemv,2,1024,256,0,0,0,0,169,0.67670398950576782,0.0040041656183773247
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,gemv,2,1024,256,0,0,0,1,169,0.67663997411727905,0.0040037868290963259
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x2,gemv,2,1024,256,0,0,0,0,196,0.63782399892807007,0.0032542040761636228
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x2,gemv,2,1024,256,0,0,0,1,196,0.64163202047348022,0.0032736327575177563
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x2,gemv,2,1024,256,4,0,0,0,197,0.62911999225616455,0.0031935024987622567
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x2,gemv,2,1024,256,4,0,0,1,197,0.62809598445892334,0.0031883044896392049
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x2,gemv,2,1024,256,8,0,0,0,196,0.64076799154281616,0.0032692244466470213
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x2,gemv,2,1024,256,8,0,0,1,196,0.63929599523544312,0.0032617142614053221
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x2,gemv,2,1024,256,4,0,0,0,202,0.63830399513244629,0.0031599207679824074
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x2,gemv,2,1024,256,4,0,0,1,202,0.63871997594833374,0.0031619800789521473
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x4,gemv,4,1024,256,0,0,0,0,174,0.66457599401473999,0.0038194022644525288
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x4,gemv,4,1024,256,0,0,0,1,174,0.66412800550460815,0.0038168276178425758
