gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,gemv,1,1024,256,4,0,0,2,0.00407791719634152,0.004077443709740272,0.004078390682942769,0.01642042103474249
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,dot,2,65536,1,4,0,0,2,0.005165130927644927,0.0051623722602581155,0.0051678895950317385,0.07553235120574078
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,gemv,2,1024,256,4,0,0,2,0.0034966556752314333,0.0034949945621803157,0.003498316788282551,0.06718329809153678
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,dot,4,65536,1,4,0,0,2,0.005003761574132553,0.00500344361690496,0.005004079531360146,0.008986427847420892
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,gemv,4,1024,256,4,0,0,2,0.003238620722822368,0.0032360985361296556,0.0032411429095150802,0.11013671970091747
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,dot,8,65536,1,4,0,0,2,0.005186868947127769,0.005186868947127769,0.005186868947127769,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,gemv,8,1024,256,4,0,0,2,0.0035175865921894265,0.003516424634603149,0.0035187485497757045,0.04671544351076176
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,2,0.004908625974136145,0.004904272199488011,0.004912979748784279,0.12543565525974068
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,gemv,4,1024,256,4,1024,0,2,0.0030424975767368223,0.0030362536267536443,0.0030487415267200003,0.290231250026512
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,dot,1,65536,1,8,0,0,2,0.005200231852738754,0.005196289739746979,0.005204173965730529,0.10720655953905864
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,gemv,1,1024,256,8,0,0,2,0.003989423735667083,0.003987163810406701,0.003991683660927466,0.08011224590179573
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,dot,2,65536,1,8,0,0,2,0.005193828472069331,0.00518925700868879,0.005198399935449872,0.12447514482659301
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,gemv,2,1024,256,8,0,0,2,0.003626086951597877,0.0036250433844068775,0.0036271305187888766,0.0407002615893909
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,dot,4,65536,1,8,0,0,2,0.0051804688470116975,0.005178262036422203,0.005182675657601192,0.060243610325956376
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,gemv,4,1024,256,8,0,0,2,0.0034896703539313853,0.0034874726782788286,0.0034918680295839416,0.08906235828381698
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,dot,8,65536,1,8,0,0,2,0.005380554790914494,0.00537833593187541,0.0053827736499535775,0.05832001843685554
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,gemv,8,1024,256,8,0,0,2,0.0036481747536059937,0.003647300389295067,0.0036490491179169203,0.0338946994177056
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,2,0.005010427483196916,0.005006786050467655,0.005014068915926177,0.10278092177684019
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,gemv,4,1024,256,8,2048,0,2,0.003240583309282859,0.0032398334393898645,0.0032413331791758537,0.03272485449303131
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_global_x4,dot,4,65536,1,4,0,0,2,0.004872489745925072,0.004870530699386077,0.004874448792464068,0.05686025685501932
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_global_x4,gemv,4,1024,256,4,0,0,2,0.0031822857503988307,0.003180571356598212,0.003184000144199449,0.07618797161063239
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_global_x8,dot,8,65536,1,4,0,0,2,0.005082122525390313,0.005081469509877315,0.005082775540903312,0.018171608226855363
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_global_x8,gemv,8,1024,256,4,0,0,2,0.0033385549228228824,0.0033363768567589566,0.0033407329888868083,0.0922629891840761
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_shared_x4,dot,4,65536,1,4,1024,0,2,0.004824370935263223,0.004821615898056536,0.004827125972469911,0.08076101599197143
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_shared_x4,gemv,4,1024,256,4,1024,0,2,0.002906048211498537,0.002905970898227415,0.0029061255247696586,0.0037624109654879863
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_shared_x8,dot,8,65536,1,4,1024,0,2,0.0049695364686827,0.0049678410915349495,0.00497123184583045,0.04824645861431086
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_shared_x8,gemv,8,1024,256,4,1024,0,2,0.002996910769160431,0.0029950097645863446,0.0029988117737345175,0.08970658981480112
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_swizzled_shared_x4,dot,4,65536,1,4,4112,0,2,0.004832653164052639,0.004828299389404505,0.004837006938700773,0.12740759466677995
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_swizzled_shared_x4,gemv,4,1024,256,4,4112,0,2,0.0030603494169642626,0.0030584853251003526,0.0030622135088281726,0.08614127461516757
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_swizzled_shared_x8,dot,8,65536,1,4,4112,0,2,0.004984216110126392,0.004977513406727765,0.0049909188135250195,0.19018144160410824
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_high_word_swizzled_shared_x8,gemv,8,1024,256,4,4112,0,2,0.00306883174003941,0.0030642376087679723,0.003073425871310848,0.21171192498505415
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,2,0.0049873065948486325,0.004979413350423177,0.004995199839274088,0.22382288125488872
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,gemv,4,1024,256,4,0,1,2,0.003113287687301636,0.0031097755199525415,0.00311679985465073,0.15954049857557465
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,dot,1,65536,1,4,0,0,2,0.00500391497679636,0.005000851255782107,0.005006978697810613,0.08658731872494299
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,gemv,1,1024,256,4,0,0,2,0.003827073311401626,0.003825536555489578,0.003828610067313674,0.056787546933070074
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,dot,2,65536,1,4,0,0,2,0.005013150711582132,0.0050093151935159345,0.005016986229648329,0.10820025129927635
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,gemv,2,1024,256,4,0,0,2,0.0032980304381569027,0.0032921015913716426,0.0033039592849421623,0.25423220586261014
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,dot,4,65536,1,4,0,0,2,0.004914966837459843,0.00490807934312631,0.004921854331793375,0.1981781000639189
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,gemv,4,1024,256,4,0,0,2,0.003115009848434146,0.003113029616894108,0.003116990079974184,0.08990245414371278
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,2,0.0051883120908804824,0.005187858081033044,0.00518876610072792,0.012375255621693788
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,gemv,8,1024,256,4,0,0,2,0.0033661538209670628,0.003364102657024677,0.0033682049849094488,0.08617502408547982
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,2,0.004871786634127299,0.004869759877522787,0.004873813390731812,0.058833994445743394
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,gemv,4,1024,256,4,1024,0,2,0.0030043564810611234,0.003003247598610302,0.0030054653635119446,0.05219742100894412
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x8,dot,8,65536,1,4,1024,0,2,0.004978721036392004,0.0049780680208790055,0.004979374051905003,0.018549008634393047
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x8,gemv,8,1024,256,4,1024,0,2,0.0030605940535517024,0.0030588513553732695,0.0030623367517301353,0.08052513191688125
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_global_x4,dot,4,65536,1,4,0,0,2,0.005396057946094568,0.005391767923382746,0.005400347968806391,0.1124340835950268
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_global_x4,gemv,4,1024,256,4,0,0,2,0.0034391488483611573,0.0034382977384202025,0.003439999958302112,0.034998520699168666
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_global_x8,dot,8,65536,1,4,0,0,2,0.006036000093445182,0.0060350000858306885,0.006037000101059675,0.02342982619282382
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_global_x8,gemv,8,1024,256,4,0,0,2,0.004106666644414266,0.004102981813026197,0.004110351475802335,0.12689460760476368
