format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
e2m11,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.552287996,0.549600005,0.559967995
e2m11,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_shared,30,1.026528,1.02022398,1.03129601
e2m11,ieee,14,fp32,paired_log_uniform_finite,gemv,direct_branchy,30,0.349711999,0.347167999,0.351583987
e2m11,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.230896004,0.229568005,0.233600006
e2m11,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_shared,30,0.410383999,0.407200009,0.412512004
e2m11,ieee,14,fp64,field_balanced_finite,dot,direct_branchy,30,0.972719997,0.967967987,0.978304029
e2m11,ieee,14,fp64,field_balanced_finite,dot,full_lut_global,30,0.536816001,0.532768011,0.539424002
e2m11,ieee,14,fp64,field_balanced_finite,dot,full_lut_shared,30,2.03559994,2.03030396,2.04307199
e2m11,ieee,14,fp64,field_balanced_finite,gemv,direct_branchy,30,0.335792005,0.333440006,0.342368007
e2m11,ieee,14,fp64,field_balanced_finite,gemv,full_lut_global,30,0.191263996,0.189311996,0.19664
e2m11,ieee,14,fp64,field_balanced_finite,gemv,full_lut_shared,30,1.00947201,0.996927977,1.01567996
e2m11,ieee,14,fp64,paired_log_uniform_finite,dot,direct_branchy,30,1.08508796,1.08163202,1.09500802
e2m11,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.573152006,0.569343984,0.576608002
e2m11,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,30,2.05582392,2.0497601,2.0632
e2m11,ieee,14,fp64,paired_log_uniform_finite,gemv,direct_branchy,30,0.423488006,0.415423989,0.426752001
e2m11,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.254639998,0.253791988,0.257696003
e2m11,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,30,1.02321601,1.01443195,1.02784002
e3m12,ieee,16,fp32,field_balanced_finite,dot,full_lut_global,30,0.525967986,0.521344006,0.533887982
e3m12,ieee,16,fp32,field_balanced_finite,dot,subnormal_lut_global,30,0.917167991,0.915296018,0.920639992
e3m12,ieee,16,fp32,field_balanced_finite,gemv,full_lut_global,30,0.177968003,0.175328001,0.180639997
e3m12,ieee,16,fp32,field_balanced_finite,gemv,subnormal_lut_global,30,0.208144002,0.206496,0.2104
e3m12,ieee,16,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.601535976,0.579967976,0.64646399
e3m12,ieee,16,fp32,paired_log_uniform_finite,dot,subnormal_lut_global,30,1.01648003,1.01347196,1.01903999
e3m12,ieee,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.224016003,0.223327994,0.227456003
e3m12,ieee,16,fp32,paired_log_uniform_finite,gemv,subnormal_lut_global,30,0.234144002,0.232703999,0.236607999
e3m12,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,30,0.523999989,0.522047997,0.527072012
e3m12,ieee,16,fp64,field_balanced_finite,dot,subnormal_lut_global,30,0.937088013,0.935168028,0.94067198
e3m12,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,30,0.184271999,0.182111993,0.190144002
e3m12,ieee,16,fp64,field_balanced_finite,gemv,subnormal_lut_global,30,0.224895999,0.222816005,0.227264002
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.68860799,0.684095979,0.693856001
e3m12,ieee,16,fp64,paired_log_uniform_finite,dot,subnormal_lut_global,30,1.06160003,1.05852795,1.06732798
