format,family,bits,arithmetic,distribution,kernel,winning_strategy,median_ms
e6m9,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,0.763952016
e6m9,ieee,16,fp64,paired_log_uniform_finite,gemv,direct_branchy,0.360959992
e8m5,ieee,14,fp32,field_balanced_finite,dot,direct_branchy,0.486944005
e8m5,ieee,14,fp32,field_balanced_finite,gemv,direct_branchy,0.155536003
e8m5,ieee,14,fp32,paired_log_uniform_finite,dot,direct_branchy,0.486527994
e8m5,ieee,14,fp32,paired_log_uniform_finite,gemv,direct_branchy,0.156959996
fp16_e5m10,ieee,16,fp32,field_balanced_finite,dot,native_scalar,0.489904002
fp16_e5m10,ieee,16,fp32,field_balanced_finite,gemv,native_scalar,0.114736002
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,dot,native_scalar,0.489759997
fp16_e5m10,ieee,16,fp32,paired_log_uniform_finite,gemv,native_scalar,0.114416
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,0.500479996
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,0.118319999
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,dot,native_scalar,0.500463993
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,gemv,native_scalar,0.118303999
fp32_e8m23,ieee,32,fp32,field_balanced_finite,dot,native_scalar,0.520063996
fp32_e8m23,ieee,32,fp32,field_balanced_finite,gemv,native_scalar,0.122175999
fp32_e8m23,ieee,32,fp32,paired_log_uniform_finite,dot,native_scalar,0.520144016
fp32_e8m23,ieee,32,fp32,paired_log_uniform_finite,gemv,native_scalar,0.122191999
fp32_e8m23,ieee,32,fp64,field_balanced_finite,dot,native_scalar,0.525663972
fp32_e8m23,ieee,32,fp64,field_balanced_finite,gemv,native_scalar,0.123935997
fp32_e8m23,ieee,32,fp64,paired_log_uniform_finite,dot,native_scalar,0.526495993
fp32_e8m23,ieee,32,fp64,paired_log_uniform_finite,gemv,native_scalar,0.124159999
fp8_e4m3,ieee,8,fp32,field_balanced_finite,dot,native_scalar,0.476400003
fp8_e4m3,ieee,8,fp32,field_balanced_finite,gemv,native_scalar,0.113135998
fp8_e4m3,ieee,8,fp32,paired_log_uniform_finite,dot,native_scalar,0.476480007
fp8_e4m3,ieee,8,fp32,paired_log_uniform_finite,gemv,native_scalar,0.112944003
fp8_e4m3,ieee,8,fp64,field_balanced_finite,dot,full_lut_shared,0.488703996
fp8_e4m3,ieee,8,fp64,field_balanced_finite,gemv,native_scalar,0.117199998
fp8_e4m3,ieee,8,fp64,paired_log_uniform_finite,dot,native_scalar,0.489663988
fp8_e4m3,ieee,8,fp64,paired_log_uniform_finite,gemv,native_scalar,0.117167998
fp8_e5m2,ieee,8,fp32,field_balanced_finite,dot,native_scalar,0.476031989
fp8_e5m2,ieee,8,fp32,field_balanced_finite,gemv,native_scalar,0.112960003
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,dot,native_scalar,0.476704002
fp8_e5m2,ieee,8,fp32,paired_log_uniform_finite,gemv,native_scalar,0.112816002
fp8_e5m2,ieee,8,fp64,field_balanced_finite,dot,full_lut_shared,0.487936005
fp8_e5m2,ieee,8,fp64,field_balanced_finite,gemv,native_scalar,0.116896
fp8_e5m2,ieee,8,fp64,paired_log_uniform_finite,dot,native_scalar,0.489263996
fp8_e5m2,ieee,8,fp64,paired_log_uniform_finite,gemv,native_scalar,0.117199998
posit14_es1,posit,14,fp32,field_balanced_finite,dot,full_lut_global,0.525024027
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,full_lut_global,0.189087995
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,full_lut_global,0.561935991
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.21576
posit14_es1,posit,14,fp64,field_balanced_finite,dot,full_lut_global,0.533663988
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_global,0.196560003
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_global,0.58416
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.243552
posit16_es1,posit,16,fp32,field_balanced_finite,dot,full_lut_global,0.517632008
posit16_es1,posit,16,fp32,field_balanced_finite,gemv,full_lut_global,0.153839998
posit16_es1,posit,16,fp32,paired_log_uniform_finite,dot,full_lut_global,0.619760006
posit16_es1,posit,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.201824002
posit16_es1,posit,16,fp64,field_balanced_finite,dot,full_lut_global,0.513200015
posit16_es1,posit,16,fp64,field_balanced_finite,gemv,full_lut_global,0.167583994
posit16_es1,posit,16,fp64,paired_log_uniform_finite,dot,full_lut_global,0.665408015
posit16_es1,posit,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.236432001
posit32_es2,posit,32,fp32,field_balanced_finite,dot,direct,1.49763203
posit32_es2,posit,32,fp32,field_balanced_finite,gemv,direct,0.597488016
posit32_es2,posit,32,fp32,paired_log_uniform_finite,dot,direct,1.694336
posit32_es2,posit,32,fp32,paired_log_uniform_finite,gemv,direct,0.740096003
