question,bits,arithmetic,distribution,kernel,numerator_format,numerator_strategy,denominator_format,denominator_strategy,ratio,ci_lower,ci_upper,classification,interval_method,note
1,8,fp32,paired_log_uniform_finite,dot,posit8_es0,full_lut_global,posit8_es0,direct,0.371280998,0.371149302,0.372144548,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,dot,posit8_es0,full_lut_shared,posit8_es0,direct,0.361227371,0.360334449,0.362061582,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,posit8_es0,full_lut_global,posit8_es0,direct,0.216904088,0.216094768,0.217601585,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,posit8_es0,full_lut_shared,posit8_es0,direct,0.210293572,0.209811932,0.211251342,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,posit8_es0,full_lut_global,posit8_es0,direct,0.368896049,0.368471374,0.36983023,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,posit8_es0,full_lut_shared,posit8_es0,direct,0.360811906,0.360301016,0.361345329,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,posit8_es0,full_lut_global,posit8_es0,direct,0.215234984,0.214222729,0.21576411,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,posit8_es0,full_lut_shared,posit8_es0,direct,0.208327073,0.207911533,0.209250159,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,posit8_es0,full_lut_global,posit8_es0,direct,0.38189268,0.381643649,0.382753749,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,posit8_es0,full_lut_shared,posit8_es0,direct,0.366762536,0.366349111,0.367410533,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,posit8_es0,full_lut_global,posit8_es0,direct,0.256278495,0.253451365,0.256784899,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,posit8_es0,full_lut_shared,posit8_es0,direct,0.239092469,0.237385979,0.239962198,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,dot,takum14,full_lut_global,takum14,direct,0.423043181,0.422437299,0.423472477,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,dot,takum14,full_lut_shared,takum14,direct,0.816965664,0.816453253,0.818681731,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,takum14,full_lut_global,takum14,direct,0.347467725,0.342853023,0.349058897,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,takum14,full_lut_shared,takum14,direct,0.758489536,0.756838368,0.762219911,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,takum14,full_lut_global,takum14,direct,0.415998095,0.415371742,0.416464246,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,takum14,full_lut_shared,takum14,direct,0.719942761,0.718961723,0.721656783,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,takum14,full_lut_global,takum14,direct,0.429738,0.428633642,0.430218626,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,takum14,full_lut_shared,takum14,direct,0.650497603,0.649238812,0.651220669,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,takum14,full_lut_global,takum14,direct,0.432620428,0.432124958,0.433073208,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,takum14,full_lut_shared,takum14,direct,1.65074702,1.64728732,1.65253136,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,gemv,takum14,full_lut_global,takum14,direct,0.380046123,0.36311822,0.381773254,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
