symbol,kernel,family,k,chain_a,chain_b,target_opcode_count,loop_instruction_count,opcode_histogram,registers,spill_loads,spill_stores,shared_bytes,status,reason
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi64EEEvPKjS4_iiPdjff,gemv,mul32f,64,64,64,128,143,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 128, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi48EEEvPKjS4_iiPdjff,gemv,mul32f,48,48,48,96,111,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi32EEEvPKjS4_iiPdjff,gemv,mul32f,32,32,32,64,79,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi24EEEvPKjS4_iiPdjff,gemv,mul32f,24,24,24,48,63,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi16EEEvPKjS4_iiPdjff,gemv,mul32f,16,16,16,32,47,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi12EEEvPKjS4_iiPdjff,gemv,mul32f,12,12,12,24,39,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi8EEEvPKjS4_iiPdjff,gemv,mul32f,8,8,8,16,31,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi4EEEvPKjS4_iiPdjff,gemv,mul32f,4,4,4,8,23,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi2EEEvPKjS4_iiPdjff,gemv,mul32f,2,2,2,4,20,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi1EEEvPKjS4_iiPdjff,gemv,mul32f,1,1,1,2,18,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FMUL': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE1ELi0EEEvPKjS4_iiPdjff,gemv,mul32f,0,0,0,0,16,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi64EEEvPKjS4_iiPdjff,gemv,add32f,64,64,64,128,143,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 128, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi48EEEvPKjS4_iiPdjff,gemv,add32f,48,48,48,96,111,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi32EEEvPKjS4_iiPdjff,gemv,add32f,32,32,32,64,79,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi24EEEvPKjS4_iiPdjff,gemv,add32f,24,24,24,48,63,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi16EEEvPKjS4_iiPdjff,gemv,add32f,16,16,16,32,47,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi12EEEvPKjS4_iiPdjff,gemv,add32f,12,12,12,24,39,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi8EEEvPKjS4_iiPdjff,gemv,add32f,8,8,8,16,31,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi4EEEvPKjS4_iiPdjff,gemv,add32f,4,4,4,8,23,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",18,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi2EEEvPKjS4_iiPdjff,gemv,add32f,2,2,2,4,20,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi1EEEvPKjS4_iiPdjff,gemv,add32f,1,1,1,2,18,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FADD': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE0ELi0EEEvPKjS4_iiPdjff,gemv,add32f,0,0,0,0,16,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi64EEEvPKjS4_mPdjff,dot,rot32,64,64,64,128,146,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 128, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi48EEEvPKjS4_mPdjff,dot,rot32,48,48,48,96,114,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 96, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi32EEEvPKjS4_mPdjff,dot,rot32,32,32,32,64,82,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 64, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi24EEEvPKjS4_mPdjff,dot,rot32,24,24,24,48,66,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 48, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi16EEEvPKjS4_mPdjff,dot,rot32,16,16,16,32,50,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 32, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi12EEEvPKjS4_mPdjff,dot,rot32,12,12,12,24,42,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 24, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi8EEEvPKjS4_mPdjff,dot,rot32,8,8,8,16,34,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 16, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi4EEEvPKjS4_mPdjff,dot,rot32,4,4,4,8,26,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 8, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi2EEEvPKjS4_mPdjff,dot,rot32,2,2,2,4,22,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 4, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi1EEEvPKjS4_mPdjff,dot,rot32,1,1,1,2,20,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'SHF.L.W.U32.HI': 2, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",23,0,0,2048,pass,
