symbol,kernel,family,k,chain_a,chain_b,target_opcode_count,loop_instruction_count,opcode_histogram,registers,spill_loads,spill_stores,shared_bytes,status,reason
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi48EEEvPKjS4_iiPdjff,gemv,fma32f,48,48,48,96,111,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi32EEEvPKjS4_iiPdjff,gemv,fma32f,32,32,32,64,79,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi24EEEvPKjS4_iiPdjff,gemv,fma32f,24,24,24,48,63,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi16EEEvPKjS4_iiPdjff,gemv,fma32f,16,16,16,32,47,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi12EEEvPKjS4_iiPdjff,gemv,fma32f,12,12,12,24,39,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi8EEEvPKjS4_iiPdjff,gemv,fma32f,8,8,8,16,31,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IADD3': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi4EEEvPKjS4_iiPdjff,gemv,fma32f,4,4,4,8,23,"{'SHF.R.S32.HI': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi2EEEvPKjS4_iiPdjff,gemv,fma32f,2,2,2,4,20,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi1EEEvPKjS4_iiPdjff,gemv,fma32f,1,1,1,2,18,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'FFMA': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",20,0,0,2048,pass,
_ZN3aut16instruction_cost17gemv_timed_kernelILNS0_6familyE2ELi0EEEvPKjS4_iiPdjff,gemv,fma32f,0,0,0,0,16,"{'SHF.R.S32.HI': 1, 'IMAD.MOV.U32': 1, 'IMAD.WIDE': 2, 'LDG.E': 2, 'LEA': 1, 'LEA.HI.X': 1, 'IMAD.IADD': 1, 'ISETP.GE.AND': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
