format,bits,strategy_id,N,samples,median_ms,p05_ms,p95_ms,physical_gbps,logical_gbps,speedup_vs_raw_fp64
pwl_normal32_16_16,32,pwl_global_x1,134217728,30,1.9646022103049539,1.963374120538885,1.967329163984819,546.544139250118,546.544139250118,0.3060218970816685
pwq_normal32_8_24,32,pwq_shared_x1,134217728,30,0.743793770118996,0.7427703892743146,0.7449557551631221,1443.6015292628995,1443.6015292628995,0.8083037524126832
qn32,32,qn_direct_x1,134217728,30,0.5099128007888794,0.5094991183280945,0.5103033471107483,2105.7361618277246,2105.7361618277246,1.179047269412015
fp32_e8m23,32,native_f64_x1,134217728,30,0.5254285029875927,0.5250526721660908,0.5261296223371457,2043.5545804894316,2043.5545804894316,1.144230455694479
e11m20,32,direct_shift_x1,134217728,30,0.4927703345694193,0.4924676313632872,0.49341132233782514,2178.990391006859,2178.990391006859,1.2200638983953793
e9m22,32,prefix_global_x1,134217728,30,0.946836384859952,0.9463072603399103,0.9481007706035267,1134.0310122945039,1134.0310122945039,0.6349685172874795
e9m22,32,word_branchy_x1,134217728,30,0.9248334277759899,0.9241256497123025,0.9261216683821245,1161.0110445316627,1161.0110445316627,0.6500752214959779
e8m29,38,prefix_global_x1,134217728,30,1.073196662099738,1.0727300643920898,1.074666751058478,1188.1032256523185,1188.1032256523185,0.5602060802463502
e8m30,39,prefix_global_x1,134217728,30,1.0739629645096627,1.0731940972177607,1.0752958398116261,1218.4990462845947,1218.4990462845947,0.5598063576455404
e11m36,48,direct_shift_x1,134217728,30,0.6069139422792377,0.6064200632499926,0.6074931289210463,2653.7744872879625,2653.7744872879625,0.9906038624694292
raw_fp64,64,raw_pointer_x1,134217728,30,0.601211295408361,0.6007545779733097,0.6017538940205294,3571.928312726333,3571.928312726333,1.0
