graph_id,variant,target_x,q,component,component_bits,table_location,entry_bytes,N,left_unique_indices,right_unique_indices,mean_unique_indices,actual_x,left_unique_sectors,right_unique_sectors,mean_unique_sectors,left_shared_wavefronts,right_shared_wavefronts,mean_shared_wavefronts
g1_u16_global_fp64,u16_global_fp64,0,0,0,16,global,8,67108864,1,1,1,0,1,1,1,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.125,0.12106950460656662,0,16,global,8,67108864,4.8725986480712891,4.8741612434387207,4.8733799457550049,0.12497824779789957,4.8720946311950684,4.8736681938171387,4.8728814125061035,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.25,0.24214594309523818,0,16,global,8,67108864,8.7497859001159668,8.7473316192626953,8.7485587596893311,0.25001453776987437,8.748103141784668,8.7456231117248535,8.7468631267547607,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.375,0.36322931629183586,0,16,global,8,67108864,12.622868061065674,12.621932029724121,12.622400045394897,0.37500767113528027,12.61933708190918,12.618362903594971,12.618849992752075,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.5,0.48431962498943903,0,16,global,8,67108864,16.497783184051514,16.497209548950195,16.497496366500854,0.50004129939854336,16.491692543029785,16.491125583648682,16.491409063339233,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.625,0.60541687331351568,0,16,global,8,67108864,20.370089054107666,20.371227264404297,20.370658159255981,0.62501250828467636,20.36086368560791,20.362002849578857,20.361433267593384,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.75,0.72652218650546274,0,16,global,8,67108864,24.245344161987305,24.245515823364258,24.245429992675781,0.75003566664748655,24.232276439666748,24.232449531555176,24.232362985610962,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,0.875,0.84779068163697957,0,16,global,8,67108864,28.120625972747803,28.118514537811279,28.119570255279541,0.87503844678377263,28.103055000305176,28.10092830657959,28.101991653442383,nan,nan,nan
g1_u16_global_fp64,u16_global_fp64,1,1,0,16,global,8,67108864,31.992372035980225,31.992500305175781,31.992436170578003,1.0000001089054222,31.969682693481445,31.969746112823486,31.969714403152466,nan,nan,nan
g2_u8_shared_fp32,u8_shared_fp32,0,0,0,8,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g2_u8_shared_fp32,u8_shared_fp32,0.125,0.11505709897654981,0,8,shared,4,67108864,4.6413512229919434,4.6424612998962402,4.6419062614440918,0.12499641255304807,nan,nan,nan,1.2422356605529785,1.2423362731933594,1.2422859668731689
g2_u8_shared_fp32,u8_shared_fp32,0.25,0.23174067503786944,0,8,shared,4,67108864,8.2841615676879883,8.2841191291809082,8.2841403484344482,0.2500040766360051,nan,nan,nan,1.6249756813049316,1.6244101524353027,1.6246929168701172
g2_u8_shared_fp32,u8_shared_fp32,0.375,0.35009814731076006,0,8,shared,4,67108864,11.926068305969238,11.926311492919922,11.92618989944458,0.37500540713048974,nan,nan,nan,1.9724488258361816,1.9724164009094238,1.9724326133728027
