graph_id,variant,label,target_x,actual_x,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.0,0.0,50,0.26334400475025177,0.2624320089817047,0.2637920081615448,0.26159998774528503,0.26796799898147583
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.125,0.12497824779789957,50,0.3424319922924042,0.34189600497484207,0.3431280106306076,0.34009599685668945,0.3455039858818054
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.25,0.25001453776987437,50,0.35395199060440063,0.3534240052103996,0.3545200079679489,0.351967990398407,0.3563840091228485
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.375,0.3750076711352803,50,0.39399999380111694,0.3933280035853386,0.39446398615837097,0.390175998210907,0.39587199687957764
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.5,0.5000412993985434,50,0.49691200256347656,0.49637599289417267,0.4976959899067879,0.49484801292419434,0.49881601333618164
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.625,0.6250125082846764,50,0.6032000184059143,0.6022560149431229,0.603863999247551,0.6011840105056763,0.6054400205612183
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.75,0.7500356666474866,50,0.7097119987010956,0.7084719836711884,0.7105440199375153,0.7068799734115601,0.7142400145530701
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,0.875,0.8750384467837726,50,0.8172320127487183,0.8164479732513428,0.8179759830236435,0.8147839903831482,0.8188160061836243
g1_u16_global_fp64,u16_global_fp64,16-bit full global LUT to FP64,1.0,1.0000001089054222,50,0.9552159905433655,0.9542799741029739,0.9559280127286911,0.9520959854125977,0.9570879936218262
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.0,0.0,50,0.25014400482177734,0.24966399371623993,0.25064000487327576,0.2481279969215393,0.2519040107727051
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.125,0.12499641255304807,50,0.2503200024366379,0.24966399371623993,0.2507999911904335,0.24764800071716309,0.25305598974227905
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.25,0.2500040766360051,50,0.24955199658870697,0.24900799617171288,0.2500400096178055,0.2476159930229187,0.25123199820518494
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.375,0.37500540713048974,50,0.24939200282096863,0.24902400374412537,0.25016801059246063,0.2481600046157837,0.25228801369667053
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.5,0.5000304681244188,50,0.2495039999485016,0.2489359974861145,0.2500400096178055,0.24809600412845612,0.25142401456832886
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.625,0.6250064151674288,50,0.24934400618076324,0.24881599470973015,0.2500160038471222,0.24809600412845612,0.2524160146713257
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.75,0.7500303550998323,50,0.24910400062799454,0.24844799935817719,0.24963200092315674,0.24719999730587006,0.2524479925632477
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,0.875,0.8750284778854266,50,0.2495039999485016,0.24904800206422806,0.24989599734544754,0.24803200364112854,0.25145599246025085
g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,1.0,0.9999887955305267,50,0.24982400238513947,0.24899999797344208,0.2503359913825989,0.24828800559043884,0.25248000025749207
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.0,0.0,50,0.2549920082092285,0.25466398894786835,0.2558320015668869,0.25302401185035706,0.25833600759506226
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.125,0.12499641255304807,50,0.25516799092292786,0.25432801246643066,0.25573600828647614,0.2535040080547333,0.2592960000038147
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.25,0.2500040766360051,50,0.2545119971036911,0.254055991768837,0.2550319954752922,0.2528960108757019,0.2569600045681
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.375,0.37500540713048974,50,0.25518399477005005,0.2547280043363571,0.25593600422143936,0.2536959946155548,0.2585600018501282
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.5,0.5000304681244188,50,0.25676798820495605,0.256415992975235,0.25733600556850433,0.25459200143814087,0.2584959864616394
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.625,0.6250064151674288,50,0.25761599838733673,0.2571040019392967,0.25832800567150116,0.25593599677085876,0.2608320116996765
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.75,0.7500303550998323,50,0.2581759989261627,0.2576639950275421,0.2587439939379692,0.255264014005661,0.26076799631118774
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,0.875,0.8750284778854266,50,0.25972799956798553,0.25910401344299316,0.2604079991579056,0.2574079930782318,0.2618879973888397
g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,1.0,0.9999887955305267,50,0.26104000210762024,0.26017600297927856,0.2616079971194267,0.2590399980545044,0.2643519937992096
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.0,0.0,50,0.26555199921131134,0.26499199867248535,0.26610399782657623,0.2637439966201782,0.2677119970321655
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.125,0.12496163100550035,50,0.2662239968776703,0.26554400473833084,0.26655998826026917,0.26364800333976746,0.26761600375175476
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.25,0.2499580026438942,50,0.2662560045719147,0.2658880054950714,0.2670160084962845,0.26451200246810913,0.2682879865169525
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.375,0.3749476520046006,50,0.26785600185394287,0.2672800049185753,0.26844799518585205,0.2658880054950714,0.2694079875946045
