gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,byte_quad_l2_x8,quad_high_lut,global,shift_mask,8,16,0,dot,4096,1,2,256,10,0,0,0,2141,10.441472053527832,0.0048769136167808652,2088,2088,8192,0.42813963175715203,0.42813963175715203,1.6797508924112017
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0,dot,4096,1,16,256,10,0,0,1,2161,10.414112091064453,0.0048191171175680026,2312,2312,8192,0.4797559269874655,0.4797559269874655,1.6998964333396702
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,byte_quad_shared_x8,quad_high_lut,shared,shift_mask,8,16,4096,dot,4096,1,2,256,10,0,0,2,2112,10.69696044921875,0.0050648486975467567,2088,2088,8192,0.41225318359684815,0.41225318359684815,1.6174224521194347
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_warp_x8,warp_high_lut,warp_register,shift_mask,8,4,0,dot,4096,1,2,256,10,0,0,3,2065,10.950495719909668,0.0053029034963242945,2088,2088,8192,0.39374655817276255,0.39374655817276255,1.5448140826394978
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,4,1987,11.482848167419434,0.0057789875024758094,2088,2088,8192,0.36130896616500169,0.36130896616500169,1.4175493538427653
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,byte_quad_l2_x4,quad_high_lut,global,shift_mask,4,16,0,dot,4096,1,4,256,10,0,0,5,2287,11.038623809814453,0.0048266829076582651,2120,2120,8192,0.43922504141224983,0.43922504141224983,1.6972318581363917
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,16,dot,4096,1,4,256,10,0,0,6,2243,10.564160346984863,0.0047098351970507636,2120,2120,8192,0.45012190688275378,0.45012190688275378,1.7393389911243013
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,byte_quad_shared_x4,quad_high_lut,shared,shift_mask,4,16,4096,dot,4096,1,4,256,10,0,0,7,2191,10.582943916320801,0.0048301889166229121,2120,2120,8192,0.43890622843013455,0.43890622843013455,1.695999916650784
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,generic_x4,generic,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,8,2056,10.90227222442627,0.0053026615877559673,2120,2120,8192,0.39979922627820619,0.39979922627820619,1.5448845573920118
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fixed_integer_x4,fixed_integer,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,9,2298,10.556768417358398,0.0045938940023317661,2120,2120,8192,0.46148213235306074,0.46148213235306074,1.783236617092582
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_shared_x1,full_high_lut,shared,shift_mask,1,4,16,dot,4096,1,16,256,10,0,0,10,2112,10.395551681518555,0.0049221362128402252,2312,2312,8192,0.46971475392508572,0.46971475392508572,1.6643180208279855
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,11,2265,10.400832176208496,0.0045919788857432652,2120,2120,8192,0.46167459667159449,0.46167459667159449,1.7839803282706144
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,12,2254,10.551263809204102,0.004681128575512024,2312,2312,8192,0.49389799120121636,0.49389799120121636,1.7500053390659016
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,16,dot,4096,1,2,256,10,0,0,13,2233,10.783072471618652,0.0048289621458211607,2088,2088,8192,0.43239104738207412,0.43239104738207412,1.6964307759358004
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,14,2333,10.712767601013184,0.0045918420921616729,2184,2184,8192,0.47562611173587893,0.47562611173587893,1.7840334740569235
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_warp_x2,warp_high_lut,warp_register,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,15,2161,10.443327903747559,0.004832636697708264,2184,2184,8192,0.45192720591549901,0.45192720591549901,1.6951408749357912
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_l2_x2,pair_high_lut,global,shift_mask,2,8,0,dot,4096,1,8,256,10,0,0,16,2254,10.617792129516602,0.0047106442455708084,2184,2184,8192,0.46363085092946893,0.46363085092946893,1.7390402613618174
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,0,0,17,1756,8.1185283660888672,0.0046233077255631366,65800,65800,8192,14.232234561454659,14.232234561454659,1.7718915733652973
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_global_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,18,2254,10.514335632324219,0.0046647451784934419,2184,2184,8192,0.46819277718946262,0.46819277718946262,1.756151662424944
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_shared_x2,pair_high_lut,shared,shift_mask,2,8,128,dot,4096,1,8,256,10,0,0,19,2243,10.828288078308105,0.0048275916532804749,2184,2184,8192,0.45239948961215781,0.45239948961215781,1.6969123712924894
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fp32_bits_x2,fp32_bits,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,20,2201,10.888735771179199,0.0049471766338842343,2184,2184,8192,0.44146392207655022,0.44146392207655022,1.6558939787779761
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_shared_x2,full_high_lut,shared,shift_mask,2,4,16,dot,4096,1,8,256,10,0,0,21,2344,11.17471981048584,0.0047673719328011266,2184,2184,8192,0.45811403657712196,0.45811403657712196,1.718347155512721
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fixed_integer_x8,fixed_integer,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,22,2212,10.679871559143066,0.0048281516994317661,2088,2088,8192,0.43246362790252435,0.43246362790252435,1.6967155362918964
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0,dot,4096,1,4,256,10,0,0,23,2310,10.619999885559082,0.0045974025478610746,2120,2120,8192,0.46112994847195243,0.46112994847195243,1.7818757254161481
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,24,2344,10.763360023498535,0.004591877143130774,2120,2120,8192,0.46168482603490762,0.46168482603490762,1.7840198560745111
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,25,2212,10.415007591247559,0.0047084121117755692,2088,2088,8192,0.44346160668009227,0.44346160668009227,1.7398646944077185
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,26,2333,10.722592353820801,0.0045960533021092162,2120,2120,8192,0.46126532062347747,0.46126532062347747,1.7823988238431732
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_warp_x1,warp_high_lut,warp_register,shift_mask,1,4,0,dot,4096,1,16,256,10,0,0,27,2084,10.259136199951172,0.004922810076752002,2312,2312,8192,0.46965045653872223,0.46965045653872223,1.6640901989468913
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,28,2122,9.9464635848999023,0.0046873061191799728,2312,2312,8192,0.49324706797781659,0.49324706797781659,1.7476989536653433
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,29,2298,10.549728393554688,0.0045908304584659212,2184,2184,8192,0.47573092052931287,0.47573092052931287,1.7844266030110489
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_shared_x8,pair_high_lut,shared,shift_mask,8,8,128,dot,4096,1,2,256,10,0,0,30,2243,10.831744194030762,0.0048291324984533045,2088,2088,8192,0.43237579434168633,0.43237579434168633,1.6963709325896046
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0,dot,4096,1,2,256,10,0,0,31,2243,10.829695701599121,0.004828219216049541,2088,2088,8192,0.43245758043861271,0.43245758043861271,1.696691809843446
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,generic_x8,generic,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,32,1883,11.320768356323242,0.006012091532832311,2088,2088,8192,0.34730010156986713,0.34730010156986713,1.3625873716764136
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_global_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,0,0,33,2201,10.762495994567871,0.0048898209879908545,2088,2088,8192,0.42700949689733414,0.42700949689733414,1.6753169533443302
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,generic_x2,generic,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,34,2047,10.335391998291016,0.0050490434774259968,2184,2184,8192,0.43255717835755364,0.43255717835755364,1.6224855334730217
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,35,2122,11.009951591491699,0.0051884786010799712,2120,2120,8192,0.40859761849238935,0.40859761849238935,1.5788828729668176
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,36,2254,10.587776184082031,0.0046973274995927381,2312,2312,8192,0.49219476398025302,0.49219476398025302,1.7439703747950834
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,37,2344,10.760928153991699,0.0045908396561398033,2184,2184,8192,0.4757299674100165,0.4757299674100165,1.7844230279408677
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,pair_shared_x4,pair_high_lut,shared,shift_mask,4,8,128,dot,4096,1,4,256,10,0,0,38,2233,10.77513599395752,0.0048254079686330135,2120,2120,8192,0.43934109069757538,0.43934109069757538,1.6976802900917629
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,39,2181,10.765055656433105,0.0049358347805745556,2312,2312,8192,0.46841114072519086,0.46841114072519086,1.6596989899743788
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,full_high_warp_x4,warp_high_lut,warp_register,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,40,2151,10.629183769226074,0.0049415080284640044,2120,2120,8192,0.42901883145558117,0.42901883145558117,1.6577935223038307
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m1,e0m1,2,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,41,2287,10.769503593444824,0.0047090090045670413,2088,2088,8192,0.44340539548235075,0.44340539548235075,1.7396441569882268
