gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,full_high_warp_x4,warp_high_lut,warp_register,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,0,2131,10.663135528564453,0.0050038177046290251,4168,4168,8192,0.83296399789788267,0.83296399789788267,1.6371499689969902
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0,dot,4096,1,4,256,10,0,0,1,2047,10.808480262756348,0.0052801564546928912,4168,4168,8192,0.78937054910476567,0.78937054910476567,1.5514691790466026
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,2,2171,10.18825626373291,0.0046928863490248319,4360,4360,8192,0.92906575521608248,0.92906575521608248,1.7456207951215934
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0,dot,4096,1,16,256,10,0,0,3,1750,8.0317440032958984,0.0045895680018833707,65800,65800,8192,14.336861328342531,14.336861328342531,1.7849174468355928
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,4,2171,9.996800422668457,0.0046046984904046327,4232,4232,8192,0.91906126075762173,0.91906126075762173,1.779052421579971
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,pair_shared_x8,pair_high_lut,shared,shift_mask,8,8,2048,dot,4096,1,2,256,10,0,0,5,2021,10.239520072937012,0.005066561144451762,4136,4136,8192,0.81633279103504131,0.81633279103504131,1.6168757795355555
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,6,2039,10.808511734008789,0.0053008885404653211,4136,4136,8192,0.78024655082389927,0.78024655082389927,1.545401292154106
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,64,dot,4096,1,2,256,10,0,0,7,2131,10.29475212097168,0.0048309489070725853,4136,4136,8192,0.85614650031691109,0.85614650031691109,1.6957331070106709
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,pair_l2_x2,pair_high_lut,global,shift_mask,2,8,0,dot,4096,1,8,256,10,0,0,8,2112,10.166080474853516,0.0048134850733207932,4232,4232,8192,0.87919666011976838,0.87919666011976838,1.7018854063566027
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m3,e0m3,4,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0,dot,4096,1,4,256,10,0,0,9,2161,10.435040473937988,0.0048288017001101285,4168,4168,8192,0.86315410299514728,0.86315410299514728,1.6964871429309611
