gpu,compute_capability,distribution,benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes,component,n,m,blocks,threads,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,main_array_unique_bytes,main_array_requested_bytes,useful_flops,main_array_unique_gb_per_s,main_array_requested_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,0,2075,11.000991821289062,0.0053016828054405123,16424,16424,8192,3.097884313853315,3.097884313853315,1.5451697697933728
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,1,2161,10.139328002929688,0.004691961130462604,16648,16648,8192,3.5481964869471523,3.5481964869471523,1.745965018084519
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x2,full_high_lut,global,shift_mask,2,4,0,dot,4096,1,8,256,10,0,0,2,2112,11.204128265380859,0.0053049849741386643,16520,16520,8192,3.1140521755544173,3.1140521755544173,1.5442079553354591
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fixed_integer_x1,fixed_integer,none,shift_mask,1,0,0,dot,4096,1,16,256,10,0,0,3,2181,10.229920387268066,0.0046904724379954457,16648,16648,8192,3.5493226364879376,3.5493226364879376,1.7465191637499509
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0,dot,4096,1,4,256,10,0,0,4,1861,10.748415946960449,0.0057756130827299563,16456,16456,8192,2.8492213318801038,2.8492213318801038,1.4183775614220839
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0,dot,4096,1,2,256,10,0,0,5,1817,11.56060791015625,0.0063624699560573747,16424,16424,8192,2.5813874349793307,2.5813874349793307,1.2875502841786821
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x2,fp32_bits,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,6,2122,10.319808006286621,0.0048632459973075503,16520,16520,8192,3.3969081574623212,3.3969081574623212,1.6844716480587976
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,generic_x8,generic,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,7,1883,10.873151779174805,0.0057743769406132794,16424,16424,8192,2.8442895517409115,2.8442895517409115,1.4186811987251307
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fixed_integer_x2,fixed_integer,none,shift_mask,2,0,0,dot,4096,1,8,256,10,0,0,8,2181,10.015775680541992,0.0045922859608170524,16520,16520,8192,3.5973369561378075,3.5973369561378075,1.7838610378136148
NVIDIA H200 NVL,sm_90,uniform_0_1,e0m15,e0m15,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0,dot,4096,1,2,256,10,0,0,9,1868,10.352992057800293,0.0055422869688438398,16424,16424,8192,2.963397617685279,2.963397617685279,1.4780901902141867
