N,stage,variant_id,n,q1_ms,median_ms,q3_ms,ratio_fp32_to_fp64
65536,initial,deferred_local_b128_s32,50,0.00787200034,0.007952000015,0.00806399994,1.0711206657055874
65536,initial,deferred_local_b128_s64,50,0.00787200034,0.00796800014,0.00806399994,1.0732758549044108
65536,initial,fp32_to_fp64,50,0.00732799992,0.00742400018,0.00758400001,1.0
65536,initial,raw_fp32,50,0.0072639999,0.00734400004,0.0075440001674999995,0.9892241193345445
65536,initial,raw_fp64,50,0.0072639999,0.0073760000499999995,0.00751999998,0.9935344654046061
65536,initial,reconstruct32_b128_s32,50,0.00742400018,0.00751999998,0.00761599978,1.0129310072295823
65536,initial,reconstruct32_b16_s32,50,0.00729600014,0.00744000007,0.0075440001674999995,1.0021551575447294
65536,initial,reconstruct32_b32_s32,50,0.00729600014,0.007472000085,0.00755200023,1.0064655042882824
65536,initial,reconstruct64_b128_s32,50,0.007304000085,0.00742400018,0.0075760000650000004,1.0
65536,initial,reconstruct64_b128_s64,50,0.007304000085,0.00745599996,0.0075440001674999995,1.004310315089459
65536,initial,reconstruct64_b16_s32,50,0.00736000016,0.007472000085,0.007607999837500001,1.0064655042882824
65536,initial,reconstruct64_b16_s64,50,0.00733599998,0.00744000007,0.007607999837500001,1.0021551575447294
65536,initial,reconstruct64_b32_s32,50,0.00739199994,0.00748800021,0.00758400001,1.008620693487106
65536,initial,reconstruct64_b32_s64,50,0.00742400018,0.0075040000949999994,0.007671999865,1.010775850358344
1048576,initial,deferred_local_b128_s32,50,0.010479999725,0.0108479997,0.011319999774999999,1.0319634466893237
1048576,initial,deferred_local_b128_s64,50,0.01011999995,0.010815999949999999,0.0114399998,1.028919330426747
1048576,initial,fp32_to_fp64,50,0.0098079997025,0.01051199995,0.01147200005,1.0
1048576,initial,raw_fp32,50,0.00968799973,0.010367999749999999,0.0112319998,0.9863013507719812
1048576,initial,raw_fp64,50,0.011752000075,0.0120320003,0.0126719996,1.1445966854290177
1048576,initial,reconstruct32_b128_s32,50,0.00972799957,0.01060799975,0.0112799997,1.009132401108887
1048576,initial,reconstruct32_b16_s32,50,0.010071999849999999,0.0109760002,0.012216000325,1.0441400544336952
1048576,initial,reconstruct32_b32_s32,50,0.0102399997,0.0107199997,0.0116959999,1.0197868865096409
1048576,initial,reconstruct64_b128_s32,50,0.009608000287500001,0.0104960003,0.011256000024999999,0.9984779632728215
1048576,initial,reconstruct64_b128_s64,50,0.0098240003,0.01086399985,0.0116800005,1.0334855309811908
1048576,initial,reconstruct64_b16_s32,50,0.0101439999,0.010720000149999999,0.011512000125,1.01978692931786
1048576,initial,reconstruct64_b16_s64,50,0.010351999625,0.0106880004,0.01167199995,1.0167428130552836
1048576,initial,reconstruct64_b32_s32,50,0.0098240003,0.01060799975,0.01176799975,1.009132401108887
1048576,initial,reconstruct64_b32_s64,50,0.01104800005,0.0116960001,0.012368000075,1.1126331959314744
16777216,initial,deferred_local_b128_s32,50,0.08407199945,0.08436800165,0.08465599825,1.1349548250779025
16777216,initial,deferred_local_b128_s64,50,0.0840639994,0.084416002,0.0846080035,1.1356005465335788
16777216,initial,fp32_to_fp64,50,0.07395999695,0.0743359998,0.074744002925,1.0
16777216,initial,raw_fp32,50,0.072840003275,0.07316799835,0.0735360011,0.9842875396424009
16777216,initial,raw_fp64,50,0.08412799985,0.08456000315000001,0.084975998875,1.1375377122458505
16777216,initial,reconstruct32_b128_s32,50,0.077640002575,0.07790399715,0.0783360004,1.0479982425688719
16777216,initial,reconstruct32_b16_s32,50,0.0781119987,0.07849600165000001,0.078712003325,1.0559621429884907
16777216,initial,reconstruct32_b32_s32,50,0.075975997375,0.0764160007,0.07681599815000001,1.0279810711579345
16777216,initial,reconstruct64_b128_s32,50,0.0785920024,0.07883199675,0.0791359991,1.0604820943028468
16777216,initial,reconstruct64_b128_s64,50,0.076488001275,0.0767840035,0.07727999985,1.0329316038875689
16777216,initial,reconstruct64_b16_s32,50,0.07829600017499999,0.0786240026,0.07906399855,1.057684067094501
16777216,initial,reconstruct64_b16_s64,50,0.078408000975,0.07867200299999999,0.079191999525,1.0583297892227985
16777216,initial,reconstruct64_b32_s32,50,0.07668000275,0.07700799775,0.07740000075,1.035944871356933
16777216,initial,reconstruct64_b32_s64,50,0.076303999825,0.07665600255,0.077071998275,1.0312096797815586
67108864,initial,deferred_local_b128_s32,50,0.2934480085,0.2938880025,0.294359997,1.1184995960278088
67108864,initial,deferred_local_b128_s64,50,0.30295200675,0.30350399,0.30420801025,1.155096796466974
