timestamp,gpu,mode,variant,variant_label,distribution,phase,kernel,N,blocks,threads,storage_bits,arithmetic_type,table_location,segments,coefficient_bytes,target_x,q,mean_unique_segments,actual_x,genuine_n01_expected_x,warmup,warmups_this_batch,sample,execution_order,kernel_ms,result
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp64,Raw FP64,raw,before,dot,67108864,512,256,64,fp64,none,0,0,0,nan,nan,nan,nan,10,5,23,0,0.3139519989490509,1007.3209851405704
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp64,Raw FP64,raw,before,dot,67108864,512,256,64,fp64,none,0,0,0,nan,nan,nan,nan,10,5,24,0,0.31292799115180969,1007.3209851405704
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,0,1,0.28915199637413025,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,1,1,0.29206401109695435,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,2,1,0.26368001103401184,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,3,1,0.26380801200866699,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,4,1,0.26188799738883972,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,5,1,0.26144000887870789,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,6,1,0.26057600975036621,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,7,1,0.26335999369621277,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,8,1,0.26230400800704956,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,9,1,0.26313599944114685,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,10,1,0.26070401072502136,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,11,1,0.26416000723838806,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,12,1,0.26265600323677063,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,13,1,0.26390400528907776,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,14,1,0.26204800605773926,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,15,1,0.26259198784828186,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,16,1,0.26172798871994019,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,17,1,0.26236799359321594,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,18,1,0.26582399010658264,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,19,1,0.26240000128746033,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,20,1,0.26182401180267334,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,21,1,0.26284798979759216,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,22,1,0.26217600703239441,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,23,1,0.26214399933815002,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,raw_fp32,Raw FP32,raw,before,dot,67108864,512,256,32,fp32,none,0,0,0,nan,nan,nan,nan,10,5,24,1,0.26182401180267334,1007.32080078125
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,fp32_to_fp64,FP32 to FP64,raw,before,dot,67108864,512,256,32,fp64,none,0,0,0,nan,nan,nan,nan,10,5,0,2,0.26304000616073608,1007.320920825067
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,fp32_to_fp64,FP32 to FP64,raw,before,dot,67108864,512,256,32,fp64,none,0,0,0,nan,nan,nan,nan,10,5,1,2,0.26355201005935669,1007.320920825067
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,fp32_to_fp64,FP32 to FP64,raw,before,dot,67108864,512,256,32,fp64,none,0,0,0,nan,nan,nan,nan,10,5,2,2,0.26454401016235352,1007.320920825067
2026-08-30T18:22:56Z,NVIDIA H200 NVL,full,fp32_to_fp64,FP32 to FP64,raw,before,dot,67108864,512,256,32,fp64,none,0,0,0,nan,nan,nan,nan,10,5,3,2,0.26412799954414368,1007.320920825067
