variant,label,target_x,actual_x,q,mean_unique_segments,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
dyadic_normal32,DyadicNormal32,0.0,0.0,0.0,1.0,50,0.2887199968099594,0.28810400515794754,0.2894720137119293,0.2868480086326599,0.29094401001930237
dyadic_normal32,DyadicNormal32,0.125,0.12497667656640832,0.08141350748316789,3.426326036453247,50,0.29051199555397034,0.2900560051202774,0.2913519963622093,0.28803199529647827,0.29311999678611755
dyadic_normal32,DyadicNormal32,0.25,0.2500066878182184,0.16982185517023218,5.853687524795532,50,0.29126399755477905,0.29072000831365585,0.2919519916176796,0.28806400299072266,0.29497599601745605
dyadic_normal32,DyadicNormal32,0.375,0.3750237061855811,0.26656633816317843,8.280796766281128,50,0.2921279966831207,0.29120800644159317,0.29307999461889267,0.28969600796699524,0.2948159873485565
dyadic_normal32,DyadicNormal32,0.5,0.5000451946946629,0.3734183729847462,10.707992792129517,50,0.2926879972219467,0.29203200340270996,0.2938159927725792,0.28995200991630554,0.29609599709510803
dyadic_normal32,DyadicNormal32,0.625,0.6250350851964828,0.4927864755661613,13.134575366973877,50,0.2935999929904938,0.2927679941058159,0.29420799762010574,0.29123198986053467,0.29651200771331787
dyadic_normal32,DyadicNormal32,0.75,0.7500725999004644,0.6280653763808441,15.562082529067993,50,0.2953439950942993,0.294560007750988,0.295864000916481,0.29177600145339966,0.2977280020713806
dyadic_normal32,DyadicNormal32,0.875,0.8750340239503475,0.784274136902658,17.988112449645996,50,0.29635199904441833,0.2956560030579567,0.29704799503088,0.2935360074043274,0.29894399642944336
dyadic_normal32,DyadicNormal32,1.0,1.0000398669634123,1.0,20.41500473022461,50,0.29721599817276,0.2961680069565773,0.29788000881671906,0.2948479950428009,0.2999359965324402
dyadic_normal32_genuine_n01,"Genuine N(0,1)",0.10018491535533834,0.10017969519548735,,2.9449117183685303,50,0.2906720042228699,0.2898320034146309,0.29096799343824387,0.2882240116596222,0.29232001304626465
