distribution,target_x,q,N,left_unique_segments,right_unique_segments,mean_unique_segments,actual_x
hot_uniform,0,0,67108864,1,1,1,0
hot_uniform,0.125,0.081413507483167891,67108864,3.4262509346008301,3.4264011383056641,3.4263260364532471,0.12497667656640832
hot_uniform,0.25,0.16982185517023218,67108864,5.853874683380127,5.8535003662109375,5.8536875247955322,0.25000668781821839
hot_uniform,0.375,0.26656633816317843,67108864,8.2805485725402832,8.2810449600219727,8.2807967662811279,0.37502370618558112
hot_uniform,0.5,0.37341837298474623,67108864,10.708243846893311,10.707741737365723,10.707992792129517,0.50004519469466291
hot_uniform,0.625,0.49278647556616129,67108864,13.133155822753906,13.135994911193848,13.134575366973877,0.62503508519648276
hot_uniform,0.75,0.62806537638084414,67108864,15.560591697692871,15.563573360443115,15.562082529067993,0.75007259990046438
hot_uniform,0.875,0.78427413690265801,67108864,17.987411975860596,17.988812923431396,17.988112449645996,0.87503402395034746
hot_uniform,1,1,67108864,20.413463592529297,20.416545867919922,20.415004730224609,1.0000398669634123
genuine_n01,0.10018491535533834,nan,67108864,2.9447026252746582,2.9451208114624023,2.9449117183685303,0.10017969519548735
