gpu,compute_capability,distribution,format,storage_bits,component,n,m,leading_dimension,threads,decode_repeats,lanes,scalar_time_ms,packed_time_ms,speedup_vs_x1,time_change_percent_vs_x1,packed_cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e11m20,32,stream_load,4096,1,4096,256,0,4,0.0022145001106869747,0.0022035002934516074,1.0049919744817175,-0.4967178453630816,0.11001332294620232
NVIDIA H200 NVL,sm_90,normal_0_1,e11m20,32,stream_load,65536,1,65536,256,0,1,0.002473877309002315,0.002473877309002315,1.0,0.0,0.01238945617239132
NVIDIA H200 NVL,sm_90,normal_0_1,e11m20,32,stream_load,65536,1,65536,256,0,2,0.002473877309002315,0.002469619318103114,1.0017241486847743,-0.17211811126227605,0.040903953958579
NVIDIA H200 NVL,sm_90,normal_0_1,e11m20,32,stream_load,65536,1,65536,256,0,4,0.002473877309002315,0.0022885121201262626,1.08099812417241,-7.492901454793966,0.006303855435436983
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,1048576,1,1048576,256,0,1,0.008798788615635463,0.008798788615635463,1.0,0.0,0.13909366449565283
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,1048576,1,1048576,256,0,2,0.008798788615635463,0.008378272622318592,1.050191252096127,-4.779248731690333,0.1341759101831953
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,1048576,1,1048576,256,0,4,0.008798788615635463,0.006444714864095052,1.3652719788513037,-26.754521041194433,0.41159394967737567
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,134217728,1,134217728,256,0,1,0.24863200187683104,0.24863200187683104,1.0,0.0,0.04734172902222563
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,134217728,1,134217728,256,0,2,0.24863200187683104,0.16098649014708816,1.5444277445247985,-35.25109843790797,0.040354003914985906
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,134217728,1,134217728,256,0,4,0.24863200187683104,0.1353224754333496,1.8373296902870344,-45.573186712953174,0.05002889761487717
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,16777216,1,16777216,256,0,1,0.039757109780347986,0.039757109780347986,1.0,0.0,0.06101164797543894
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,16777216,1,16777216,256,0,2,0.039757109780347986,0.028740475460944048,1.3833142682129473,-27.70984706954096,0.043832040329711594
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,16777216,1,16777216,256,0,4,0.039757109780347986,0.024872445278480405,1.598439933637959,-37.43900043062259,0.06012570934665502
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,4096,1,4096,256,0,1,0.004439594777854714,0.004439594777854714,1.0,0.0,0.08481109993243717
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,4096,1,4096,256,0,2,0.004439594777854714,0.004384164912319524,1.0126431981104158,-1.2485343439829433,0.011611841987472107
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,4096,1,4096,256,0,4,0.004439594777854714,0.004384301316044938,1.012611692907014,-1.2454619075954132,0.012229196443678243
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,65536,1,65536,256,0,1,0.004611506542486751,0.004611506542486751,1.0,0.0,0.024441465338310618
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,65536,1,65536,256,0,2,0.004611506542486751,0.004582693686160314,1.0062873188346522,-0.6248035443727207,0.03953653447433958
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,dot,65536,1,65536,256,0,4,0.004611506542486751,0.00449630913614225,1.025620437309019,-2.498042782400156,0.031534805605528037
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,1024,1024,1024,256,0,1,0.004385146671594614,0.004385146671594614,1.0,0.0,0.059785639285439986
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,1024,1024,1024,256,0,2,0.004385146671594614,0.003752113008109746,1.1687139118988796,-14.435860665400991,0.07193786645505328
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,1024,1024,1024,256,0,4,0.004385146671594614,0.0036129502146443086,1.2137301681657207,-17.609364401704354,0.006183740445454439
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,16384,1024,16384,256,0,1,0.02746457405460691,0.02746457405460691,1.0,0.0,0.09323304045298095
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,16384,1024,16384,256,0,2,0.02746457405460691,0.01703712366804292,1.6120428887960174,-37.9669109953478,0.13461127708987788
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,16384,1024,16384,256,0,4,0.02746457405460691,0.012593784572775218,2.1808038636756435,-54.14534903131791,0.13601722068534258
