timestamp,gpu,mode,distribution,clip_low,clip_high,kernel,format,label,group,storage_bits,arithmetic_type,storage_layout,access_method,packet_values,decoder,strategy_id,N,physical_input_bytes,blocks,threads,warmups,sample,execution_order,kernel_ms,scaled_result,valid
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,21,9,0.0121919997,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,22,8,0.011616,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,23,7,0.0122560002,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,24,6,0.011744,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,25,5,0.0118079996,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,26,4,0.0116800005,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,27,3,0.0118079996,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,28,2,0.0118399998,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,29,1,0.0131519996,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,30,0,0.0116800005,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,31,14,0.0114559997,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,32,13,0.011744,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,33,12,0.0116480002,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,34,11,0.0120000001,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,35,10,0.011744,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,36,9,0.0118399998,-665.5865478515625,1
