benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
e1m14,e1m14,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e1m14,e1m14,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e1m14,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e1m30,e1m30,32,e1_integer_x1,e1_integer,none,shift_mask,1,0,0
e1m30,e1m30,32,e1_integer_x2,e1_integer,none,shift_mask,2,0,0
e1m30,e1m30,32,e1_integer_x4,e1_integer,none,shift_mask,4,0,0
e1m30,e1m30,32,e1_integer_x8,e1_integer,none,shift_mask,8,0,0
e1m30,e1m30,32,generic_x1,generic,none,shift_mask,1,0,0
e1m30,e1m30,32,generic_x2,generic,none,shift_mask,2,0,0
e1m30,e1m30,32,generic_x4,generic,none,shift_mask,4,0,0
e1m30,e1m30,32,generic_x8,generic,none,shift_mask,8,0,0
e1m30,e1m30,32,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
e1m30,e1m30,32,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
e1m30,e1m30,32,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,16
e1m30,e1m30,32,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,16
e1m30,e1m30,32,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e1m30,e1m30,32,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0
e1m30,e1m30,32,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e1m30,e1m30,32,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
