format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
bf16_e8m7,gemv,normal_0_1,native_direct_x1,1,5,1.174883384392464,8.6,0,0.44270212694993666
bf16_e8m7,gemv,normal_0_1,generic_x1,1,5,1.1723407061303524,7.4,0,0.47342825245474063
bf16_e8m7,gemv,normal_0_1,subnormal_global_x8,8,5,0.9261752112598329,11.2,0,0.15405590611975276
bf16_e8m7,gemv,normal_0_1,word_branchy_x8,8,5,0.9108432921693734,12.2,0,0.1411907632187862
bf16_e8m7,gemv,normal_0_1,word_branchy_x4,4,5,0.8948100683134972,12.8,0,0.13206246187621676
bf16_e8m7,gemv,normal_0_1,subnormal_shared_x8,8,5,0.8738322643140992,14.2,0,0.1675869558485564
bf16_e8m7,gemv,normal_0_1,full_high_l2_x4,4,5,0.8409786026396332,14.2,0,0.2401166494628747
bf16_e8m7,gemv,normal_0_1,full_high_l2_x8,8,5,0.8015232203185286,15.0,0,0.15011506717042208
bf16_e8m7,gemv,normal_0_1,word_branchy_x1,1,5,0.7838498047292904,13.6,0,0.08286466244457602
bf16_e8m7,gemv,normal_0_1,full_high_l2_x1,1,5,0.7190090962116467,16.4,0,0.18299963341868203
bf16_e8m7,gemv,normal_0_1,word_masked_x4,4,5,0.5542540176844227,17.2,0,0.2545067048716603
bf16_e8m7,gemv,normal_0_1,word_masked_x8,8,5,0.539459915715038,17.8,0,0.14311487661765562
bf16_e8m7,gemv,normal_0_1,word_masked_x1,1,5,0.5015282672715835,18.4,0,0.21509643618700586
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x4,4,5,1.6684752151644273,2.0,2,0.2998548338058226
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x4,4,5,1.6280448154822083,3.0,0,0.30708020064103203
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x8,8,5,1.5789215034799835,4.4,0,0.18967295188469144
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x8,8,5,1.5741202979677704,4.2,2,0.11685767133001411
bf16_e8m7,gemv,uniform_0_1,native_bfloat162_x2,2,5,1.4697719298213485,3.8,1,0.40504634824676483
