distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
uniform_0_1,e11m20,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.0033755732167085124,1.035808275297217,0.13657467595944978
uniform_0_1,e11m20,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.0036667439348182593,1.2027447814625076,0.11050788026627037
uniform_0_1,e11m20,gemv,4096,1024,generic_x4,generic,none,shift_mask,4,0.005502194745995191,1.43559496375432,0.4552231189843849
uniform_0_1,e11m20,gemv,16384,1024,generic_x4,generic,none,shift_mask,4,0.020613823114991374,2.12191405818583,0.33801767808241456
uniform_0_1,e11m20,gemv,65536,1024,generic_x4,generic,none,shift_mask,4,0.06892755197924237,2.1811863652948085,0.21851585054782338
normal_0_1,e11m4,dot,4096,1,prefix_word_x2,prefix_word,none,shift_mask,2,0.004591058134404134,1.0095623571958676,0.008292600104536196
normal_0_1,e11m4,dot,65536,1,generic_x4,generic,none,shift_mask,4,0.004735805139632927,1.0366698060229178,0.2693534045485919
normal_0_1,e11m4,dot,1048576,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.006074750435887958,1.5746953485275343,0.052895261164865946
normal_0_1,e11m4,dot,16777216,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.025047986647661995,2.934738002356998,0.09304281574120238
normal_0_1,e11m4,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.13352714266095841,3.773546877585319,0.07421763860025
uniform_0_1,e11m4,dot,4096,1,prefix_word_x2,prefix_word,none,shift_mask,2,0.004590848867670311,1.007092246172117,0.01511531253943431
uniform_0_1,e11m4,dot,65536,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.004744844195958155,1.0351851299327701,0.19434562702906405
uniform_0_1,e11m4,dot,1048576,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.006072499246899889,1.5746903917432085,0.06076887719674743
uniform_0_1,e11m4,dot,16777216,1,prefix_word_x8,prefix_word,none,shift_mask,8,0.025049407677834156,2.9345205012127478,0.04306209236051315
uniform_0_1,e11m4,dot,134217728,1,prefix_word_x4,prefix_word,none,shift_mask,4,0.13346342529569352,3.77544441235311,0.06011470165311464
normal_0_1,e11m4,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.003375490056218912,1.035953633892479,0.12150726842862158
normal_0_1,e11m4,gemv,1024,1024,generic_x4,generic,none,shift_mask,4,0.003628199066864444,1.2128266574936535,0.05262460432742332
normal_0_1,e11m4,gemv,4096,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.0051159235778269465,1.5411785843822434,0.06931596262886225
normal_0_1,e11m4,gemv,16384,1024,prefix_word_x8,prefix_word,none,shift_mask,8,0.010880676233712496,4.011324027947019,0.11432573665923747
normal_0_1,e11m4,gemv,65536,1024,prefix_word_x4,prefix_word,none,shift_mask,4,0.044611639605310865,3.3704262747386173,0.14997623270340094
uniform_0_1,e11m4,gemv,256,1024,prefix_word_x2,prefix_word,none,shift_mask,2,0.0033761574559876295,1.0354633171046779,0.18673941098368443
