distribution,component,n,m,format,strategy,storage_bits,lanes,median_time_ms,speedup_vs_fp64_x1,speedup_vs_fp64_x4,speedup_vs_same_format_current_width,cv_percent
normal_0_1,dot,1048576,1,e2m5,branchless_x4,8,4,0.008120159902972376,1.1314561941364463,0.9539518650562647,1.2976816522839143,0.03747687135163354
normal_0_1,dot,1048576,1,e2m5,current_x1,8,1,0.012494625830060356,0.7353245582986871,0.6199658788788377,1.0,0.1260143346175728
normal_0_1,dot,1048576,1,e2m5,current_x4,8,4,0.010537382519698782,0.8719058269376684,0.7351200992765162,1.0,0.02587186748334404
normal_0_1,dot,1048576,1,e2m5,lut_x1,8,1,0.009205976323266724,0.9980044372236984,0.8414361944879363,1.3572298462773649,0.030775250663809626
normal_0_1,dot,1048576,1,e2m5,lut_x4,8,4,0.007271757308482456,1.2634642260240476,1.0652503040715697,1.4490833608276497,0.15565294592388634
normal_0_1,dot,1048576,1,e3m4,branchless_x4,8,4,0.008120233446707521,1.1314459467075741,0.9539432252574503,1.2978288126083313,0.04381779627090946
normal_0_1,dot,1048576,1,e3m4,current_x1,8,1,0.01248429451153908,0.7359330726381461,0.6204789286920329,1.0,0.1482207041976191
normal_0_1,dot,1048576,1,e3m4,current_x4,8,4,0.010538672932242879,0.871799066036786,0.7350300871655395,1.0,0.013173508910374894
normal_0_1,dot,1048576,1,e3m4,lut_x1,8,1,0.009179262781641807,1.000908835290278,0.8438849467832861,1.3600541577813,0.069078590214198
normal_0_1,dot,1048576,1,e3m4,lut_x4,8,4,0.00717470434316232,1.2805552368652688,1.0796600547558401,1.4688651166910465,0.07303719955027263
normal_0_1,dot,1048576,1,fp64_e11m52,current_x1,64,1,0.009187605219596499,1.0,0.8431186907632275,1.0,0.040235628998109486
normal_0_1,dot,1048576,1,fp64_e11m52,current_x4,64,4,0.0077462416839955955,1.1860726264943275,1.0,1.0,0.047796994648173725
normal_0_1,dot,134217728,1,e2m5,branchless_x4,8,4,0.30664517329289365,1.6408541326258423,1.65145403262656,1.9289249120221623,0.14533549569951984
normal_0_1,dot,134217728,1,e2m5,current_x1,8,1,0.711352249671673,0.7073288937789222,0.7118982308044361,1.0,0.09776211282996683
normal_0_1,dot,134217728,1,e2m5,current_x4,8,4,0.5914955139160156,0.8506573389140768,0.8561525761494161,1.0,0.0362318524243424
normal_0_1,dot,134217728,1,e2m5,lut_x1,8,1,0.266933892902575,1.8849610829714096,1.8971379112387508,2.664900443838733,0.04116125004389501
normal_0_1,dot,134217728,1,e2m5,lut_x4,8,4,0.1389886157613405,3.6201526081200486,3.6435387549264084,4.255711956522265,0.1425597272182529
normal_0_1,dot,134217728,1,e3m4,branchless_x4,8,4,0.3068543058453184,1.6397358298796336,1.6503285056566714,1.9314626191988566,0.10440780816948424
normal_0_1,dot,134217728,1,e3m4,current_x1,8,1,0.7163885661533901,0.7023562681201106,0.7068934820374968,1.0,0.10500097872586724
normal_0_1,dot,134217728,1,e3m4,current_x4,8,4,0.5926776212804458,0.8489606858453066,0.8544449627201195,1.0,0.09190408876609203
normal_0_1,dot,134217728,1,e3m4,lut_x1,8,1,0.2682726287841797,1.8755547374614758,1.887670800838267,2.6703751679777636,0.04865279446588514
normal_0_1,dot,134217728,1,e3m4,lut_x4,8,4,0.1398399935828315,3.598112292170373,3.6213560587733955,4.238255495409364,0.04308659401165535
normal_0_1,dot,134217728,1,fp64_e11m52,current_x1,64,1,0.5031599998474121,1.0,1.0064599892153454,1.0,0.03933155935577749
normal_0_1,dot,134217728,1,fp64_e11m52,current_x4,64,4,0.5064104080200196,0.9935814743908681,1.0,1.0,0.16320767225217217
normal_0_1,dot,16777216,1,e2m5,branchless_x4,8,4,0.044663720475488056,1.6068319792228145,1.5719685635372511,1.7877356018547124,0.13804220838788825
normal_0_1,dot,16777216,1,e2m5,current_x1,8,1,0.09031968069548654,0.7945897706729754,0.7773495652049045,1.0,0.16145275990067118
normal_0_1,dot,16777216,1,e2m5,current_x4,8,4,0.07984692320531728,0.8988085137174553,0.8793070753339529,1.0,0.10585293615505366
normal_0_1,dot,16777216,1,e2m5,lut_x1,8,1,0.03220453021907005,2.228478225979084,2.1801269585515377,2.8045644535439727,0.14173756499937848
normal_0_1,dot,16777216,1,e2m5,lut_x4,8,4,0.024017089324471837,2.988167858373956,2.923333613392649,3.324587843538497,0.1423672337628174
normal_0_1,dot,16777216,1,e3m4,branchless_x4,8,4,0.04458364588478602,1.6097179346109338,1.5747919023832262,1.78912712727506,0.13970789715353563
normal_0_1,dot,16777216,1,e3m4,current_x1,8,1,0.09022047996520996,0.7954634513001618,0.7782042895931836,1.0,0.10670033608231697
normal_0_1,dot,16777216,1,e3m4,current_x4,8,4,0.07976581028529577,0.8997225015880362,0.8802012324198123,1.0,0.10058054188983849
normal_0_1,dot,16777216,1,e3m4,lut_x1,8,1,0.03205237697012982,2.2390568549085783,2.190476063086123,2.8147828178012517,0.14748583529567935
normal_0_1,dot,16777216,1,e3m4,lut_x4,8,4,0.023909222894381982,3.00164897404283,2.9365222294439235,3.3361941806999744,0.18816538736549432
normal_0_1,dot,16777216,1,fp64_e11m52,current_x1,64,1,0.07176709437108302,1.0,0.9783030110575557,1.0,0.08019827557259972
normal_0_1,dot,16777216,1,fp64_e11m52,current_x4,64,4,0.07020996451808227,1.0221781888609232,1.0,1.0,0.06236226133675045
normal_0_1,dot,65536,1,e2m5,branchless_x4,8,4,0.004744637412675642,0.9803544050347696,0.9842757914718613,1.1598163161153112,0.009501657318379887
normal_0_1,dot,65536,1,e2m5,current_x1,8,1,0.005011342983026308,0.9281795725345425,0.9318922613012068,1.0,0.07700158506085258
normal_0_1,dot,65536,1,e2m5,current_x4,8,4,0.0055029078852723455,0.8452669542694213,0.8486479952003042,1.0,0.11772273187621017
normal_0_1,dot,65536,1,e2m5,lut_x1,8,1,0.004998469402845205,0.9305701031523119,0.9342923539654095,1.0025755044481768,0.11726714425735237
normal_0_1,dot,65536,1,e2m5,lut_x4,8,4,0.004838825358436835,0.9612717639621456,0.9651168204419263,1.1372404411491388,0.010318915767844869
normal_0_1,dot,65536,1,e3m4,branchless_x4,8,4,0.004741603088903804,0.9809817693713132,0.9849056652457959,1.178890038559555,0.05810249536887164
normal_0_1,dot,65536,1,e3m4,current_x1,8,1,0.0050759826444882776,0.9163597501382433,0.9200251599912866,1.0,0.025103838336393472
normal_0_1,dot,65536,1,e3m4,current_x4,8,4,0.005589828648311911,0.832123215299996,0.8354516816930764,1.0,0.050116601724042864
normal_0_1,dot,65536,1,e3m4,lut_x1,8,1,0.0050036547289290705,0.9296057461592439,0.9333241395750435,1.0144550172778783,0.1156002064247991
normal_0_1,dot,65536,1,e3m4,lut_x4,8,4,0.004810413783074355,0.9669492890976611,0.9708170554973934,1.1620265740922247,0.09449921079202175
normal_0_1,dot,65536,1,fp64_e11m52,current_x1,64,1,0.004651426187809338,1.0,1.0039999681920668,1.0,0.03830771860003888
normal_0_1,dot,65536,1,fp64_e11m52,current_x4,64,4,0.004670031744608322,0.9960159678099695,1.0,1.0,0.012373486551973258
normal_0_1,gemv,1024,1024,e2m5,branchless_x4,8,4,0.005404282253409813,0.7882648754806663,0.8257562024328892,1.4237623280222684,0.2375764774230638
normal_0_1,gemv,1024,1024,e2m5,current_x1,8,1,0.008407377570268729,0.5066985325615984,0.5307980464957878,1.0,0.2134512356319295
normal_0_1,gemv,1024,1024,e2m5,current_x4,8,4,0.007694413482404187,0.5536492011104379,0.5799817751744685,1.0,0.03545758812422135
normal_0_1,gemv,1024,1024,e2m5,lut_x1,8,1,0.004666863418206936,0.9128199168903908,0.9562353106459102,1.8015049545844524,0.3446408279234633
normal_0_1,gemv,1024,1024,e2m5,lut_x4,8,4,0.004482132796866302,0.9504416916261067,0.9956464461675922,1.7166857456306877,0.2084915163442161
normal_0_1,gemv,1024,1024,e3m4,branchless_x4,8,4,0.00538329099997496,0.7913385840680498,0.8289761022526743,1.4295107149827002,0.18110130112097253
normal_0_1,gemv,1024,1024,e3m4,current_x1,8,1,0.008402587203432862,0.5069874045229834,0.5311006577388389,1.0,0.23784617427083998
normal_0_1,gemv,1024,1024,e3m4,current_x4,8,4,0.00769547216633414,0.5535730343074948,0.5799019857383206,1.0,0.04036257542206844
normal_0_1,gemv,1024,1024,e3m4,lut_x1,8,1,0.004682521217079607,0.9097675547113355,0.9530377725088854,1.7944579028887742,0.180836390397899
normal_0_1,gemv,1024,1024,e3m4,lut_x4,8,4,0.004427585716597974,0.9621509667394363,1.0079126359365187,1.7380741241181692,0.36054753037833037
normal_0_1,gemv,1024,1024,fp64_e11m52,current_x1,64,1,0.004260005877546461,1.0,1.047561838816377,1.0,0.574543958149636
normal_0_1,gemv,1024,1024,fp64_e11m52,current_x4,64,4,0.004462619590451144,0.954597583594572,1.0,1.0,0.4824846892298516
normal_0_1,gemv,16384,1024,e2m5,branchless_x4,8,4,0.04176957750003248,1.04388406249651,0.8745838264886929,1.8721605654960538,0.1711704023049814
normal_0_1,gemv,16384,1024,e2m5,current_x1,8,1,0.0893087142553085,0.4882233118354965,0.40904179648542,1.0,0.15240464169361798
normal_0_1,gemv,16384,1024,e2m5,current_x4,8,4,0.07819935583299206,0.5575825502017874,0.46715214635287455,1.0,0.13635663855978358
normal_0_1,gemv,16384,1024,e2m5,lut_x1,8,1,0.02536304119390522,1.7191391172748836,1.440323999062576,3.5212147302260237,0.20751082936191936
normal_0_1,gemv,16384,1024,e2m5,lut_x4,8,4,0.01974315306471936,2.208492032988071,1.850312196893951,3.9608341978937913,0.1310095956183269
normal_0_1,gemv,16384,1024,e3m4,branchless_x4,8,4,0.041676984393675946,1.0462032434408324,0.8765268757385821,1.8833409354704558,0.15630628899938914
normal_0_1,gemv,16384,1024,e3m4,current_x1,8,1,0.08994534294012234,0.4847676914025831,0.4061466188984741,1.0,0.1498624026960101
normal_0_1,gemv,16384,1024,e3m4,current_x4,8,4,0.07849197077557324,0.5555039046498994,0.4654106217468411,1.0,0.10700366498999547
normal_0_1,gemv,16384,1024,e3m4,lut_x1,8,1,0.02536574977354087,1.7189555459140733,1.4401701998535077,3.5459366958647816,0.20301074623240264
normal_0_1,gemv,16384,1024,e3m4,lut_x4,8,4,0.019735929747335776,2.2093003373901245,1.8509894080731553,3.977110365736337,0.1642820494738459
normal_0_1,gemv,16384,1024,fp64_e11m52,current_x1,64,1,0.04360259624949673,1.0,0.8378170123577463,1.0,0.25265162886437836
