graph_id,variant,target_x,q,component,component_bits,table_location,entry_bytes,N,left_unique_indices,right_unique_indices,mean_unique_indices,actual_x,left_unique_sectors,right_unique_sectors,mean_unique_sectors,left_shared_wavefronts,right_shared_wavefronts,mean_shared_wavefronts
g5_u32_split_fp64,u32_4x8_shared_fp64,0,0,0,8,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_4x8_shared_fp64,0,0,1,8,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_4x8_shared_fp64,0,0,2,8,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_4x8_shared_fp64,0,0,3,8,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_4x8_shared_fp64,0.5,0.47017905099299639,0,8,shared,8,1048576,15.5562744140625,15.590484619140625,15.573379516601562,0.50018315343101627,nan,nan,nan,2.917205810546875,2.92083740234375,2.9190216064453125
g5_u32_split_fp64,u32_4x8_shared_fp64,0.5,0.47017905099299639,1,8,shared,8,1048576,15.543609619140625,15.562164306640625,15.552886962890625,0.49947981415920811,nan,nan,nan,2.921142578125,2.914642333984375,2.9178924560546875
g5_u32_split_fp64,u32_4x8_shared_fp64,0.5,0.47017905099299639,2,8,shared,8,1048576,15.564971923828125,15.580963134765625,15.572967529296875,0.50016901332651975,nan,nan,nan,2.917022705078125,2.924224853515625,2.920623779296875
g5_u32_split_fp64,u32_4x8_shared_fp64,0.5,0.47017905099299639,3,8,shared,8,1048576,15.598052978515625,15.563446044921875,15.58074951171875,0.50043610418923179,nan,nan,nan,2.92144775390625,2.919158935546875,2.9203033447265625
g5_u32_split_fp64,u32_4x8_shared_fp64,1,1,0,8,shared,8,1048576,30.13311767578125,30.15032958984375,30.1417236328125,1.0001934833626307,nan,nan,nan,4.395660400390625,4.39105224609375,4.3933563232421875
g5_u32_split_fp64,u32_4x8_shared_fp64,1,1,1,8,shared,8,1048576,30.13409423828125,30.133392333984375,30.133743286132812,0.99991958430145744,nan,nan,nan,4.402374267578125,4.3984375,4.4004058837890625
g5_u32_split_fp64,u32_4x8_shared_fp64,1,1,2,8,shared,8,1048576,30.127593994140625,30.12921142578125,30.128402709960938,0.99973628665057668,nan,nan,nan,4.3997802734375,4.394073486328125,4.3969268798828125
g5_u32_split_fp64,u32_4x8_shared_fp64,1,1,3,8,shared,8,1048576,30.138427734375,30.134033203125,30.13623046875,1.0000049486360105,nan,nan,nan,4.397552490234375,4.399993896484375,4.398773193359375
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,0,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,1,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,2,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,3,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,4,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,5,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,6,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0,0,7,4,shared,8,1048576,1,1,1,0,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,0,4,shared,8,1048576,7.48883056640625,7.49505615234375,7.491943359375,0.50048211143853671,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,1,4,shared,8,1048576,7.4617919921875,7.493255615234375,7.4775238037109375,0.49937046747227604,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,2,4,shared,8,1048576,7.487030029296875,7.49627685546875,7.4916534423828125,0.50045976092492939,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,3,4,shared,8,1048576,7.49957275390625,7.4683837890625,7.483978271484375,0.49986806048574511,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,4,4,shared,8,1048576,7.48187255859375,7.516082763671875,7.4989776611328125,0.50102440547922056,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,5,4,shared,8,1048576,7.503021240234375,7.493072509765625,7.498046875,0.50095264856711275,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,6,4,shared,8,1048576,7.478515625,7.50579833984375,7.492156982421875,0.50049858023803695,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,0.5,0.28066020743041431,7,4,shared,8,1048576,7.506591796875,7.481201171875,7.493896484375,0.50063268331968103,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,0,4,shared,8,1048576,13.966827392578125,13.977996826171875,13.972412109375,1.0000796130753506,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,1,4,shared,8,1048576,13.971527099609375,13.97308349609375,13.972305297851562,1.0000713786756006,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,2,4,shared,8,1048576,13.97064208984375,13.9686279296875,13.969635009765625,0.99986551868184859,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,3,4,shared,8,1048576,13.96844482421875,13.9698486328125,13.969146728515625,0.99982787571156251,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,4,4,shared,8,1048576,13.96160888671875,13.97613525390625,13.9688720703125,0.99980670154077667,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,5,4,shared,8,1048576,13.97723388671875,13.97222900390625,13.9747314453125,1.0002584171842095,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,6,4,shared,8,1048576,13.965911865234375,13.9715576171875,13.968734741210938,0.99979611445538363,nan,nan,nan,1,1,1
g5_u32_split_fp64,u32_8x4_shared_fp64,1,1,7,4,shared,8,1048576,13.96917724609375,13.96563720703125,13.9674072265625,0.99969377262991843,nan,nan,nan,1,1,1
