timestamp,gpu,mode,graph_id,variant,variant_label,kernel,N,blocks,threads,storage_bits,arithmetic_type,table_location,component_bits,components,lut_entries_per_component,total_lut_entries,total_lut_bytes,dynamic_shared_bytes,target_x,q,mean_unique_indices,actual_x,mean_unique_sectors,mean_shared_wavefronts,warmup,sample,execution_order,kernel_ms,result
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g2_u8_shared_fp32,u8_shared_fp32,8-bit shared LUT to FP32,dot,1048576,512,256,8,fp32,shared,8,1,256,256,1024,2048,1,1,30.1417236328125,1.0001934833626307,nan,3.1472625732421875,1,2,0,0.0093759996816515923,38978.3125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0,0,1,0,nan,1,1,0,0,0.0092160003259778023,51808.594198782521
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0,0,1,0,nan,1,1,1,0,0.0091199995949864388,51808.594198782521
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0,0,1,0,nan,1,1,2,0,0.0091199995949864388,51808.594198782521
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0.5,0.47017905099299639,15.573379516601562,0.50018315343101627,nan,2.9190216064453125,1,0,0,0.0090560000389814377,44714.029287352256
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0.5,0.47017905099299639,15.573379516601562,0.50018315343101627,nan,2.9190216064453125,1,1,0,0.0092160003259778023,44714.029287352256
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,0.5,0.47017905099299639,15.573379516601562,0.50018315343101627,nan,2.9190216064453125,1,2,0,0.0092160003259778023,44714.029287352256
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,1,1,30.1417236328125,1.0001934833626307,nan,4.3933563232421875,1,0,0,0.0095680002123117447,37343.789502422209
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,1,1,30.1417236328125,1.0001934833626307,nan,4.3933563232421875,1,1,0,0.0095359999686479568,37343.789502422209
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g3_u8_shared_fp64,u8_shared_fp64,8-bit shared LUT to FP64,dot,1048576,512,256,8,fp64,shared,8,1,256,256,2048,4096,1,1,30.1417236328125,1.0001934833626307,nan,4.3933563232421875,1,2,0,0.0095359999686479568,37343.789502422209
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0,0,1,0,nan,1,1,0,0,0.0098879998549818993,120194.7578125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0,0,1,0,nan,1,1,1,0,0.0097920000553131104,120194.7578125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0,0,1,0,nan,1,1,2,0,0.0097599998116493225,120194.7578125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0.5,0.47017905099299639,15.563133239746094,0.49983148379511216,nan,2.2430191040039062,1,0,0,0.0097279995679855347,136330.921875
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0.5,0.47017905099299639,15.563133239746094,0.49983148379511216,nan,2.2430191040039062,1,1,0,0.010239999741315842,136330.921875
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,0.5,0.47017905099299639,15.563133239746094,0.49983148379511216,nan,2.2430191040039062,1,2,0,0.010208000428974628,136330.921875
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,1,1,30.137733459472656,1.0000565338320442,nan,3.1505584716796875,1,0,0,0.010591999627649784,155754.125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,1,1,30.137733459472656,1.0000565338320442,nan,3.1505584716796875,1,1,0,0.010400000028312206,155754.125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_2x8_shared_fp32,16-bit as 2 x 8-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,8,2,256,512,2048,3072,1,1,30.137733459472656,1.0000565338320442,nan,3.1505584716796875,1,2,0,0.010432000271975994,155754.125
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0,0,1,0,nan,1,1,0,0,0.010176000185310841,765608.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0,0,1,0,nan,1,1,1,0,0.010111999697983265,765608.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0,0,1,0,nan,1,1,2,0,0.010367999784648418,765608.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0.5,0.28066020743041431,7.4862747192382812,0.50004510008037184,nan,1,1,0,0,0.01027199998497963,730639.9375
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0.5,0.28066020743041431,7.4862747192382812,0.50004510008037184,nan,1,1,1,0,0.010367999784648418,730639.9375
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,0.5,0.28066020743041431,7.4862747192382812,0.50004510008037184,nan,1,1,2,0,0.010239999741315842,730639.9375
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,1,1,13.970874786376953,0.99996109653609055,nan,1,1,0,0,0.010015999898314476,644729.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,1,1,13.970874786376953,0.99996109653609055,nan,1,1,1,0,0.010432000271975994,644729.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g4_u16_split_fp32,u16_4x4_shared_fp32,16-bit as 4 x 4-bit shared LUTs,dot,1048576,512,256,16,fp32,shared,4,4,16,64,256,1280,1,1,13.970874786376953,0.99996109653609055,nan,1,1,2,0,0.010528000071644783,644729.5625
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0,0,1,0,1,nan,1,0,0,0.0097920000553131104,129456.02023559646
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0,0,1,0,1,nan,1,1,0,0.0096960002556443214,129456.02023559646
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0,0,1,0,1,nan,1,2,0,0.0095680002123117447,129456.02023559646
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0.5,0.48431962498943903,16.494056701660156,0.49993031537662375,16.4881591796875,nan,1,0,0,0.021792000159621239,141045.82389763309
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0.5,0.48431962498943903,16.494056701660156,0.49993031537662375,16.4881591796875,nan,1,1,0,0.021632000803947449,141045.82389763309
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,0.5,0.48431962498943903,16.494056701660156,0.49993031537662375,16.4881591796875,nan,1,2,0,0.021727999672293663,141045.82389763309
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,1,1,31.992652893066406,1.0000071016603902,31.970001220703125,nan,1,0,0,0.036095999181270599,153895.67144606079
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,1,1,31.992652893066406,1.0000071016603902,31.970001220703125,nan,1,1,0,0.03561599925160408,153895.67144606079
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_2x16_global_fp64,32-bit as 2 x 16-bit global LUTs,dot,1048576,512,256,32,fp64,global,16,2,65536,131072,1048576,0,1,1,31.992652893066406,1.0000071016603902,31.970001220703125,nan,1,2,0,0.035776000469923019,153895.67144606079
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0,0,1,0,nan,1,1,0,0,0.010975999757647514,559939.3527209796
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0,0,1,0,nan,1,1,1,0,0.010944000445306301,559939.3527209796
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0,0,1,0,nan,1,1,2,0,0.011648000217974186,559939.3527209796
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0.5,0.47017905099299639,15.569995880126953,0.50006702127649394,nan,2.9194602966308594,1,0,0,0.013567999936640263,612246.64976061205
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0.5,0.47017905099299639,15.569995880126953,0.50006702127649394,nan,2.9194602966308594,1,1,0,0.013856000266969204,612246.64976061205
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,0.5,0.47017905099299639,15.569995880126953,0.50006702127649394,nan,2.9194602966308594,1,2,0,0.013728000223636627,612246.64976061205
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,1,1,30.135025024414062,0.99996357573766881,nan,4.3973655700683594,1,0,0,0.01571200042963028,674052.46646114974
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,1,1,30.135025024414062,0.99996357573766881,nan,4.3973655700683594,1,1,0,0.015744000673294067,674052.46646114974
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_4x8_shared_fp64,32-bit as 4 x 8-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,8,4,256,1024,8192,10240,1,1,30.135025024414062,0.99996357573766881,nan,4.3973655700683594,1,2,0,0.016095999628305435,674052.46646114974
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0,0,1,0,nan,1,1,0,0,0.012384000234305859,2467277.8765191105
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0,0,1,0,nan,1,1,1,0,0.012191999703645706,2467277.8765191105
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0,0,1,0,nan,1,1,2,0,0.012351999990642071,2467277.8765191105
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0.5,0.28066020743041431,7.4910221099853516,0.50041108974069226,nan,1,1,0,0,0.012927999719977379,2632792.537154621
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0.5,0.28066020743041431,7.4910221099853516,0.50041108974069226,nan,1,1,1,0,0.013151999562978745,2632792.537154621
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,0.5,0.28066020743041431,7.4910221099853516,0.50041108974069226,nan,1,1,2,0,0.013248000293970108,2632792.537154621
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,1,1,13.970405578613281,0.99992492399433131,nan,1,1,0,0,0.012927999719977379,3080640.8009971902
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,1,1,13.970405578613281,0.99992492399433131,nan,1,1,1,0,0.013311999849975109,3080640.8009971902
2026-08-30T12:00:28Z,NVIDIA H200 NVL,smoke,g5_u32_split_fp64,u32_8x4_shared_fp64,32-bit as 8 x 4-bit shared LUTs,dot,1048576,512,256,32,fp64,shared,4,8,16,128,1024,3072,1,1,13.970405578613281,0.99992492399433131,nan,1,1,2,0,0.012896000407636166,3080640.8009971902
