mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
smoke,initial,dot,u32_base,0,0,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,23,0.00911999959,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,24,0.00537599996,3.0001195667946027e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,raw_fp64,0,0,1048576,0,0,float64,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,25,0.0101119997,4.8322272801005969e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,26,0.00960000046,4.8399659283002271e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,27,0.00979200006,4.8322826039547849e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,28,0.00534400018,3.0436462264578077e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,29,0.0108160004,4.8555914760494206e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,30,0.00534400018,3.0461055508528422e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,31,0.00518399989,3.0263472667189735e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,32,0.00940799993,4.8322365009455105e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,33,0.00511999987,3.0418232609040081e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,34,0.0127360001,4.834920649945249e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,35,0.00524799991,3.0424346497753466e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,36,0.00537599996,3.0510069486369112e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,37,0.00534400018,3.0412813544910479e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,38,0.0098240003,4.8438953246049875e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,39,0.00534400018,3.0509605990331296e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,40,0.0115520004,4.8323748106318124e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,41,0.00547200022,3.0424288687053448e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,42,0.00518399989,3.0412148911436767e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,1,1,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,43,0.00934400037,4.8331985456994953e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,u32_base,0,0,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,44,0.00534400018,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,raw_fp32,0,0,65536,64,1024,float32,fp32,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,45,0.00518399989,3.041212021805239e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,46,0.00563200004,3.0068976221958224e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,47,0.00960000046,4.8438398987287026e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,48,0.00534400018,2.9539951415816194e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,49,0.00537599996,3.0412235602347368e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,50,0.0116480002,4.8634045582594168e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,12,12,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,51,0.0054080002,3.04124667787129e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,52,0.00537599996,3.0558466068867344e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,53,0.00521600014,3.0418203707374741e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
