timestamp,gpu,mode,distribution,kernel,number_family,format,bits,log_integer_bits,log_fraction_bits,arithmetic_type,multiply_method,storage_layout,access_method,packet_values,load_word_bits,loader_threads,consumer_threads,values_per_consumer,redistribution,decoder,strategy_id,N,M,rows,logical_input_bytes,physical_input_bytes,table_bytes,blocks,threads,warmup,sample,iterations,total_ms,mean_ms,result,valid
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,4096,0,1,16384,16384,0,16,256,10,0,1763,8.74941,0.0049628,1020.482421875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,4096,0,1,16384,16384,0,16,256,10,1,1763,8.7509117126464844,0.0049636481637246078,1020.482421875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,4096,0,1,16384,16384,0,16,256,10,2,1763,8.7485761642456055,0.004962323405698018,1020.482421875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,4096,0,1,16384,16384,0,16,256,10,3,1763,8.7481603622436523,0.0049620875565760929,1020.482421875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,4096,0,1,16384,16384,0,16,256,10,4,1763,8.7499198913574219,0.0049630855878374487,1020.482421875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,65536,0,1,262144,262144,0,256,256,10,0,2084,10.840288162231445,0.0052016737822607705,16419.146484375,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,65536,0,1,262144,262144,0,256,256,10,1,2084,10.840671539306641,0.0052018577443889834,16419.146484375,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,65536,0,1,262144,262144,0,256,256,10,2,2084,10.840031623840332,0.0052015506832247278,16419.146484375,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,65536,0,1,262144,262144,0,256,256,10,3,2084,10.84006404876709,0.0052015662422106954,16419.146484375,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,65536,0,1,262144,262144,0,256,256,10,4,2084,10.841152191162109,0.0052020883834751003,16419.146484375,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,1048576,0,1,4194304,4194304,0,512,256,10,0,1234,10.424448013305664,0.0084476888276383017,262079.671875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,1048576,0,1,4194304,4194304,0,512,256,10,1,1234,10.421248435974121,0.00844509597728859,262079.671875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,1048576,0,1,4194304,4194304,0,512,256,10,2,1234,10.431039810180664,0.0084530306403408952,262079.671875,1
2026-08-16T21:39:04Z,NVIDIA H200 NVL,full,uniform_0_1,dot,lns,lns16_r10,16,5,10,fp32,ordinary,padded,scalar,1,16,1,1,1,none,reference_exp2,ordinary/padded/scalar/x1/reference_exp2,1048576,0,1,4194304,4194304,0,512,256,10,3,1234,10.43727970123291,0.0084580872781466043,262079.671875,1
