timestamp,gpu,mode,kernel,N,blocks,threads,storage_bits,arithmetic_type,storage_layout,access_method,packet_values,lut_entries,lut_bytes,format,x_semantics,left_seed,right_seed,warmup,sample,kernel_ms,result
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,24,0.26630398631095886,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,25,0.2664639949798584,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,26,0.2664639949798584,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,27,0.26364800333976746,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,28,0.26761600375175476,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,29,0.26406401395797729,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,30,0.2648639976978302,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,31,0.26470398902893066,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,32,0.26563200354576111,578.56689453125
2026-08-30T10:49:29Z,NVIDIA H200 NVL,full,dot,67108864,512,256,32,fp32,natural,scalar,1,0,0,raw_fp32,undefined_no_lut,11820040416388919760,589684135938649225,10,33,0.2680639922618866,578.56689453125
