distribution,target_x,q,N,left_unique_segments,right_unique_segments,mean_unique_segments,actual_x
hot_uniform,0,0,1048576,1,1,1,0
hot_uniform,0.5,0.37341837298474623,1048576,10.698211669921875,10.69537353515625,10.696792602539062,0.49946828852010167
hot_uniform,1,1,1048576,20.407135009765625,20.412567138671875,20.40985107421875,0.99977440931670603
genuine_n01,0.10018491535533834,nan,1048576,2.94378662109375,2.947174072265625,2.9454803466796875,0.10020898444823505
