gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,dot,4,4194304,1,0,0,0,3,0.025862919317709433,0.02585945902643977,0.0258715668240109,0.02411144955247484
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,dot,4,65536,1,0,0,0,3,0.0057152238354754095,0.005713671445846558,0.0057183281699223305,0.04148318831001778
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,gemv,4,1024,256,0,0,0,3,0.004057657611262691,0.004055927823613714,0.004060732709752905,0.059969598325493416
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x4,gemv,4,4096,256,0,0,0,3,0.008440960049629211,0.008436480164527893,0.008443040251731872,0.039719578571484435
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,dot,8,4194304,1,0,0,0,3,0.026450479534310355,0.02644552143526749,0.026452732757783273,0.013948198526947984
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,dot,8,65536,1,0,0,0,3,0.006677333106342544,0.006675008525196304,0.0066815726777427215,0.04984008172628094
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,gemv,8,1024,256,0,0,0,3,0.004627844342937717,0.0046257663082766845,0.004628155912671771,0.02807433051621363
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,generic_fp64_x8,gemv,8,4096,256,0,0,0,3,0.007993119955062866,0.00798687994480133,0.007993280291557311,0.04567381622574474
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,4194304,1,4,0,1,3,0.012685217719147171,0.0126754779746567,0.01269565198732459,0.07953205650807488
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,3,0.0051994946965000085,0.005187929722300747,0.005201066586009243,0.13806317134311283
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,1024,256,4,0,1,3,0.003404927669915178,0.003404847998868795,0.0034054065880335478,0.008873266500243868
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,4096,256,4,0,1,3,0.0043700742132869765,0.004367407457328137,0.004370963131939924,0.04234899938174191
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,dot,1,4194304,1,4,0,0,3,0.013630290067832888,0.013622961881506534,0.014195297510569332,2.376510978179597
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,dot,1,65536,1,4,0,0,3,0.005222241083780925,0.0052195178701522505,0.0052224680887046435,0.03144184060959838
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,gemv,1,1024,256,4,0,0,3,0.0038937599318368096,0.003893211569104876,0.0038965943881443567,0.046619197696570344
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x1,gemv,1,4096,256,4,0,0,3,0.006760470506523838,0.006760336270853251,0.006764235115852677,0.03273249280237701
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,dot,2,4194304,1,4,0,0,3,0.012886518902248807,0.012880355340463143,0.012895289173832647,0.058233195996700536
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,dot,2,65536,1,4,0,0,3,0.005237600207328797,0.005233943036624364,0.005240800125258309,0.06551061581807659
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,gemv,2,1024,256,4,0,0,3,0.003574907128276721,0.003573071109792574,0.00357735515292225,0.06011827116117221
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x2,gemv,2,4096,256,4,0,0,3,0.005231010697104714,0.00522926547310569,0.005233105312694203,0.03675244753652167
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,dot,4,4194304,1,4,0,0,3,0.012695999706492704,0.012693176374715917,0.012700940756236805,0.03095314411703859
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,dot,4,65536,1,4,0,0,3,0.005012312256698067,0.005011404237003191,0.005018779994748163,0.08021234997280773
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,gemv,4,1024,256,4,0,0,3,0.0033744083649200917,0.003368209481863451,0.0033772565931549873,0.13713049319070827
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x4,gemv,4,4096,256,4,0,0,3,0.004464459876282909,0.0044575080323143125,0.004464562327717059,0.09061829883723928
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,dot,8,4194304,1,4,0,0,3,0.012845646809129155,0.012833882780636059,0.012849176631254308,0.0623523327727153
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,dot,8,65536,1,4,0,0,3,0.005243958088389614,0.005242835011398583,0.005245080747102436,0.021412602262396517
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,gemv,8,1024,256,4,0,0,3,0.003647915248213143,0.003646387345594816,0.003650291845083869,0.05393244869497545
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_global_x8,gemv,8,4096,256,4,0,0,3,0.00435852032843802,0.00435852032843802,0.004358721003637045,0.002658198042716427
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,dot,4,4194304,1,4,1024,0,3,0.01225116527337822,0.012248173034448417,0.01225876293594031,0.044555922803686344
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,3,0.00500262979817638,0.005000636651854202,0.005005508558147919,0.048957998654575764
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,gemv,4,1024,256,4,1024,0,3,0.0031650473649365053,0.0031648877255637154,0.003166882771803554,0.03502121724922763
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp32_shared_x4,gemv,4,4096,256,4,1024,0,3,0.004257836730818734,0.004252519492296294,0.004264120969167289,0.13638408522824044
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,dot,1,4194304,1,8,0,0,3,0.016406605003076957,0.016397797733271886,0.016425101035231843,0.08491990661142466
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,dot,1,65536,1,8,0,0,3,0.0052962320438329725,0.005289507084998531,0.005303536204324252,0.13247713241233736
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,gemv,1,1024,256,8,0,0,3,0.004121163124854204,0.004120498453474186,0.004123537052279056,0.03875590044602513
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x1,gemv,1,4096,256,8,0,0,3,0.006978265479602645,0.00697642459278613,0.0069825132336236734,0.04474238111104343
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,dot,2,4194304,1,8,0,0,3,0.015573148105455481,0.015563687034275221,0.01557815696882165,0.047189803907726376
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,dot,2,65536,1,8,0,0,3,0.005248907610034266,0.00524663840625303,0.005250723226696042,0.03899215411983084
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,gemv,2,1024,256,8,0,0,3,0.0037105372973850795,0.0037090744291033064,0.003716662951878139,0.10845484229105763
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x2,gemv,2,4096,256,8,0,0,3,0.005615151289737586,0.005614545309182369,0.005619636539256934,0.049516130832055166
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,dot,4,4194304,1,8,0,0,3,0.015627610999926003,0.015608636678847591,0.015639504500194988,0.09963794706745148
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,dot,4,65536,1,8,0,0,3,0.005250227320325243,0.005245186907031161,0.005250578834896996,0.05747522806492149
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,gemv,4,1024,256,8,0,0,3,0.003645289465377891,0.003644765074787244,0.003648000011027185,0.047619746727251624
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x4,gemv,4,4096,256,8,0,0,3,0.005089434673046243,0.005084579155362885,0.005090979461012215,0.06563681981915376
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,dot,8,4194304,1,8,0,0,3,0.015775165350540826,0.01576848652051843,0.015778504247250764,0.03233674184893778
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,dot,8,65536,1,8,0,0,3,0.005380827920478687,0.005380266591122276,0.005382849040784334,0.025240122140550998
