variant,label,target_x,actual_x,mean_unique_segments,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
dyadic_normal32,Current DyadicNormal32,0.0,0.0,1.0,50,0.29254400730133057,0.2917120084166527,0.2930000051856041,0.2894720137119293,0.2949120104312897
dyadic_normal32,Current DyadicNormal32,0.125,0.12497667656640832,3.426326036453247,50,0.2943520098924637,0.29361599683761597,0.29503200948238373,0.2921920120716095,0.2970559895038605
dyadic_normal32,Current DyadicNormal32,0.25,0.2500066878182184,5.853687524795532,50,0.29468800127506256,0.2940879911184311,0.2953360006213188,0.29228800535202026,0.2974399924278259
dyadic_normal32,Current DyadicNormal32,0.375,0.3750237061855811,8.280796766281128,50,0.29552000761032104,0.29496799409389496,0.2961520105600357,0.29203200340270996,0.29788801074028015
dyadic_normal32,Current DyadicNormal32,0.5,0.5000451946946629,10.707992792129517,50,0.296207994222641,0.2956480085849762,0.2970000058412552,0.2935679852962494,0.29945600032806396
dyadic_normal32,Current DyadicNormal32,0.625,0.6250350851964828,13.134575366973877,50,0.2972800135612488,0.2966879904270172,0.29815999418497086,0.29523199796676636,0.29974400997161865
dyadic_normal32,Current DyadicNormal32,0.75,0.7500725999004644,15.562082529067993,50,0.2987679988145828,0.29814401268959045,0.29928799718618393,0.2956799864768982,0.300927996635437
dyadic_normal32,Current DyadicNormal32,0.875,0.8750340239503475,17.988112449645996,50,0.30008000135421753,0.29926401376724243,0.3007519915699959,0.297760009765625,0.30323201417922974
dyadic_normal32,Current DyadicNormal32,1.0,1.0000398669634123,20.41500473022461,50,0.3019840121269226,0.30139198899269104,0.3027839958667755,0.29929599165916443,0.31219199299812317
dyadic_sign_fused,Sign-fused decoder,0.0,0.0,1.0,50,0.2908799946308136,0.2901119887828827,0.2913599908351898,0.28857600688934326,0.29280000925064087
dyadic_sign_fused,Sign-fused decoder,0.125,0.12497667656640832,3.426326036453247,50,0.2925119996070862,0.2919759899377823,0.29337600618600845,0.29023998975753784,0.2957119941711426
dyadic_sign_fused,Sign-fused decoder,0.25,0.2500066878182184,5.853687524795532,50,0.2932000011205673,0.2927119880914688,0.2940399944782257,0.29100799560546875,0.2953920066356659
dyadic_sign_fused,Sign-fused decoder,0.375,0.3750237061855811,8.280796766281128,50,0.29391999542713165,0.2932399958372116,0.29472800344228745,0.29203200340270996,0.2968960106372833
dyadic_sign_fused,Sign-fused decoder,0.5,0.5000451946946629,10.707992792129517,50,0.29468798637390137,0.2940160036087036,0.29553598910570145,0.29254400730133057,0.2980799973011017
dyadic_sign_fused,Sign-fused decoder,0.625,0.6250350851964828,13.134575366973877,50,0.2958559989929199,0.2953920066356659,0.2964800000190735,0.293503999710083,0.2987839877605438
dyadic_sign_fused,Sign-fused decoder,0.75,0.7500725999004644,15.562082529067993,50,0.2971839904785156,0.2967360019683838,0.2978239953517914,0.2954240143299103,0.29955199360847473
dyadic_sign_fused,Sign-fused decoder,0.875,0.8750340239503475,17.988112449645996,50,0.2986399978399277,0.2983119934797287,0.2990960031747818,0.29660800099372864,0.3014400005340576
dyadic_sign_fused,Sign-fused decoder,1.0,1.0000398669634123,20.41500473022461,50,0.29975999891757965,0.298615999519825,0.3004480078816414,0.2975359857082367,0.30140799283981323
dyadic_bitcast_shared,"BitCast, shared coefficients",0.0,0.0,1.0,50,0.29148800671100616,0.29099199175834656,0.2919919937849045,0.28908801078796387,0.29311999678611755
dyadic_bitcast_shared,"BitCast, shared coefficients",0.125,0.12497667656640832,3.426326036453247,50,0.29340800642967224,0.29305601119995117,0.29413600265979767,0.2917439937591553,0.2954240143299103
dyadic_bitcast_shared,"BitCast, shared coefficients",0.25,0.2500066878182184,5.853687524795532,50,0.2940160036087036,0.29341600835323334,0.29449599981307983,0.29232001304626465,0.2961919903755188
dyadic_bitcast_shared,"BitCast, shared coefficients",0.375,0.3750237061855811,8.280796766281128,50,0.29471999406814575,0.2940320000052452,0.29548000544309616,0.29308798909187317,0.2975040078163147
dyadic_bitcast_shared,"BitCast, shared coefficients",0.5,0.5000451946946629,10.707992792129517,50,0.29576000571250916,0.29519201070070267,0.29657600075006485,0.293503999710083,0.29791998863220215
dyadic_bitcast_shared,"BitCast, shared coefficients",0.625,0.6250350851964828,13.134575366973877,50,0.2971680015325546,0.2964479923248291,0.2974720001220703,0.2948479950428009,0.2988480031490326
dyadic_bitcast_shared,"BitCast, shared coefficients",0.75,0.7500725999004644,15.562082529067993,50,0.29787200689315796,0.2975679934024811,0.29874400794506073,0.29603201150894165,0.3003840148448944
dyadic_bitcast_shared,"BitCast, shared coefficients",0.875,0.8750340239503475,17.988112449645996,50,0.29977600276470184,0.2988480105996132,0.30053599178791046,0.29708799719810486,0.30137598514556885
dyadic_bitcast_shared,"BitCast, shared coefficients",1.0,1.0000398669634123,20.41500473022461,50,0.3009440004825592,0.3002080023288727,0.3015039935708046,0.2988480031490326,0.3041920065879822
dyadic_bitcast_constant,"BitCast, constant coefficients",0.0,0.0,1.0,50,0.29609599709510803,0.29548799991607666,0.2969599962234497,0.2943679988384247,0.298911988735199
dyadic_bitcast_constant,"BitCast, constant coefficients",0.125,0.12497667656640832,3.426326036453247,50,0.327455997467041,0.32685600221157074,0.3283199965953827,0.3240959942340851,0.3293760120868683
dyadic_bitcast_constant,"BitCast, constant coefficients",0.25,0.2500066878182184,5.853687524795532,50,0.4963519871234894,0.4950160086154938,0.4976320043206215,0.4926399886608124,0.5
dyadic_bitcast_constant,"BitCast, constant coefficients",0.375,0.3750237061855811,8.280796766281128,50,0.7047519981861115,0.7039439827203751,0.7057840079069138,0.7019519805908203,0.708736002445221
dyadic_bitcast_constant,"BitCast, constant coefficients",0.5,0.5000451946946629,10.707992792129517,50,0.8724159896373749,0.8714960217475891,0.8732720017433167,0.8704320192337036,0.8760319948196411
dyadic_bitcast_constant,"BitCast, constant coefficients",0.625,0.6250350851964828,13.134575366973877,50,1.026304006576538,1.0251280069351196,1.0282399952411652,1.0229120254516602,1.0300159454345703
dyadic_bitcast_constant,"BitCast, constant coefficients",0.75,0.7500725999004644,15.562082529067993,50,1.188048005104065,1.1875280141830444,1.1886959969997406,1.1848000288009644,1.1906239986419678
