timestamp,gpu,mode,distribution,kernel,number_family,format,bits,log_integer_bits,log_fraction_bits,arithmetic_type,multiply_method,storage_layout,access_method,packet_values,load_word_bits,loader_threads,consumer_threads,values_per_consumer,redistribution,decoder,strategy_id,N,M,rows,logical_input_bytes,physical_input_bytes,table_bytes,blocks,threads,warmup,iterations,sample_count,median_ms,minimum_ms,maximum_ms,all_valid
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,2,32,1,1,2,none,fraction_lut_global,fused/dense/thread_packet/x2/fraction_lut_global,16777216,0,1,16777216,16777216,8,512,256,3,46,3,0.10830121454985245,0.10822121993355129,0.10830747562906017,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,2,32,1,1,2,none,fraction_lut_shared,fused/dense/thread_packet/x2/fraction_lut_shared,16777216,0,1,16777216,16777216,8,512,256,3,48,3,0.10141332944234212,0.10137266914049785,0.10142599542935689,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,2,32,1,1,2,none,fraction_lut_warp,fused/dense/thread_packet/x2/fraction_lut_warp,16777216,0,1,16777216,16777216,8,512,256,3,43,3,0.11506158252095067,0.11502883600634198,0.11517172081525935,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,2,32,1,1,2,none,pair_lut_global,fused/dense/thread_packet/x2/pair_lut_global,16777216,0,1,16777216,16777216,1024,512,256,3,125,3,0.037695232391357421,0.037673984527587891,0.037723392486572263,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,2,32,1,1,2,none,pair_lut_shared,fused/dense/thread_packet/x2/pair_lut_shared,16777216,0,1,16777216,16777216,1024,512,256,3,134,3,0.034810269056861083,0.034733850564529649,0.034813610475454761,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,ex2_approx,fused/dense/thread_packet/x4/ex2_approx,16777216,0,1,16777216,16777216,0,512,256,3,64,3,0.076857000589370728,0.076852500438690186,0.076984003186225891,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,fraction_lut_global,fused/dense/thread_packet/x4/fraction_lut_global,16777216,0,1,16777216,16777216,8,512,256,3,47,3,0.10541276728853266,0.10538484695109915,0.10543522936232547,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,fraction_lut_shared,fused/dense/thread_packet/x4/fraction_lut_shared,16777216,0,1,16777216,16777216,8,512,256,3,50,3,0.099143037796020503,0.099132795333862309,0.099458560943603516,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,fraction_lut_warp,fused/dense/thread_packet/x4/fraction_lut_warp,16777216,0,1,16777216,16777216,8,512,256,3,44,3,0.1135374524376609,0.11348655007102272,0.11354836550625888,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,pair_lut_global,fused/dense/thread_packet/x4/pair_lut_global,16777216,0,1,16777216,16777216,1024,512,256,3,142,3,0.032828394795807313,0.032825238268140336,0.032852958625471086,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,4,32,1,1,4,none,pair_lut_shared,fused/dense/thread_packet/x4/pair_lut_shared,16777216,0,1,16777216,16777216,1024,512,256,3,149,3,0.031022388663067915,0.031015946561058095,0.03103892755188398,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,ex2_approx,fused/dense/thread_packet/x8/ex2_approx,16777216,0,1,16777216,16777216,0,512,256,3,78,3,0.062553436328203246,0.062544413101978794,0.062562459554427713,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,fraction_lut_global,fused/dense/thread_packet/x8/fraction_lut_global,16777216,0,1,16777216,16777216,8,512,256,3,54,3,0.091777183391429762,0.091755849343759036,0.091788442046553995,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,fraction_lut_shared,fused/dense/thread_packet/x8/fraction_lut_shared,16777216,0,1,16777216,16777216,8,512,256,3,58,3,0.085024554153968548,0.085020139299590014,0.08503834132490487,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,fraction_lut_warp,fused/dense/thread_packet/x8/fraction_lut_warp,16777216,0,1,16777216,16777216,8,512,256,3,50,3,0.09843711853027344,0.098386564254760736,0.098611841201782222,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,pair_lut_global,fused/dense/thread_packet/x8/pair_lut_global,16777216,0,1,16777216,16777216,1024,512,256,3,218,3,0.020256880226485228,0.020243375673206575,0.020295486537688368,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,dense,thread_packet,8,32,1,1,8,none,pair_lut_shared,fused/dense/thread_packet/x8/pair_lut_shared,16777216,0,1,16777216,16777216,1024,512,256,3,195,3,0.023368204556978665,0.02336607223901993,0.023379201155442456,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,ex2_approx,fused/padded/scalar/x1/ex2_approx,16777216,0,1,16777216,33554432,0,512,256,3,70,3,0.069023084640502927,0.068997941698346818,0.069033602305821007,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,fraction_lut_global,fused/padded/scalar/x1/fraction_lut_global,16777216,0,1,16777216,33554432,8,512,256,3,49,3,0.10089534642745038,0.1008848949354522,0.10095738391486966,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,fraction_lut_shared,fused/padded/scalar/x1/fraction_lut_shared,16777216,0,1,16777216,33554432,8,512,256,3,53,3,0.092900833993587853,0.092865808954778709,0.092947923912192296,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,fraction_lut_warp,fused/padded/scalar/x1/fraction_lut_warp,16777216,0,1,16777216,33554432,8,512,256,3,46,3,0.10699965642846149,0.10697739020637843,0.10705182863318402,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,pair_lut_global,fused/padded/scalar/x1/pair_lut_global,16777216,0,1,16777216,33554432,1024,512,256,3,130,3,0.035993352303138146,0.035976615318885213,0.03599507625286396,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,pair_lut_shared,fused/padded/scalar/x1/pair_lut_shared,16777216,0,1,16777216,33554432,1024,512,256,3,139,3,0.033830677005026837,0.033826992666121013,0.033844028445456524,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,scalar,1,8,1,1,1,none,reference_exp2,fused/padded/scalar/x1/reference_exp2,16777216,0,1,16777216,33554432,0,512,256,3,71,3,0.068869859399929859,0.068867602818448781,0.068884278686953265,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,ex2_approx,fused/padded/thread_packet/x2/ex2_approx,16777216,0,1,16777216,33554432,0,512,256,3,71,3,0.068791436477446219,0.068781973610461594,0.068895098189233048,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,fraction_lut_global,fused/padded/thread_packet/x2/fraction_lut_global,16777216,0,1,16777216,33554432,8,512,256,3,50,3,0.098578557968139649,0.098497276306152348,0.098745603561401371,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,fraction_lut_shared,fused/padded/thread_packet/x2/fraction_lut_shared,16777216,0,1,16777216,33554432,8,512,256,3,54,3,0.090970074688946759,0.090964741177029074,0.091008000903659403,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,fraction_lut_warp,fused/padded/thread_packet/x2/fraction_lut_warp,16777216,0,1,16777216,33554432,8,512,256,3,47,3,0.10471965911540579,0.10469923628137466,0.10473668321650079,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,pair_lut_global,fused/padded/thread_packet/x2/pair_lut_global,16777216,0,1,16777216,33554432,1024,512,256,3,183,3,0.025120174949937832,0.025103037474585362,0.025127520326708185,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,2,8,1,1,2,none,pair_lut_shared,fused/padded/thread_packet/x2/pair_lut_shared,16777216,0,1,16777216,33554432,1024,512,256,3,197,3,0.023208121962958787,0.02319220237925573,0.02321364552841574,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,4,8,1,1,4,none,ex2_approx,fused/padded/thread_packet/x4/ex2_approx,16777216,0,1,16777216,33554432,0,512,256,3,75,3,0.064902826944986974,0.064896850585937499,0.06493055979410807,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,4,8,1,1,4,none,fraction_lut_global,fused/padded/thread_packet/x4/fraction_lut_global,16777216,0,1,16777216,33554432,8,512,256,3,52,3,0.094719996819129362,0.094681849846473112,0.094750771155724153,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,4,8,1,1,4,none,fraction_lut_shared,fused/padded/thread_packet/x4/fraction_lut_shared,16777216,0,1,16777216,33554432,8,512,256,3,56,3,0.087617141859872003,0.087613710335322795,0.087713139397757392,1
2026-08-16T15:03:54Z,NVIDIA H200 NVL,screen,normal_0_1,dot,lns,lns4_r1,4,2,1,fp32,fused,padded,thread_packet,4,8,1,1,4,none,fraction_lut_warp,fused/padded/thread_packet/x4/fraction_lut_warp,16777216,0,1,16777216,33554432,8,512,256,3,49,3,0.10143020201702507,0.10125257530990912,0.1014628604966767,1
