format,arithmetic_type,multiply_method,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,1,fused/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.10556069664333177,1
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,2,fused/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.12552985166892028,1
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,3,fused/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.13155957899595561,0
lns10_r4,fp32,fused,dot,dense,cooperative_shuffle,16,4,fused/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.13887555731667411,0
lns10_r4,fp32,fused,dot,dense,scalar,1,1,fused/dense/scalar/x1/ex2_approx,ex2_approx,0.082120533784230551,1
lns10_r4,fp32,fused,dot,dense,scalar,1,2,fused/dense/scalar/x1/reference_exp2,reference_exp2,0.082830918037285234,1
lns10_r4,fp32,fused,dot,dense,scalar,1,3,fused/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.1068640014399653,0
lns10_r4,fp32,fused,dot,dense,scalar,1,4,fused/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.11458446384736398,0
lns10_r4,fp32,fused,dot,dense,scalar,1,5,fused/dense/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.12127453524891924,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,1,fused/dense/thread_packet/x2/ex2_approx,ex2_approx,0.082310236106484636,1
lns10_r4,fp32,fused,dot,dense,thread_packet,2,2,fused/dense/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.10610295378643533,1
lns10_r4,fp32,fused,dot,dense,thread_packet,2,3,fused/dense/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.11159381541338834,0
lns10_r4,fp32,fused,dot,dense,thread_packet,2,4,fused/dense/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.11894021230846055,0
lns10_r4,fp32,fused,dot,dense,thread_packet,4,1,fused/dense/thread_packet/x4/ex2_approx,ex2_approx,0.077185778390793575,1
lns10_r4,fp32,fused,dot,dense,thread_packet,4,2,fused/dense/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.10092375716384577,1
lns10_r4,fp32,fused,dot,dense,thread_packet,4,3,fused/dense/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.10664000200188678,0
lns10_r4,fp32,fused,dot,dense,thread_packet,4,4,fused/dense/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.11436874367469965,0
lns10_r4,fp32,fused,dot,dense,thread_packet,8,1,fused/dense/thread_packet/x8/ex2_approx,ex2_approx,0.078444646250817082,1
lns10_r4,fp32,fused,dot,dense,thread_packet,8,2,fused/dense/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.10137110340351961,1
lns10_r4,fp32,fused,dot,dense,thread_packet,8,3,fused/dense/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.10743200260659923,0
lns10_r4,fp32,fused,dot,dense,thread_packet,8,4,fused/dense/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.11501060530196788,0
lns10_r4,fp32,fused,dot,padded,scalar,1,1,fused/padded/scalar/x1/ex2_approx,ex2_approx,0.088789714234215875,1
lns10_r4,fp32,fused,dot,padded,scalar,1,2,fused/padded/scalar/x1/reference_exp2,reference_exp2,0.089086255160245029,1
lns10_r4,fp32,fused,dot,padded,scalar,1,3,fused/padded/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.10491268178249927,0
lns10_r4,fp32,fused,dot,padded,scalar,1,4,fused/padded/scalar/x1/fraction_lut_global,fraction_lut_global,0.11049777666727702,0
lns10_r4,fp32,fused,dot,padded,scalar,1,5,fused/padded/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.11666567381038223,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,1,fused/padded/thread_packet/x2/ex2_approx,ex2_approx,0.073688360868157582,1
lns10_r4,fp32,fused,dot,padded,thread_packet,2,2,fused/padded/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.097810878753662109,1
lns10_r4,fp32,fused,dot,padded,thread_packet,2,3,fused/padded/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.10600510556647119,0
lns10_r4,fp32,fused,dot,padded,thread_packet,2,4,fused/padded/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.11180444293551975,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,1,fused/padded/thread_packet/x4/ex2_approx,ex2_approx,0.066386377489244613,1
lns10_r4,fp32,fused,dot,padded,thread_packet,4,2,fused/padded/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.091689480675591364,1
lns10_r4,fp32,fused,dot,padded,thread_packet,4,3,fused/padded/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.098708481788635255,0
lns10_r4,fp32,fused,dot,padded,thread_packet,4,4,fused/padded/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.10467710900813976,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,1,fused/padded/thread_packet/x8/ex2_approx,ex2_approx,0.063386712040934531,1
lns10_r4,fp32,fused,dot,padded,thread_packet,8,2,fused/padded/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.0892289441901368,1
lns10_r4,fp32,fused,dot,padded,thread_packet,8,3,fused/padded/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.095719076119936436,0
lns10_r4,fp32,fused,dot,padded,thread_packet,8,4,fused/padded/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.10256769006349603,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,1,fused/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.085882948155988736,1
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,2,fused/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.10668139354042386,1
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,3,fused/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.11466046266777571,0
lns10_r4,fp32,fused,gemv,dense,cooperative_shuffle,16,4,fused/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.11893676008496964,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,1,fused/dense/scalar/x1/ex2_approx,ex2_approx,0.081237332026163733,1
lns10_r4,fp32,fused,gemv,dense,scalar,1,2,fused/dense/scalar/x1/reference_exp2,reference_exp2,0.081482398509979237,1
lns10_r4,fp32,fused,gemv,dense,scalar,1,3,fused/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.1020896683136622,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,4,fused/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.10866062376234266,0
lns10_r4,fp32,fused,gemv,dense,scalar,1,5,fused/dense/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.11428130504696868,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,1,fused/dense/thread_packet/x2/ex2_approx,ex2_approx,0.078362398523303456,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,2,fused/dense/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.099758693150111599,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,3,fused/dense/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.10625565052032471,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,2,4,fused/dense/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.11346186858150975,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,1,fused/dense/thread_packet/x4/ex2_approx,ex2_approx,0.076875749975442886,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,2,fused/dense/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.098571519851684566,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,3,fused/dense/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.10440238485945033,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,4,4,fused/dense/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.11047715610928005,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,1,fused/dense/thread_packet/x8/ex2_approx,ex2_approx,0.077373406365780856,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,2,fused/dense/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.098726183443653345,1
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,3,fused/dense/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.10500022628371303,0
lns10_r4,fp32,fused,gemv,dense,thread_packet,8,4,fused/dense/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.11160436001690952,0
