stage,kernel,family,k,n,q1_ms,median_ms,q3_ms,ratio_fp32_to_fp64,ratio_raw_fp64
initial,dot,add32f,1,50,0.272135988,0.27279999850000003,0.27343200125,1.0156668795049741,0.8960950032175494
initial,dot,add32f,2,50,0.273448005,0.274080008,0.2747600075,1.0204325072973133,0.9002995857810678
initial,dot,add32f,4,50,0.27539999025,0.2761760055,0.2766480075,1.0282361555817001,0.9071845304175558
initial,dot,add32f,8,50,0.2811680065,0.28192000100000003,0.282528013,1.0496217348245667,0.9260524398543446
initial,dot,add32f,12,50,0.287616014,0.2881280035,0.28872799849999997,1.0727348673824983,0.9464445221519991
initial,dot,add32f,16,50,0.2939360065,0.2944000065,0.295000009,1.096086281423125,0.9670468336599497
initial,dot,add32f,24,50,0.310632005,0.311199993,0.31164000925,1.1586346317090606,1.0222315258870367
initial,dot,add32f,32,50,0.330336004,0.330751985,0.33138399550000003,1.2314290261809735,1.086456021599963
initial,dot,fma32f,1,50,0.272448003,0.27299199949999997,0.2737760025,1.0163817220914992,0.8967256892060346
initial,dot,fma32f,2,50,0.27378399675,0.274432003,0.27494399225,1.0217430265979626,0.9014558209804517
initial,dot,fma32f,4,50,0.2757999895,0.276639998,0.27734399575,1.0299636549115387,0.9087086556487384
initial,dot,fma32f,8,50,0.2822880075,0.28292799,0.28385600425,1.0533745979031395,0.9293634879157991
initial,dot,fma32f,12,50,0.28796800225,0.28875198950000003,0.28929600125,1.0750580415649016,0.9484941949516774
initial,dot,fma32f,16,50,0.294983998,0.29540799549999996,0.29640799725,1.0998391445016977,0.9703578817214042
initial,dot,fma32f,24,50,0.311583996,0.312159985,0.31318400775,1.162208796241139,1.0253849131269885
initial,dot,fma32f,32,50,0.3319840055,0.3327839975,0.33348799475,1.2389944506910109,1.0931307879406438
initial,dot,fp32_to_fp64,0,50,0.26785599425,0.268592,0.26903999575000004,1.0,0.8822725455557802
initial,dot,mul32f,1,50,0.272263989,0.272767991,0.273440003,1.0155477117710132,0.8959898647975596
initial,dot,mul32f,2,50,0.273320004,0.274143994,0.2748639955,1.0206707347947817,0.9005097673616806
initial,dot,mul32f,4,50,0.27536799,0.2761919945,0.276767999,1.028295684532674,0.9072370511766658
initial,dot,mul32f,8,50,0.281183988,0.28192000100000003,0.2824399995,1.0496217348245667,0.9260524398543446
